trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc
75,44.0,53.204052590690644,0.7093873678758752,2.21110989008899,6.194396550002722,0.0,XAUUSD,baseline,現行HYBRID。追加の騙し回避なし
64,37.5,29.909583292803113,0.46733723895004864,1.7246849985137018,9.370884365293918,0.0,USDJPY,baseline,現行HYBRID。追加の騙し回避なし
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,0.0,EURJPY,baseline,現行HYBRID。追加の騙し回避なし
59,42.3728813559322,39.10560608466341,0.6628068827909052,2.112917078330217,6.163523410317843,0.0,GBPJPY,baseline,現行HYBRID。追加の騙し回避なし
64,35.9375,24.350760226982267,0.3804806285465979,1.5627991010273299,9.370950919527427,0.0,CHFJPY,baseline,現行HYBRID。追加の騙し回避なし
80,25.0,-3.077272285680798,-0.03846590357100997,0.9504622160739135,17.953720538557192,0.0,AUDJPY,baseline,現行HYBRID。追加の騙し回避なし
64,43.75,36.61501950655735,0.5721096797899586,1.864623080119021,6.4116375978686335,0.0,SILVER,baseline,現行HYBRID。追加の騙し回避なし
461,36.8763557483731,191.5298258707597,0.4154659997196523,1.6235694706970731,17.953720538557207,0.0,ALL,baseline,現行HYBRID。追加の騙し回避なし
65,46.15384615384615,51.58882234870424,0.7936741899800652,2.4072534584744916,5.1757280507261925,0.0,XAUUSD,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
53,39.62264150943396,29.256532339610132,0.5520100441435873,1.88573172777759,7.287077938936179,0.0,USDJPY,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
49,34.69387755102041,17.552606359545265,0.3582164563172503,1.5327873345830358,9.391596867582711,0.0,EURJPY,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
50,42.0,32.37111082239473,0.6474222164478947,2.0800098239140965,5.278519390896676,0.0,GBPJPY,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
51,35.294117647058826,18.102028111823692,0.3549417276828175,1.520105658189933,7.433439984958518,0.0,CHFJPY,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
55,23.636363636363637,-5.1346643672827605,-0.09335753395059565,0.8818688884558448,11.703793665909878,0.0,AUDJPY,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
54,44.44444444444444,32.53474206690323,0.6024952234611709,1.9201858509162009,5.204045744156874,0.0,SILVER,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
377,38.196286472148536,176.2711776816985,0.46756280552174667,1.7158655777408196,11.70379366590987,0.0,ALL,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る
75,37.333333333333336,42.95546574346759,0.5727395432462346,2.0881635162422842,5.577335856800396,18.666666666666668,XAUUSD,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
64,35.9375,32.26829294683449,0.5041920772942889,1.8970258195439977,9.370884365293918,17.1875,USDJPY,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
55,30.909090909090907,15.73667192771536,0.2861213077766429,1.4527131875274257,9.391596867582715,14.545454545454545,EURJPY,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
59,35.59322033898305,34.65798863140282,0.5874235361254716,2.2500014285308314,5.389357396201831,27.11864406779661,GBPJPY,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
64,31.25,21.18874482703987,0.33107413792249796,1.5629730180702934,9.145001971843836,20.3125,CHFJPY,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
80,22.5,4.168212782130013,0.05210265977662516,1.0850840251115341,11.666647160847138,26.25,AUDJPY,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
64,39.0625,30.74016284872757,0.4803150445113683,1.7745725147014284,6.833753107331695,15.625,SILVER,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
461,32.97180043383948,181.71553970731773,0.39417687572086274,1.6876701747458127,11.666647160847134,20.17353579175705,ALL,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退
65,40.0,42.75061360037609,0.6577017476980938,2.2662313186025163,6.1229458858372325,16.923076923076923,XAUUSD,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
53,39.62264150943396,33.64955421856414,0.6348972494068705,2.1750009050582895,7.287077938936175,15.09433962264151,USDJPY,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
49,34.69387755102041,21.11272595390081,0.43087195824287366,1.7184927509834935,9.391596867582718,14.285714285714285,EURJPY,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
50,34.0,27.046516774453494,0.5409303354890699,2.1539413586237734,6.6375915428926895,30.0,GBPJPY,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
51,31.372549019607842,15.131287675227965,0.29669191520054833,1.4739762589001022,7.738822272162307,15.686274509803921,CHFJPY,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
55,21.818181818181817,0.297898193377804,0.005416330788687345,1.008483320269126,7.493765002172692,23.636363636363637,AUDJPY,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
54,40.74074074074074,29.50817248800432,0.5464476386667466,1.9009830241719183,4.818422388687548,12.962962962962962,SILVER,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
377,34.748010610079575,169.4967689039046,0.449593551469243,1.7883053761325958,9.39159686758272,18.30238726790451,ALL,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退
