trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc,delta_trades,delta_win_rate,delta_total_r_after_cost,delta_avg_r_after_cost,delta_pf_after_cost,delta_max_dd_after_cost_r
461,36.8763557483731,191.5298258707597,0.4154659997196523,1.6235694706970731,17.953720538557207,0.0,ALL,baseline,現行HYBRID。追加の騙し回避なし,0.0,0.0,0.0,0.0,0.0,0.0
377,38.196286472148536,176.2711776816985,0.46756280552174667,1.7158655777408196,11.70379366590987,0.0,ALL,body60_filter,シグナル足の実体がローソク足全体の60%以上の時だけ入る,-84.0,1.3199307237754354,-15.258648189061205,0.05209680580209436,0.09229610704374647,-6.249926872647336
461,32.97180043383948,181.71553970731773,0.39417687572086274,1.6876701747458127,11.666647160847134,20.17353579175705,ALL,early_back_inside_1,通常通り入る。エントリー後1本以内に終値がブレイク水準内へ戻れば次足始値で撤退,0.0,-3.904555314533617,-9.814286163441977,-0.021289123998789572,0.06410070404873958,-6.2870733777100725
377,34.748010610079575,169.4967689039046,0.449593551469243,1.7883053761325958,9.39159686758272,18.30238726790451,ALL,body60_plus_early1,実体60%以上で入る。さらに1本以内にブレイク水準内へ戻れば撤退,-84.0,-2.1283451382935255,-22.0330569668551,0.0341275517495907,0.16473590543552263,-8.562123670974486
