pattern_id,title,symbol,timeframe,event_time,score,image,meta
01,売り方降伏,AUDJPY,H4,2021-11-03T16:00:00,5.080898574587346,collection/images/01_売り方降伏/AUDJPY_20211103_1600.png,"{""shelf_high"": 84.877, ""shelf_low"": 84.495, ""drop_atr"": 3.819470503597794}"
01,売り方降伏,SILVER,H4,2017-08-08T08:00:00,4.983276573803831,collection/images/01_売り方降伏/SILVER_20170808_0800.png,"{""shelf_high"": 16.295, ""shelf_low"": 16.118, ""drop_atr"": 4.099232285433589}"
02,期待先行,USDJPY,H4,2022-10-21T12:00:00,7.744272144551617,collection/images/02_期待先行/USDJPY_20221021_1200.png,"{""level"": 151.587}"
02,期待先行,GBPJPY,H4,2024-07-11T08:00:00,6.640003920991358,collection/images/02_期待先行/GBPJPY_20240711_0800.png,"{""level"": 208.07}"
02,期待先行,USDJPY,H4,2024-04-29T04:00:00,5.486824126139552,collection/images/02_期待先行/USDJPY_20240429_0400.png,"{""level"": 160.203}"
02,期待先行,USDJPY,H4,2022-09-22T08:00:00,5.277832923578809,collection/images/02_期待先行/USDJPY_20220922_0800.png,"{""level"": 145.901}"
02,期待先行,CHFJPY,H4,2016-04-28T00:00:00,5.275532467507471,collection/images/02_期待先行/CHFJPY_20160428_0000.png,"{""level"": 114.95}"
02,期待先行,EURJPY,H4,2022-10-21T12:00:00,5.256563109962656,collection/images/02_期待先行/EURJPY_20221021_1200.png,"{""level"": 148.34}"
02,期待先行,CHFJPY,H4,2024-04-29T04:00:00,5.238432319585701,collection/images/02_期待先行/CHFJPY_20240429_0400.png,"{""level"": 175.022}"
02,期待先行,USDJPY,H4,2019-08-23T12:00:00,4.911536123686074,collection/images/02_期待先行/USDJPY_20190823_1200.png,"{""level"": 106.734}"
02,期待先行,AUDJPY,H4,2016-06-23T20:00:00,4.870859465856794,collection/images/02_期待先行/AUDJPY_20160623_2000.png,"{""level"": 80.638}"
02,期待先行,EURJPY,H4,2024-04-29T00:00:00,4.854108812262155,collection/images/02_期待先行/EURJPY_20240429_0000.png,"{""level"": 171.1}"
02,期待先行,AUDJPY,H4,2024-04-29T04:00:00,4.693371988371397,collection/images/02_期待先行/AUDJPY_20240429_0400.png,"{""level"": 104.937}"
02,期待先行,USDJPY,H4,2023-10-03T12:00:00,4.669281862683527,collection/images/02_期待先行/USDJPY_20231003_1200.png,"{""level"": 149.975}"
02,期待先行,EURJPY,H4,2024-09-27T04:00:00,4.520624759897051,collection/images/02_期待先行/EURJPY_20240927_0400.png,"{""level"": 163.46}"
02,期待先行,CHFJPY,H4,2024-09-27T04:00:00,4.446075820817282,collection/images/02_期待先行/CHFJPY_20240927_0400.png,"{""level"": 171.681}"
02,期待先行,GBPJPY,H4,2024-04-29T00:00:00,4.399233352060378,collection/images/02_期待先行/GBPJPY_20240429_0000.png,"{""level"": 200.08}"
02,期待先行,XAUUSD,H4,2015-10-28T16:00:00,4.336465932488942,collection/images/02_期待先行/XAUUSD_20151028_1600.png,"{""level"": 1182.909}"
02,期待先行,SILVER,H4,2023-07-27T12:00:00,4.321962284225989,collection/images/02_期待先行/SILVER_20230727_1200.png,"{""level"": 25.135}"
02,期待先行,GBPJPY,H4,2024-09-27T04:00:00,4.30953737001401,collection/images/02_期待先行/GBPJPY_20240927_0400.png,"{""level"": 195.93}"
02,期待先行,USDJPY,H4,2024-09-27T04:00:00,4.265202986321302,collection/images/02_期待先行/USDJPY_20240927_0400.png,"{""level"": 145.576}"
02,期待先行,EURJPY,H4,2026-05-06T04:00:00,4.237580574072258,collection/images/02_期待先行/EURJPY_20260506_0400.png,"{""level"": 185.039}"
02,期待先行,AUDJPY,H4,2017-08-28T20:00:00,4.12477710215658,collection/images/02_期待先行/AUDJPY_20170828_2000.png,"{""level"": 87.009}"
02,期待先行,SILVER,H4,2015-10-28T16:00:00,4.030664291533852,collection/images/02_期待先行/SILVER_20151028_1600.png,"{""level"": 16.336}"
02,期待先行,GBPJPY,H4,2015-11-05T12:00:00,3.9709694156523856,collection/images/02_期待先行/GBPJPY_20151105_1200.png,"{""level"": 187.62}"
02,期待先行,SILVER,H4,2023-05-01T12:00:00,3.941225465006892,collection/images/02_期待先行/SILVER_20230501_1200.png,"{""level"": 25.276}"
02,期待先行,SILVER,H4,2026-01-26T16:00:00,3.9205763257840176,collection/images/02_期待先行/SILVER_20260126_1600.png,"{""level"": 112.387}"
03,市場の迷い,USDJPY,H4,2025-04-18T20:00:00,1.191230476699274,collection/images/03_市場の迷い/USDJPY_20250418_2000.png,"{""range_atr"": 0.8087695233007259}"
03,市場の迷い,GBPJPY,H4,2016-07-04T16:00:00,1.1072063891019677,collection/images/03_市場の迷い/GBPJPY_20160704_1600.png,"{""range_atr"": 0.8927936108980323}"
03,市場の迷い,SILVER,H4,2020-08-04T04:00:00,1.0829302880428835,collection/images/03_市場の迷い/SILVER_20200804_0400.png,"{""range_atr"": 0.9170697119571164}"
03,市場の迷い,AUDJPY,H4,2018-04-02T08:00:00,1.0753107152505699,collection/images/03_市場の迷い/AUDJPY_20180402_0800.png,"{""range_atr"": 0.92468928474943}"
03,市場の迷い,USDJPY,H4,2017-12-26T04:00:00,1.0744148112897314,collection/images/03_市場の迷い/USDJPY_20171226_0400.png,"{""range_atr"": 0.9255851887102685}"
