symbol,timeframe,strategy,family,signal_time,direction,trigger_type,break_i,trigger_i,lookback_bars,prior_low,break_low,low_extreme,pullback_high,bars_after_break,pullback_atr,break_depth_atr,trigger_level,risk_atr_at_signal,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,year,month
XAUUSD,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2015-06-05 08:00:00,short,stagnation,2269,2274,120,1178.891,1172.908,1172.908,1183.701,5,2.279476635659515,0.699499857310954,1174.061,1.2041995219039854,1176.208,1176.599,1173.27,1174.061,4.734858796601531,0.6449384199459879,1182.67165498927,1188.5032686363502,1195.7299268276367,-1.6090386610989902,28.797239060240486,30.751431599741498,5.788494312563242,0.10165213719704845,1.0301790875130798,17.857142857142858,0.23760889155901221,1.1423783120802762,-4.1052779961398755,-3.0177781192040065,-1.087499876935869,0.20012915721475233,2015-06-05 12:00:00,1174.112,1179.7627146991504,1162.657570601699,2015-06-09 08:00:00,1179.7627146991504,SL,12,5.650714699150285,-1.0,-1.061939067646216,train_2015_2020,2015,2015-06
SILVER,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2015-11-03 08:00:00,short,stagnation,2931,2936,120,15.367,15.259,15.259,15.464,5,1.7489554204736322,0.3812114849914247,15.336,1.3420307015640232,15.385,15.396,15.301,15.336,0.11721282177934776,0.5157894736842017,15.513689536158942,15.66176343433488,15.527048339764113,-1.6164394184471096,33.76561624163145,32.30661695073879,4.217741232048751,0.1580519570066215,0.9043213638258865,18.253968253968253,0.368421052631578,1.4247588059468104,-0.11578983522695907,-0.10991904822465644,-0.005870787002302633,0.009199973224030891,2015-11-03 12:00:00,15.339,15.493303205444837,15.021393589110327,2015-11-05 04:00:00,15.021393589110327,TP,10,0.15430320544483678,2.0583267209132465,1.8315005840284064,train_2015_2020,2015,2015-11
SILVER,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2016-05-20 12:00:00,short,stagnation,3791,3799,120,16.688,16.608,16.323,16.64,8,2.051610491529808,0.08799371067615613,16.442,1.143130119341032,16.547,16.64,16.404,16.442,0.15451276024798707,0.4449152542372887,16.738763680485267,16.959931762054595,16.761594318006058,-2.3366176389774145,29.242704025661382,41.533217776326715,7.811662979126635,0.19047265786193746,0.9914737592395523,47.61904761904761,0.161016949152543,1.5273819432209332,-0.18479639800106895,-0.15524659648902173,-0.029549801512047225,0.026648841534600287,2016-05-20 16:00:00,16.439,16.618628190061994,16.088743619876013,2016-05-30 00:00:00,16.088743619876013,TP,34,0.17962819006199382,1.949896505682687,1.7550495833375872,train_2015_2020,2016,2016-05
AUDJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2016-06-27 12:00:00,short,stagnation,3981,3991,120,75.588,72.476,72.476,80.142,10,6.552674627467382,1.2433078646399156,74.78,1.4099242720419092,75.123,75.404,74.522,74.78,1.1699039607225115,0.38888888888889694,76.66554676719532,77.42194396870651,78.89886893001605,-1.3980343336298435,35.83226132402463,39.29248472587997,6.699227418231059,0.18492313796874346,1.7054438316109408,96.03174603174604,0.29251700680271914,1.3949863021167115,-0.7658805049986341,-0.49412361789828524,-0.2717568871003489,0.029164165278785403,2016-06-27 16:00:00,74.779,76.42947599018063,71.48104801963873,2016-06-29 08:00:00,76.42947599018063,SL,10,1.650475990180638,-1.0,-1.0075735727598318,train_2015_2020,2016,2016-06
GBPJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2016-10-10 00:00:00,short,stagnation,5951,5959,120,129.65,124.84,124.84,131.29,8,6.853232508645066,1.159417634122553,127.53,1.3762676680874246,128.07,128.2,127.45,127.53,0.9411617060800992,0.7200000000000031,129.46612036642583,130.40196899915063,132.57616956396382,-1.939194225088339,30.353969554238446,42.02941883953761,7.060537731742598,0.12242899601762011,1.4228418302996466,96.82539682539682,0.10666666666666641,1.3493961683688867,-0.8806955920048836,-0.5762932229040656,-0.30440236910081797,0.057611794034231334,2016-10-10 04:00:00,127.53,128.82529042652004,124.93941914695992,2016-10-11 16:00:00,124.93941914695992,TP,9,1.2952904265200402,2.0,1.9845594473713954,train_2015_2020,2016,2016-10
CHFJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2017-01-17 04:00:00,short,rebreak+stagnation,4886,4893,120,112.981,112.852,112.642,112.988,7,0.8857180400197935,0.21435174200647347,112.572,1.3149095510064477,112.907,112.946,112.464,112.572,0.3906435054571898,0.6950207468879548,113.1932527235712,113.67066809427554,113.28631666885943,-1.4224157403185853,32.915070727814964,33.74073539502996,4.004413811537436,0.08540514856180499,0.892084702864686,23.809523809523807,0.22406639004150258,1.3413764536715829,-0.32551579276348264,-0.2965301712104731,-0.028985621553009544,0.013964838238531896,2017-01-17 08:00:00,112.568,113.0856608763643,111.5446782472714,2017-01-17 12:00:00,113.0856608763643,SL,1,0.5176608763643031,-1.0,-1.0386353323443653,train_2015_2020,2017,2017-01
EURJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2017-01-17 04:00:00,short,rebreak+stagnation,4808,4815,120,121.19,121.11,120.76,121.18,7,1.1554807712767123,0.0751793772419779,120.7,1.570549452887673,121.07,121.18,120.7,120.7,0.36348506218406024,0.7708333333333068,121.41062412166589,121.91873686484865,121.5696803922766,-1.8591450460827776,32.12952734932033,34.295649091061215,5.348342073828568,0.10803325076803463,0.938456666262376,24.6031746031746,0.0,1.3205494528876769,-0.38093794980734685,-0.3294452050754704,-0.05149274473187643,0.02300685595851293,2017-01-17 08:00:00,120.7,121.27087126554602,119.55825746890797,2017-01-17 12:00:00,121.27087126554602,SL,1,0.5708712655460175,-1.0,-1.0218963551932025,train_2015_2020,2017,2017-01
EURJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2017-02-08 08:00:00,short,stagnation,4907,4915,120,119.94,119.75,119.53,120.11,8,1.555373194106127,0.09799220527511303,119.57,1.6981060772712278,119.92,119.92,119.37,119.57,0.37290085890500657,0.6363636363636551,120.37166756652024,121.04668603974741,121.53469183067817,-2.4312208473725154,30.071400564505026,46.59135089610245,7.921291369634262,0.1846495266076498,0.9367999473450199,36.507936507936506,0.36363636363634483,1.9844416614457405,-0.49838987514645794,-0.46341688892013116,-0.034972986226326774,0.03348278824212225,2017-02-08 12:00:00,119.56,120.20322521472625,118.30354957054749,2017-02-09 12:00:00,120.20322521472625,SL,6,0.6432252147262432,-1.0,-1.0194333177770536,train_2015_2020,2017,2017-02
XAUUSD,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2017-06-21 12:00:00,short,stagnation,5525,5536,120,1247.412,1244.021,1242.851,1248.092,11,1.3608356545556024,0.6088088875599478,1244.129,1.2034418094883286,1244.938,1246.991,1240.969,1244.129,3.8513100259057356,0.13434075058123635,1248.0964702697277,1255.6725418670667,1259.3522010069794,-1.4519492563037972,35.50248569372985,31.364605705867127,4.263872958416727,0.2784184917946806,0.8389838741886698,17.063492063492063,0.5247426104284106,1.773941841618725,-3.952458570385943,-4.436406678066296,0.48394810768035335,0.22915341867599093,2017-06-21 16:00:00,1244.139,1248.7638275064764,1234.8593449870468,2017-06-21 20:00:00,1248.7638275064764,SL,1,4.624827506476549,-1.0,-1.0756784981731753,train_2015_2020,2017,2017-06
CHFJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2017-11-21 08:00:00,short,rebreak+stagnation,6246,6258,120,113.283,113.243,113.243,113.587,12,1.3739449710475353,0.11353062822066398,113.209,1.7597418577208266,113.242,113.389,113.108,113.209,0.25037392854077173,0.11743772241993675,113.46373031293116,113.7262629074504,114.2850463592184,-1.1991705795568666,38.44791680091512,36.76056340972419,3.3249812656966404,0.25026685704573315,0.9824497885559742,40.87301587301587,0.3594306049822138,1.6575208226299492,-0.18735660573108248,-0.1925562206134228,0.005199614882340331,0.006553779172045249,2017-11-21 12:00:00,113.212,113.6495934821352,112.3278130357296,2017-11-24 08:00:00,113.6495934821352,SL,17,0.437593482135199,-1.0,-1.0457045198717814,train_2015_2020,2017,2017-11
