strategy,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
L360_REBREAK_PB075,GBPJPY,18,44.44444444444444,2.4895255548282433,0.13830697526823574,1.2450597170085467,3.909230733651558,3
L120_EITHER_PB075,AUDJPY,51,37.254901960784316,0.32665067269544834,0.006404915150891144,1.0100513070048855,12.504690300332548,6
L360_EITHER_PB075,GBPJPY,24,33.33333333333333,0.03944860680964801,0.0016436919504020004,1.0024248204042971,7.20441189883962,7
L240_REBREAK_PB075,AUDJPY,28,39.285714285714285,-0.0400850836025084,-0.0014316101286610142,0.9976732547345345,6.100498930248491,6
L240_REBREAK_PB075,SILVER,27,37.03703703703704,-0.7768824094231492,-0.02877342257122775,0.9582705964323804,5.899764180722664,5
L120_EITHER_PB075,SILVER,51,37.254901960784316,-0.8506011995542693,-0.016678454893220965,0.9748989715594378,10.161162155749551,8
L240_EITHER_PB100,AUDJPY,28,39.285714285714285,-0.9734295242964,-0.034765340153442854,0.9413244762390602,5.709530031056568,6
L240_EITHER_PB075,AUDJPY,29,37.93103448275862,-1.0476586563623402,-0.03612616056421863,0.9425485180316837,7.108072503008323,7
L360_STAG_ONLY,XAUUSD,19,31.57894736842105,-1.5536562324338548,-0.0817713806544134,0.883921367221191,6.312648750883823,5
L360_EITHER_PB100,SILVER,21,33.33333333333333,-2.160345893961977,-0.10287361399818937,0.8609581921021986,7.620381084351003,4
L360_REBREAK_PB075,XAUUSD,22,31.818181818181817,-2.3623241891169005,-0.10737837223258638,0.838015573748521,5.6093836040775,4
L360_EITHER_PB100,GBPJPY,24,29.166666666666668,-2.606749757233708,-0.10861457321807116,0.8494437685470073,10.262440603817812,7
L240_STAG_ONLY,XAUUSD,22,31.818181818181817,-3.044765967891185,-0.13839845308596296,0.802734264666001,7.825151598319175,6
L360_EITHER_PB075,SILVER,22,31.818181818181817,-3.2282158634832943,-0.1467370847037861,0.8057525483211563,7.630132806762996,4
L120_EITHER_PB075,GBPJPY,60,33.33333333333333,-3.7041765771680275,-0.06173627628613379,0.9072128076515048,11.192766842491379,6
L240_EITHER_PB100,GBPJPY,34,29.411764705882355,-3.8811017757695243,-0.11415005222851542,0.8366571939330285,8.275256407525207,7
L120_STAG_ONLY,SILVER,37,37.83783783783784,-3.937793786064039,-0.10642685908281187,0.8421811493841062,10.445712475950657,9
L360_EITHER_PB075,XAUUSD,25,28.000000000000004,-4.029426704899731,-0.16117706819598926,0.7734418319147986,7.754279417930101,5
L240_EITHER_PB100,SILVER,31,32.25806451612903,-4.071951396882191,-0.13135327086716747,0.8244801508856363,10.221640006352555,5
L240_EITHER_PB075,GBPJPY,34,29.411764705882355,-4.290018783455427,-0.12617702304280667,0.8194250815328579,8.27234307427627,7
L360_STAG_ONLY,AUDJPY,11,18.181818181818183,-4.7140571353700835,-0.4285506486700076,0.45860461914945183,6.123915399854164,6
L360_STAG_ONLY,GBPJPY,16,25.0,-4.860005482720143,-0.30375034267000894,0.5594101683149363,3.926502514780012,5
L360_REBREAK_PB075,SILVER,20,30.0,-5.074131326762258,-0.2537065663381129,0.6680650983202958,6.552555367374422,4
L240_EITHER_PB075,SILVER,32,31.25,-5.19040177275285,-0.16220005539852655,0.7866811938272429,10.251639823839126,5
L120_REBREAK_PB075,AUDJPY,49,34.69387755102041,-5.260229722818945,-0.107351626996305,0.8381379644735062,11.497116727572712,5
L240_REBREAK_PB075,XAUUSD,26,30.76923076923077,-5.325477934393595,-0.20482607439975364,0.697835402307464,7.611890217789286,6
L360_EITHER_PB100,EURJPY,25,28.000000000000004,-5.36444308015783,-0.21457772320631321,0.7060272698786384,10.235139096172825,10
L240_REBREAK_PB075,GBPJPY,29,31.03448275862069,-5.887465839386394,-0.20301606342711703,0.7008991128459507,8.171126811640322,8
L120_REBREAK_PB075,SILVER,48,33.33333333333333,-6.217115523672763,-0.1295232400765159,0.8158728438087396,9.028902714052503,7
L360_REBREAK_PB075,USDJPY,24,25.0,-6.239264419657461,-0.25996935081906086,0.6568399458430817,8.2323038145131,6
L360_STAG_ONLY,CHFJPY,9,22.22222222222222,-6.3949642569304235,-0.7105515841033804,0.11186988553033789,5.372332243139066,4
L360_EITHER_PB075,EURJPY,26,26.923076923076923,-6.39509460545958,-0.24596517713306076,0.6682827006278598,11.265790621474574,11
L240_STAG_ONLY,CHFJPY,12,25.0,-6.478984568854216,-0.5399153807378513,0.2987291011365299,6.394964256930426,5
L360_EITHER_PB100,AUDJPY,23,26.08695652173913,-6.53742844014568,-0.2842360191367687,0.5826549872244581,9.102972405352563,9
L360_STAG_ONLY,EURJPY,12,25.0,-6.557362125060726,-0.5464468437550605,0.2789274616764306,6.727135472200031,6
L120_EITHER_PB075,CHFJPY,51,33.33333333333333,-6.722944052267765,-0.13182243239740715,0.8002666427070734,10.310620316793491,8
L240_STAG_ONLY,AUDJPY,14,14.285714285714285,-6.76316664910725,-0.48308333207908927,0.3712393405203522,8.141188279151956,7
L360_EITHER_PB075,USDJPY,25,24.0,-7.26491638361226,-0.29059665534449036,0.6217655646200777,9.257955778467899,6
L120_STAG_ONLY,USDJPY,27,33.33333333333333,-7.280812983261985,-0.26965974012081423,0.5994940340319954,11.168576526636002,7
L120_STAG_ONLY,AUDJPY,28,25.0,-7.483897861353344,-0.26728206647690517,0.6237252734811168,10.857268051912786,8
L360_REBREAK_PB075,AUDJPY,24,25.0,-7.542706654139846,-0.3142794439224936,0.5864941123000843,9.167282062920593,9
L360_STAG_ONLY,USDJPY,17,23.52941176470588,-7.832150895168875,-0.4607147585393456,0.40313194824754733,9.125508796595689,9
L360_EITHER_PB100,XAUUSD,26,23.076923076923077,-8.055289957141282,-0.3098188445054339,0.59431338539477,11.77776907713629,9
L120_STAG_ONLY,GBPJPY,33,27.27272727272727,-8.194994847106353,-0.248333177185041,0.6357976050459295,9.794434734221051,7
L120_EITHER_PB075,XAUUSD,51,29.411764705882355,-8.317460749974458,-0.1630874656857737,0.7606501984058566,15.022723723613678,10
L360_EITHER_PB100,USDJPY,24,25.0,-8.380355209417438,-0.3491814670590599,0.5387840506516195,9.014855203327807,7
L360_REBREAK_PB075,EURJPY,25,24.0,-8.415851787458902,-0.33663407149835606,0.5634648431207308,11.349011793702095,11
L360_EITHER_PB075,AUDJPY,25,24.0,-8.550280226899678,-0.34201120907598714,0.5557936558136825,10.174855635680425,10
L240_STAG_ONLY,EURJPY,17,23.52941176470588,-8.606077048763831,-0.5062398263978725,0.3467337164467492,10.807153597349311,7
L240_EITHER_PB075,XAUUSD,31,25.806451612903224,-9.043033557583213,-0.2917107599220391,0.6047042275952581,11.82950550041216,7
L360_STAG_ONLY,SILVER,18,22.22222222222222,-9.773630506057911,-0.5429794725587729,0.3725398449501392,12.407948561035585,8
L120_STAG_ONLY,CHFJPY,27,25.925925925925924,-9.961767742972754,-0.3689543608508427,0.476064015953412,10.902894726152532,5
L120_REBREAK_PB075,XAUUSD,50,28.000000000000004,-10.082083707854133,-0.20164167415708267,0.7086249601731003,15.97053837111939,10
L120_REBREAK_PB075,GBPJPY,54,31.48148148148148,-10.184216995807697,-0.18859661103347586,0.7234922430234383,9.766583381612236,7
L240_STAG_ONLY,SILVER,24,25.0,-11.223812690540928,-0.467658862105872,0.43486379073218195,12.018094621516424,8
L120_STAG_ONLY,EURJPY,29,24.137931034482758,-11.718829014246863,-0.40409755221540905,0.47055159376379313,14.865371162213659,8
L120_STAG_ONLY,XAUUSD,33,27.27272727272727,-11.822955703351688,-0.3582713849500512,0.5017360743354272,12.87499582203703,5
L240_STAG_ONLY,USDJPY,21,19.047619047619047,-11.888468561238184,-0.5661175505351517,0.3077969139704743,12.273420679191323,12
L240_EITHER_PB100,XAUUSD,31,19.35483870967742,-12.166319630807234,-0.3924619235744269,0.4923714304763667,15.905868150957176,14
L240_REBREAK_PB075,USDJPY,30,20.0,-12.287402046306703,-0.4095800682102234,0.4928433485994164,14.280441441162342,8
L120_REBREAK_PB075,CHFJPY,51,29.411764705882355,-12.601387053855252,-0.24708602066382845,0.6467328833057473,12.538712792097343,8
L240_STAG_ONLY,GBPJPY,23,13.043478260869565,-13.0798976590023,-0.5686912025653175,0.3144684732131856,12.07339827103722,8
L360_REBREAK_PB075,CHFJPY,21,14.285714285714285,-13.239031478589176,-0.6304300704090083,0.23579685141223428,13.351753928652919,8
L360_EITHER_PB075,CHFJPY,21,14.285714285714285,-13.269647249427162,-0.6318879642584363,0.2353808747375421,13.382369699490905,8
L360_EITHER_PB100,CHFJPY,21,14.285714285714285,-13.293230252816514,-0.633010964419834,0.2350614516480123,13.385266915363799,8
L240_REBREAK_PB075,CHFJPY,30,20.0,-13.841118701418214,-0.46137062338060714,0.3823482230772341,12.826693351665215,6
L240_EITHER_PB075,CHFJPY,30,20.0,-13.871734472256197,-0.46239114907520656,0.3818265675133573,12.857309122503198,6
L240_EITHER_PB100,CHFJPY,30,20.0,-13.910088475840219,-0.46366961586134064,0.38117506700493275,12.89566312608722,6
L120_REBREAK_PB075,EURJPY,54,25.925925925925924,-15.120532916295124,-0.28000986882028006,0.6268424334964285,21.29718634782748,17
L240_EITHER_PB075,USDJPY,33,18.181818181818183,-15.342859162470432,-0.46493512613546767,0.4376501761883644,17.33589855732607,8
L240_EITHER_PB100,USDJPY,31,19.35483870967742,-15.448042740969372,-0.4983239593861088,0.38785481164490826,16.08254273487975,9
L120_REBREAK_PB075,USDJPY,48,22.916666666666664,-16.01261400234213,-0.3335961250487944,0.5714792456288386,18.98437867017379,9
L120_EITHER_PB075,EURJPY,58,25.862068965517242,-16.337680487670333,-0.2816841463391437,0.6254507593820715,23.494815510307244,18
L240_EITHER_PB100,EURJPY,36,19.444444444444446,-16.521686319491554,-0.4589357310969876,0.43800583368014057,19.462647849039325,15
L120_EITHER_PB075,USDJPY,49,22.448979591836736,-17.031477264484476,-0.34758116866294847,0.5563107340075735,20.003241932316136,9
L240_EITHER_PB075,EURJPY,37,18.91891891891892,-17.550332819461875,-0.4743333194449155,0.42319814275850076,20.49129434900965,16
L240_REBREAK_PB075,EURJPY,35,17.142857142857142,-18.51493788155486,-0.5289982251872818,0.3696144948131,20.52327555784623,16
