symbol,timeframe,strategy,family,signal_time,direction,trigger_type,break_i,trigger_i,lookback_bars,prior_low,break_low,low_extreme,pullback_high,bars_after_break,pullback_atr,break_depth_atr,trigger_level,risk_atr_at_signal,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,year,month
EURJPY,H4,L120_EITHER_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,1617,1621,120,139.74,139.44,139.44,140.48,4,1.8717674488476248,0.1284044051758104,138.51,3.795559494451784,139.64,139.65,138.31,138.51,0.5556245785983083,0.8432835820895467,140.24822981710443,141.6385027407415,144.15385707720125,-1.4880502256335528,23.016949828089636,53.51419662130332,4.480670515215831,-0.21739277128310838,1.1374011649252243,77.77777777777779,0.14925373134327471,3.9055147730763013,-0.6573040382431259,-0.6153372108598698,-0.04196682738325608,-0.08778260077020217,2015-01-13 20:00:00,138.52,140.61890614464957,134.29218771070083,2015-01-22 16:00:00,134.29218771070083,TP,42,2.098906144649561,2.0142931593566167,2.0083376762913767,train_2015_2020,2015,2015-01
EURJPY,H4,L120_REBREAK_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,1617,1621,120,139.74,139.44,139.44,140.48,4,1.8717674488476248,0.1284044051758104,138.51,3.795559494451784,139.64,139.65,138.31,138.51,0.5556245785983083,0.8432835820895467,140.24822981710443,141.6385027407415,144.15385707720125,-1.4880502256335528,23.016949828089636,53.51419662130332,4.480670515215831,-0.21739277128310838,1.1374011649252243,77.77777777777779,0.14925373134327471,3.9055147730763013,-0.6573040382431259,-0.6153372108598698,-0.04196682738325608,-0.08778260077020217,2015-01-13 20:00:00,138.52,140.61890614464957,134.29218771070083,2015-01-22 16:00:00,134.29218771070083,TP,42,2.098906144649561,2.0142931593566167,2.0083376762913767,train_2015_2020,2015,2015-01
EURJPY,H4,L240_EITHER_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,1617,1621,240,139.74,139.44,139.44,140.48,4,1.8717674488476248,0.1284044051758104,138.51,3.795559494451784,139.64,139.65,138.31,138.51,0.5556245785983083,0.8432835820895467,140.24822981710443,141.6385027407415,144.15385707720125,-1.4880502256335528,23.016949828089636,53.51419662130332,4.480670515215831,-0.21739277128310838,1.1374011649252243,77.77777777777779,0.14925373134327471,3.9055147730763013,-0.6573040382431259,-0.6153372108598698,-0.04196682738325608,-0.08778260077020217,2015-01-13 20:00:00,138.52,140.61890614464957,134.29218771070083,2015-01-22 16:00:00,134.29218771070083,TP,42,2.098906144649561,2.0142931593566167,2.0083376762913767,train_2015_2020,2015,2015-01
EURJPY,H4,L240_EITHER_PB100,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,1617,1621,240,139.74,139.44,139.44,140.48,4,1.8717674488476248,0.1284044051758104,138.51,3.795559494451784,139.64,139.65,138.31,138.51,0.5556245785983083,0.8432835820895467,140.24822981710443,141.6385027407415,144.15385707720125,-1.4880502256335528,23.016949828089636,53.51419662130332,4.480670515215831,-0.21739277128310838,1.1374011649252243,77.77777777777779,0.14925373134327471,3.9055147730763013,-0.6573040382431259,-0.6153372108598698,-0.04196682738325608,-0.08778260077020217,2015-01-13 20:00:00,138.52,140.61890614464957,134.29218771070083,2015-01-22 16:00:00,134.29218771070083,TP,42,2.098906144649561,2.0142931593566167,2.0083376762913767,train_2015_2020,2015,2015-01
EURJPY,H4,L240_REBREAK_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,1617,1621,240,139.74,139.44,139.44,140.48,4,1.8717674488476248,0.1284044051758104,138.51,3.795559494451784,139.64,139.65,138.31,138.51,0.5556245785983083,0.8432835820895467,140.24822981710443,141.6385027407415,144.15385707720125,-1.4880502256335528,23.016949828089636,53.51419662130332,4.480670515215831,-0.21739277128310838,1.1374011649252243,77.77777777777779,0.14925373134327471,3.9055147730763013,-0.6573040382431259,-0.6153372108598698,-0.04196682738325608,-0.08778260077020217,2015-01-13 20:00:00,138.52,140.61890614464957,134.29218771070083,2015-01-22 16:00:00,134.29218771070083,TP,42,2.098906144649561,2.0142931593566167,2.0083376762913767,train_2015_2020,2015,2015-01
GBPJPY,H4,L120_EITHER_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,3197,3201,120,178.99,178.68,178.45,180.05,4,1.9760472535230589,0.08878313377021343,178.33,2.374250797537248,179.84,179.85,178.08,178.33,0.8096972363122449,0.8531073446327719,179.7338767764753,181.2177032926108,183.4828607553062,-0.8631983062681319,33.950645621939714,35.027589680860984,3.0693623307844233,-0.07177249796593926,1.1883001432113838,82.14285714285714,0.1412429378531088,2.4330081809002304,-0.5962875120431761,-0.6343341919227423,0.038046679879566225,-0.006894801621121993,2015-01-13 20:00:00,178.32,180.25242430907807,174.4851513818439,2015-02-05 16:00:00,180.25242430907807,SL,98,1.9324243090780726,-1.0,-1.0103496938565855,train_2015_2020,2015,2015-01
GBPJPY,H4,L120_REBREAK_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,3197,3201,120,178.99,178.68,178.45,180.05,4,1.9760472535230589,0.08878313377021343,178.33,2.374250797537248,179.84,179.85,178.08,178.33,0.8096972363122449,0.8531073446327719,179.7338767764753,181.2177032926108,183.4828607553062,-0.8631983062681319,33.950645621939714,35.027589680860984,3.0693623307844233,-0.07177249796593926,1.1883001432113838,82.14285714285714,0.1412429378531088,2.4330081809002304,-0.5962875120431761,-0.6343341919227423,0.038046679879566225,-0.006894801621121993,2015-01-13 20:00:00,178.32,180.25242430907807,174.4851513818439,2015-02-05 16:00:00,180.25242430907807,SL,98,1.9324243090780726,-1.0,-1.0103496938565855,train_2015_2020,2015,2015-01
GBPJPY,H4,L240_EITHER_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,3197,3201,240,178.99,178.68,178.45,180.05,4,1.9760472535230589,0.08878313377021343,178.33,2.374250797537248,179.84,179.85,178.08,178.33,0.8096972363122449,0.8531073446327719,179.7338767764753,181.2177032926108,183.4828607553062,-0.8631983062681319,33.950645621939714,35.027589680860984,3.0693623307844233,-0.07177249796593926,1.1883001432113838,82.14285714285714,0.1412429378531088,2.4330081809002304,-0.5962875120431761,-0.6343341919227423,0.038046679879566225,-0.006894801621121993,2015-01-13 20:00:00,178.32,180.25242430907807,174.4851513818439,2015-02-05 16:00:00,180.25242430907807,SL,98,1.9324243090780726,-1.0,-1.0103496938565855,train_2015_2020,2015,2015-01
GBPJPY,H4,L240_EITHER_PB100,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,3197,3201,240,178.99,178.68,178.45,180.05,4,1.9760472535230589,0.08878313377021343,178.33,2.374250797537248,179.84,179.85,178.08,178.33,0.8096972363122449,0.8531073446327719,179.7338767764753,181.2177032926108,183.4828607553062,-0.8631983062681319,33.950645621939714,35.027589680860984,3.0693623307844233,-0.07177249796593926,1.1883001432113838,82.14285714285714,0.1412429378531088,2.4330081809002304,-0.5962875120431761,-0.6343341919227423,0.038046679879566225,-0.006894801621121993,2015-01-13 20:00:00,178.32,180.25242430907807,174.4851513818439,2015-02-05 16:00:00,180.25242430907807,SL,98,1.9324243090780726,-1.0,-1.0103496938565855,train_2015_2020,2015,2015-01
GBPJPY,H4,L240_REBREAK_PB075,monthly_low_rebreak_short,2015-01-13 16:00:00,short,rebreak,3197,3201,240,178.99,178.68,178.45,180.05,4,1.9760472535230589,0.08878313377021343,178.33,2.374250797537248,179.84,179.85,178.08,178.33,0.8096972363122449,0.8531073446327719,179.7338767764753,181.2177032926108,183.4828607553062,-0.8631983062681319,33.950645621939714,35.027589680860984,3.0693623307844233,-0.07177249796593926,1.1883001432113838,82.14285714285714,0.1412429378531088,2.4330081809002304,-0.5962875120431761,-0.6343341919227423,0.038046679879566225,-0.006894801621121993,2015-01-13 20:00:00,178.32,180.25242430907807,174.4851513818439,2015-02-05 16:00:00,180.25242430907807,SL,98,1.9324243090780726,-1.0,-1.0103496938565855,train_2015_2020,2015,2015-01
