trade_no,entry_time,exit_time,entry_signal,exit_signal,entry_price,exit_price,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,cum_usd,cum_pct,hold_hours
1,2018-05-17 02:00:00,2018-06-07 18:00:00,L,X,16.36314,16.7498,20000.13,2.36,20000.13,2.36,-4531.14,-0.54,20000.13,2.0,520.0
2,2019-06-12 02:00:00,2019-06-20 02:00:00,L,X,14.7986,15.13897,20400.33,2.3,20400.33,2.3,-4028.28,-0.45,40400.46,4.04,192.0
3,2020-01-30 07:00:00,2020-01-31 23:00:00,L,X,17.56586,18.08316,20808.37,2.94,20808.37,2.94,-923.56,-0.13,61208.82,6.12,40.0
4,2021-01-12 15:00:00,2021-01-18 07:00:00,L,X,25.41516,24.39707,-10612.1,-4.01,5008.93,1.89,-10612.1,-4.01,50596.72,5.06,136.0
5,2022-01-08 03:00:00,2022-01-13 03:00:00,L,X,22.321,23.17951,21012.11,3.85,21012.11,3.85,-3096.1,-0.57,71608.83,7.16,120.0
6,2022-07-16 02:00:00,2022-07-28 22:00:00,L,X,18.65545,19.7973,21432.27,6.12,21432.27,6.12,-7699.36,-2.2,93041.1,9.3,308.0
7,2022-09-02 18:00:00,2022-09-09 10:00:00,L,X,17.948,18.81776,21860.92,4.85,21860.92,4.85,-2500.88,-0.55,114902.02,11.49,160.0
8,2023-01-06 23:00:00,2023-01-23 23:00:00,L,X,23.71,23.04783,-11149.14,-2.79,13421.84,3.36,-11149.14,-2.79,103752.88,10.38,408.0
9,2023-07-31 22:00:00,2023-08-02 22:00:00,L,X,24.5105,24.09888,-11037.58,-1.68,8835.53,1.34,-11037.58,-1.68,92715.31,9.27,48.0
10,2024-01-05 11:00:00,2024-01-11 23:00:00,L,X,23.13925,22.63846,-10927.35,-2.16,8252.41,1.63,-10927.35,-2.16,81787.95,8.18,156.0
11,2024-04-24 14:00:00,2024-04-30 14:00:00,L,X,27.413,26.58229,-10817.97,-3.03,4180.24,1.17,-10817.97,-3.03,70969.98,7.1,144.0
12,2024-12-21 03:00:00,2025-01-16 23:00:00,L,X,29.425,30.93532,21236.63,5.13,21236.63,5.13,-9090.44,-2.2,92206.61,9.22,644.0
13,2025-08-01 22:00:00,2025-08-22 22:00:00,L,X,37.0155,38.78558,21831.81,4.78,21831.81,4.78,-4187.94,-0.92,114038.42,11.4,504.0
14,2025-12-30 23:00:00,2026-01-13 23:00:00,L,X,76.3352,89.12141,22306.06,16.75,22306.06,16.75,-10921.26,-8.2,136344.47,13.63,336.0
15,2026-02-03 19:00:00,2026-02-06 07:00:00,L,X,86.68975,69.53219,-11363.45,-19.79,3652.72,6.36,-11363.45,-19.79,124981.02,12.5,60.0
