overlap_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
free,bucket_free,18,55.55555555555556,11.80966128629362,0.6560922936829789,2.465705989549314,3.019919659295775,3
overlap_opposite_or_mixed,bucket_overlap_opposite_or_mixed,2,0.0,-1.2886138453514422,-0.6443069226757211,0.0,1.0086437763522806,2
overlap_same_direction,bucket_overlap_same_direction,10,80.0,14.813529407047044,1.4813529407047044,14.76608331354975,0.022104668109996006,1
