overlap_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
overlap_opposite_or_mixed,pair_bucket_overlap_opposite_or_mixed,2,50.0,0.6326698494117553,0.31633492470587765,1.4751938461511225,0.0,1
overlap_same_direction,pair_bucket_overlap_same_direction,10,80.0,20.103442994863514,2.010344299486351,6.909222096234638,1.0844584076379267,1
