strategy,symbol,direction,signal_time,entry_time,exit_time,entry,exit,r,exit_reason,trigger_type,overlap_bucket,overlap_count,overlap_tb_r_sum,overlap_same_dir_count,overlap_opp_dir_count,overlap_tb_entries,overlap_tb_exits,overlap_tb_directions,overlap_tb_after_t5_hours_median,pair_total_r,entry_gap_hours_median
H4 T5 MACD BB,SILVER,long,2015-10-12 04:00:00,2015-10-12 08:00:00,2015-11-02 12:00:00,15.994,15.345662498356496,-1.0539842287562833,SL,stagnation,overlap_same_direction,1,-1.2636029573351997,1,0,2015-10-28 14:00:00,2015-10-28 18:00:00,long,390.0,-2.317587186091483,390.0
H4 T5 MACD BB,XAUUSD,long,2016-02-24 08:00:00,2016-02-24 12:00:00,2016-04-06 12:00:00,1236.848,1226.762,-0.2799700689991615,max_hold,rebreak,overlap_opposite_or_mixed,1,-1.051423118299295,0,1,2016-03-28 01:00:00,2016-03-28 07:00:00,short,781.0,-1.3313931872984566,781.0
H4 T5 MACD BB,GBPJPY,long,2016-08-23 20:00:00,2016-08-24 00:00:00,2016-09-01 08:00:00,132.33,136.57708814914676,1.9905817824836056,TP,stagnation+rebreak,overlap_same_direction,1,-1.0323100228385815,1,0,2016-08-29 03:00:00,2016-08-30,long,123.0,0.9582717596450241,123.0
H4 T5 MACD BB,USDJPY,long,2018-10-30 00:00:00,2018-10-30 04:00:00,2018-12-10 04:00:00,112.659,112.639,-0.022104668109996,max_hold,rebreak,overlap_same_direction,1,-1.0623537395279308,1,0,2018-11-06 07:00:00,2018-11-06 08:00:00,long,171.0,-1.0844584076379267,171.0
H4 T5 MACD BB,USDJPY,long,2019-02-04 00:00:00,2019-02-04 04:00:00,2019-03-01 08:00:00,109.615,111.96373838022797,1.9914847902310684,TP,stagnation,overlap_same_direction,1,-1.050326379580227,1,0,2019-02-25 18:00:00,2019-02-26,long,518.0,0.9411584106508415,518.0
H4 T5 MACD BB,XAUUSD,long,2019-05-05 20:00:00,2019-05-06 00:00:00,2019-06-03 16:00:00,1284.158,1322.1482851411877,1.9800106706938685,TP,rebreak,overlap_same_direction,1,-1.0677175231100746,1,0,2019-05-13 14:00:00,2019-05-16 12:00:00,long,182.0,0.9122931475837939,182.0
H4 T5 MACD BB,GBPJPY,long,2020-02-05 08:00:00,2020-02-05 12:00:00,2020-02-28 00:00:00,143.1,140.78619649735558,-1.0086437763522806,SL,rebreak,overlap_opposite_or_mixed,1,2.9727068130624925,0,1,2020-02-27 22:00:00,2020-02-28 15:00:00,short,538.0,1.9640630367102119,538.0
H4 T5 MACD BB,GBPJPY,long,2021-10-05 04:00:00,2021-10-05 08:00:00,2021-10-15 00:00:00,151.43,156.03024275442763,1.978402860216248,TP,stagnation,overlap_same_direction,1,2.9580093575330757,1,0,2021-10-08 13:00:00,2021-10-11 10:00:00,long,77.0,4.936412217749323,77.0
H4 T5 MACD BB,CHFJPY,long,2023-03-22 08:00:00,2023-03-22 12:00:00,2023-04-28 12:00:00,144.07,152.15698123590417,1.995794151543929,TP,stagnation+rebreak,overlap_same_direction,1,2.9595850016461793,1,0,2023-04-11 15:00:00,2023-04-13 08:00:00,long,483.0,4.955379153190108,483.0
H4 T5 MACD BB,USDJPY,long,2023-09-25 08:00:00,2023-09-25 12:00:00,2023-10-31 12:00:00,148.676,151.522629721898,1.9866929526231991,TP,stagnation,overlap_same_direction,1,2.9412849915552184,1,0,2023-10-25 21:00:00,2023-10-26 06:00:00,long,729.0,4.9279779441784175,729.0
H4 T5 MACD BB,USDJPY,long,2024-04-08 00:00:00,2024-04-08 04:00:00,2024-04-15 04:00:00,151.769,153.79013703189838,1.9842141900145391,TP,stagnation+rebreak,overlap_same_direction,1,2.9552749529470335,1,0,2024-04-10 13:00:00,2024-04-10 20:00:00,long,57.0,4.939489142961572,57.0
H4 T5 MACD BB,GBPJPY,long,2024-05-17 12:00:00,2024-05-17 16:00:00,2024-06-27 20:00:00,197.77,203.43375763795095,1.9824369061068663,TP,stagnation,overlap_same_direction,1,-1.047930093473023,1,0,2024-06-12 09:00:00,2024-06-12 11:00:00,long,617.0,0.9345068126338434,617.0
