scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
TB_only,381,39.37007874015748,194.6070981564405,0.5107797851875079,1.7942140570952136,11.941818281770324,11
TB_plus_T5_free_only,399,40.100250626566414,206.41675944273413,0.5173352366985818,1.8155916697664327,11.941818281770324,11
TB_plus_T5_free_and_same_overlap_full,409,41.075794621026894,221.23028884978118,0.5409053517109564,1.8704218407015305,11.941818281770324,11
TB_plus_T5_free_and_same_overlap_half,409,41.075794621026894,213.82352414625765,0.5227959025580872,1.8430649137466084,11.941818281770324,11
TB_plus_T5_free_and_same_overlap_quarter,409,41.075794621026894,210.1201417944959,0.5137411779816525,1.829342877700475,11.941818281770324,11
TB_plus_all_T5,411,40.87591240875913,219.94167500442973,0.5351378953879069,1.8609866378524207,11.941818281770324,11
same_symbol_first_wins,399,40.852130325814535,212.73047772185006,0.5331590920347119,1.8582084420706866,11.941818281770324,11
T5_only,30,60.0,25.334576847989222,0.8444858949329741,3.4308696078483205,4.353873957051221,5
T5_free_only,18,55.55555555555556,11.80966128629362,0.6560922936829789,2.465705989549314,3.019919659295775,3
T5_overlap_same_direction_only,10,80.0,14.813529407047044,1.4813529407047044,14.76608331354975,0.022104668109996006,1
T5_overlap_opposite_or_mixed_only,2,0.0,-1.2886138453514422,-0.6443069226757211,0.0,1.0086437763522806,2
