timeframe,month,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_losing_streak,avg_hold_days
H4,2020-07,19,13,6,68.42105263157895,40.109701138802386,2.111036902042231,1.0256932078351488,7.684950189800397,2,5.578947368421052
H1,2020-07,41,25,16,60.97560975609756,36.895250664202926,0.8998841625415348,0.5259368249694721,3.305953166512683,5,2.321138211382114
H1,2019-07,31,16,15,51.61290322580645,25.589420750615574,0.8254651855037282,0.5379912663755569,2.7059613833743716,3,2.1102150537634414
H1,2021-02,34,21,13,61.76470588235294,24.080325409801052,0.7082448649941486,0.5768972405224351,2.85233272383085,3,2.2132352941176476
H1,2022-03,34,18,16,52.94117647058824,24.058816930073775,0.7076122626492287,0.31686751251968953,2.503676058129611,4,2.337009803921568
H1,2023-11,27,14,13,51.85185185185185,23.82546479252932,0.8824246219455304,0.4529467896578209,2.8327280609637935,5,2.433641975308642
H1,2019-05,42,27,15,64.28571428571429,23.130809998227498,0.550733571386369,0.5266001635923813,2.542053999881833,5,1.765873015873016
H1,2020-03,22,11,11,50.0,22.506421082976193,1.0230191401352815,-0.37314482112170344,3.0460382802705634,7,2.015151515151515
H4,2022-03,15,10,5,66.66666666666666,22.234089788594474,1.482272652572965,0.6144908826851705,5.446817957718894,2,6.333333333333333
H1,2021-05,38,22,16,57.89473684210527,21.953908555544494,0.5777344356722235,0.5251285302238595,2.372119284721531,3,2.046052631578948
H1,2023-06,39,21,18,53.84615384615385,21.849245635496295,0.5602370675768281,0.25846153846154374,2.2138469797497944,4,2.4284188034188032
H4,2021-02,12,8,4,66.66666666666666,20.76673194823448,1.7305609956862067,1.4403017747443627,6.19168298705862,2,5.9444444444444455
H1,2018-08,36,17,19,47.22222222222222,19.557912365368594,0.543275343482461,-1.0,2.0293638087036103,6,1.8125
H1,2020-02,25,12,13,48.0,17.489493788008822,0.6995797515203529,-1.0,2.3453456760006786,5,2.4783333333333335
H4,2019-07,18,9,9,50.0,17.183236444479753,0.9546242469155418,-0.32427100770760153,2.909248493831084,4,4.814814814814815
H1,2020-08,38,19,19,50.0,17.084828637627414,0.44960075362177404,-0.36993243243243656,1.8992015072435482,7,1.3563596491228067
D1,2016-11,5,4,1,80.0,15.718893800233218,3.1437787600466436,4.068304373876575,16.718893800233218,1,33.4
H1,2024-03,31,16,15,51.61290322580645,15.121794469947325,0.48779982161120405,0.34574570711941593,2.0081196313298215,6,2.2231182795698925
H1,2016-11,35,23,12,65.71428571428571,13.33664764754597,0.38104707564417056,0.4177687351644541,2.111387303962163,3,1.829761904761905
H4,2023-06,20,10,10,50.0,13.285519672249382,0.6642759836124691,-0.31252357600905634,2.3285519672249384,5,5.25
H1,2016-02,33,18,15,54.54545454545454,13.25952482196051,0.4018037824836518,0.4883537751772303,1.8839683214640341,6,1.8737373737373737
H1,2016-06,34,19,15,55.88235294117647,12.618243250329032,0.37112480148026566,0.28375355276684233,1.841216216688602,3,2.8370098039215685
H4,2022-04,12,9,3,75.0,12.308480890591117,1.025706740882593,1.1382502268449315,5.102826963530372,2,6.958333333333333
H1,2019-08,39,21,18,53.84615384615385,12.268081589940223,0.3145661946138519,0.3033462411648673,1.6815600883300124,7,2.6314102564102564
H4,2020-05,20,9,11,45.0,12.200330181010035,0.6100165090505018,-1.0,2.109120925546367,6,3.9083333333333337
H1,2024-05,38,22,16,57.89473684210527,11.798229881182023,0.3104797337153164,0.4189853485399646,1.7373893675738772,6,2.1030701754385968
H1,2024-10,38,20,18,52.63157894736842,11.460879624740361,0.3016020953879042,0.4133538261779804,1.6741693896906096,4,1.8936403508771928
H4,2016-02,18,8,10,44.44444444444444,11.34902813944726,0.6305015633026255,-1.0,2.134902813944726,6,5.12037037037037
H4,2015-11,12,7,5,58.333333333333336,11.143731152096704,0.9286442626747253,0.8477081471962614,3.2287462304193406,2,7.263888888888888
H1,2017-02,30,17,13,56.666666666666664,10.778728935581498,0.35929096451938325,0.5659122115117026,1.8291329950447304,4,2.438888888888889
H1,2015-01,35,21,14,60.0,10.060109772660196,0.2874317077902913,0.37625033027592963,1.7185792694757287,7,1.557142857142857
H1,2023-05,37,19,18,51.35135135135135,9.813628730367858,0.26523320892886104,0.36155947355349516,1.5452015961315475,7,1.8772522522522517
H1,2023-02,35,17,18,48.57142857142857,9.692036659710503,0.2769153331345858,-1.0,1.5384464810950278,4,1.8273809523809523
H4,2017-04,15,8,7,53.333333333333336,9.454785564893397,0.6303190376595598,0.3677499271349345,2.3506836521276284,5,7.2444444444444445
H1,2021-10,37,16,21,43.24324324324324,9.337939578160288,0.25237674535568344,-1.0,1.4446637894362042,7,2.0056306306306304
H4,2019-08,19,9,10,47.368421052631575,9.32670977383291,0.4908794617806795,-1.0,1.932670977383291,5,6.482456140350877
H1,2022-04,32,13,19,40.625,9.315497605218628,0.2911093001630821,-1.0,1.4902893476430858,5,1.4518229166666667
H1,2020-05,39,18,21,46.15384615384615,9.299381916590121,0.2384456901689775,-1.0,1.4428277103138152,5,1.6858974358974363
H4,2016-11,23,11,12,47.82608695652174,9.248658565005563,0.40211558978285056,-1.0,1.770721547083797,7,3.7101449275362315
H1,2015-08,32,16,16,50.0,9.035145199546278,0.2823482874858212,-0.3728371068793722,1.5646965749716424,4,2.00390625
D1,2020-05,4,4,0,100.0,8.766890362057566,2.1917225905143916,1.4984625126896949,,0,31.5
H4,2020-11,13,8,5,61.53846153846154,8.447354536853478,0.6497965028348829,0.4826754007929744,2.6894709073706955,2,5.435897435897436
H4,2019-05,18,11,7,61.111111111111114,8.413877533348273,0.46743764074157074,0.5609064670094454,2.2019825047640387,3,5.583333333333332
H4,2020-03,11,4,7,36.36363636363637,8.380884666342372,0.7618986060311247,-1.0,2.19726923804891,5,6.1060606060606055
H1,2024-04,40,18,22,45.0,8.188697379621662,0.20471743449054153,-1.0,1.3722135172555299,7,2.23125
H4,2018-02,11,8,3,72.72727272727273,8.160841295992485,0.7418946632720441,0.8416532474503474,3.720280431997496,1,8.515151515151516
H1,2020-01,24,13,11,54.166666666666664,7.258790688668579,0.3024496120278575,0.438346004578704,1.6598900626062345,3,2.147569444444444
H4,2018-08,19,12,7,63.1578947368421,6.909538040323956,0.36365989685915556,0.31248335173761177,1.987076862903422,6,3.7982456140350878
D1,2015-04,2,2,0,100.0,6.899003672360641,3.4495018361803207,3.4495018361803207,,0,41.0
H1,2017-04,31,15,16,48.38709677419355,6.797149012960988,0.21926287138583833,-1.0,1.4248218133100616,10,2.3669354838709675
H1,2019-04,27,14,13,51.85185185185185,6.6986824207405515,0.24809934891631671,0.25273072143371655,1.5152832631338886,4,1.3194444444444444
H1,2022-06,31,16,15,51.61290322580645,6.619965245874294,0.21354726599594495,0.36685934489402644,1.4413310163916195,4,2.1948924731182804
H4,2015-05,20,10,10,50.0,6.466856381458191,0.32334281907290957,-0.23352206845664725,1.6466856381458193,5,4.15
H4,2021-10,17,10,7,58.82352941176471,6.218132313739191,0.3657724890434818,0.36703081917950126,1.8883046162484558,2,3.598039215686274
H1,2018-02,32,19,13,59.375,6.2036193398887525,0.19386310437152351,0.4622855687092944,1.4772014876837505,5,2.015625
H1,2021-03,32,16,16,50.0,6.034630888731286,0.18858221527285268,-0.35039491081162943,1.3771644305457054,3,1.6640625
H4,2020-02,12,6,6,50.0,5.979636748944806,0.4983030624120672,-0.3360349578151988,1.9966061248241342,2,4.666666666666667
H1,2024-07,41,18,23,43.90243902439025,5.916432507290826,0.1443032318851421,-1.0,1.2572361959691662,12,1.6575203252032522
H4,2016-12,9,6,3,66.66666666666666,5.531128670926215,0.614569852325135,0.31320283215326883,2.843709556975405,2,11.111111111111109
H4,2022-08,14,6,8,42.857142857142854,5.499714850733508,0.3928367750523934,-1.0,1.6874643563416882,7,5.297619047619048
H4,2017-08,16,9,7,56.25,5.420429854825166,0.33877686592657286,0.5156455579478031,1.7743471221178808,2,6.604166666666666
H4,2024-06,13,7,6,53.84615384615385,5.3822605826914245,0.4140200448224173,0.39024390243900525,1.8970434304485708,3,6.1923076923076925
H1,2021-12,14,8,6,57.14285714285714,5.359003318788709,0.3827859513420506,0.628864417443308,1.8931672197981182,5,2.1666666666666665
H4,2015-07,15,8,7,53.333333333333336,5.294088855586022,0.35293925703906814,0.2637857764579405,1.7562984079408603,2,6.2444444444444445
D1,2020-07,3,2,1,66.66666666666666,5.25251919219062,1.7508397307302068,0.9518870642466075,6.25251919219062,1,20.666666666666668
H4,2016-06,19,7,12,36.84210526315789,5.109763852466014,0.2689349396034744,-1.0,1.4258136543721678,7,4.517543859649122
D1,2023-04,3,3,0,100.0,5.027720360560431,1.675906786853477,1.925061859314247,,0,51.333333333333336
H4,2023-11,19,9,10,47.368421052631575,4.962685768128826,0.26119398779625397,-1.0,1.4962685768128823,5,5.192982456140351
D1,2022-03,7,5,2,71.42857142857143,4.915151188202596,0.7021644554575138,0.3455852434558527,3.4575755941012987,1,29.285714285714285
H4,2023-01,12,6,6,50.0,4.907717540894202,0.4089764617411835,-0.32585995085994435,1.817952923482367,4,3.111111111111111
H4,2018-05,15,5,10,33.33333333333333,4.906475624629978,0.3270983749753319,-1.0,1.4906475624629976,5,4.555555555555555
H1,2018-06,23,11,12,47.82608695652174,4.903649624261824,0.21320215757660105,-1.0,1.4086374686884853,3,1.922101449275362
D1,2016-06,5,2,3,40.0,4.741420401481715,0.948284080296343,-1.0,2.5804734671605716,2,21.6
