timeframe,symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month
D1,XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-08-03 00:00:00,2015-08-04 00:00:00,14.472,15.060357142857143,2015-08-10 00:00:00,15.060357142857143,initial_stop,0.5883571428571432,-1.0,0.16486584921694702,-1.572174335316256,6.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-08
D1,CHFJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-08-04 00:00:00,2015-08-05 00:00:00,127.06,128.74369642857144,2015-08-20 00:00:00,128.74369642857144,initial_stop,1.6836964285714373,-1.0,0.6058099207738021,-1.0714520559568084,15.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-08
D1,AUDJPY,SimpleStagnation,安値停滞,高安値停滞,short,売り,2015-09-01 00:00:00,2015-09-02 00:00:00,83.922,87.70989285714286,2015-10-09 00:00:00,87.70989285714286,initial_stop,3.7878928571428645,-1.0,0.4770462281140095,-1.1637076776571953,37.0,0.65,SimpleStagnation with short-mid alignment and momentum,2015,2015-09
D1,GBPJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-09-01 00:00:00,2015-09-02 00:00:00,183.16,187.82428571428574,2015-09-17 00:00:00,187.82428571428574,initial_stop,4.6642857142857395,-1.0,0.5895865237365971,-1.0912710566615569,15.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-09
D1,EURJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2015-09-04 00:00:00,2015-09-06 00:00:00,132.72,134.45214285714286,2015-09-08 00:00:00,134.45214285714286,initial_stop,1.7321428571428612,-1.0,0.051958762886599785,-1.0622680412371128,2.0,0.85,"range first breakout failed, second breakout triggered",2015,2015-09
D1,XAUUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-11-04 00:00:00,2015-11-05 00:00:00,1109.811,1146.3588392857143,2015-12-04 00:00:00,1085.851,one_swing_break,36.54783928571442,0.6555791113310805,1.739637725310116,-0.04481797096662834,29.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-11
D1,XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-11-05 00:00:00,2015-11-06 00:00:00,14.996,15.618017857142858,2015-12-04 00:00:00,14.518,one_swing_break,0.6220178571428576,0.7684666838917109,1.8890132919932245,-0.11575230384979619,28.0,0.68,WideStagnation with short-mid alignment and momentum,2015,2015-11
D1,CHFJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-11-15 00:00:00,2015-11-16 00:00:00,121.326,122.98750000000001,2015-12-03 00:00:00,122.98750000000001,initial_stop,1.661500000000018,-1.0,1.5648510382184568,-1.50947938609689,17.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-11
D1,EURJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2015-11-15 00:00:00,2015-11-16 00:00:00,131.38,132.3642857142857,2015-12-03 00:00:00,132.3642857142857,initial_stop,0.9842857142857042,-1.0,1.7576197387518218,-3.149492017416572,17.0,0.85,"range first breakout failed, second breakout triggered",2015,2015-11
D1,AUDJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2015-12-01 00:00:00,2015-12-02 00:00:00,90.0,88.76835714285714,2015-12-08 00:00:00,88.76835714285714,initial_stop,1.2316428571428588,-1.0,0.5886446674012589,-1.4103114307255056,6.0,0.85,"range first breakout failed, second breakout triggered",2015,2015-12
