timeframe,year,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_losing_streak,avg_hold_days
H1,2020,350,148,202,42.285714285714285,63.70462240101362,0.1820132068600389,-1.0,1.3153694178268005,24,1.853452380952381
H4,2020,165,74,91,44.84848484848485,62.17040001217995,0.37679030310412087,-1.0,1.683191208925054,13,4.83939393939394
H1,2023,372,158,214,42.473118279569896,47.22297672302624,0.12694348581458667,-1.0,1.22066811552816,10,1.7857302867383515
H1,2024,361,166,195,45.98337950138504,34.27172763095546,0.09493553360375474,-1.0,1.1766583898502858,12,1.9076638965835644
H1,2021,367,154,213,41.96185286103542,30.17341683981266,0.08221639465889008,-1.0,1.141659233989731,11,1.7412579473206178
H1,2019,371,160,211,43.126684636118604,20.53234014246339,0.055343234885346065,-1.0,1.0973096689216273,14,1.6886792452830188
D1,2016,26,10,16,38.46153846153847,15.592400405507236,0.5997077079041244,-1.0,1.974525025344202,9,23.307692307692307
D1,2015,27,13,14,48.148148148148145,8.792987713456261,0.32566621160949116,-0.010921615004771306,1.675815900951689,5,24.62962962962963
D1,2021,28,15,13,53.57142857142857,6.034459800530703,0.2155164214475251,0.32628913482169886,1.4641892154254386,4,19.714285714285715
H4,2022,170,65,105,38.23529411764706,3.9046381102982046,0.02296845947234238,-1.0,1.0371870296218877,9,4.5852941176470585
D1,2020,27,10,17,37.03703703703704,1.6334690850470015,0.0604988550017408,-1.0,1.0960864167674709,9,15.962962962962964
H1,2018,360,150,210,41.66666666666667,1.618210865066061,0.004495030180739058,-1.0,1.0077057660241242,9,1.7768518518518521
D1,2018,26,13,13,50.0,1.548105745284267,0.0595425286647795,-0.46693954659950154,1.119085057329559,3,17.384615384615383
H4,2023,184,79,105,42.934782608695656,-0.7132508141067317,-0.003876363120145281,-1.0,0.9932071351037455,9,4.334239130434782
D1,2024,27,9,18,33.33333333333333,-3.40820864621055,-0.12622994985965,-1.0,0.7869869596118405,7,17.555555555555557
H4,2019,175,62,113,35.42857142857142,-5.904129671222741,-0.03373788383555852,-1.0,0.9477510648564361,14,4.4038095238095245
D1,2019,26,9,17,34.61538461538461,-6.342251446172389,-0.24393274792970726,-1.0,0.6269263855192714,9,17.884615384615383
H4,2018,160,66,94,41.25,-7.591770491565951,-0.047448565572287195,-1.0,0.9192364841322771,10,5.059375
H4,2016,190,72,118,37.89473684210527,-7.827799960269583,-0.04119894715931359,-1.0,0.9336627122011053,11,4.612280701754387
H4,2024,160,61,99,38.125,-8.248485459788734,-0.051553034123679585,-1.0,0.916681965052639,11,5.154166666666667
D1,2022,35,11,24,31.428571428571427,-10.364542131982773,-0.2961297751995078,-1.0,0.5681440778340511,6,16.8
D1,2023,35,11,24,31.428571428571427,-10.812571602500006,-0.3089306172142859,-1.0,0.5494761832291665,12,15.257142857142858
H4,2021,187,76,111,40.64171122994652,-12.942388986246623,-0.06921063629008889,-1.0,0.8834019010248052,16,4.097147950089126
H4,2015,179,71,108,39.66480446927375,-13.493970179641181,-0.07538530826615185,-1.0,0.8750558316699892,9,4.440409683426443
H1,2015,387,156,231,40.310077519379846,-13.557157274935243,-0.03503141414711949,-1.0,0.9413110074678127,12,1.6538544358311802
D1,2017,35,12,23,34.285714285714285,-14.09872909232246,-0.40282083120921314,-1.0,0.38701177859467567,11,12.142857142857142
H4,2017,169,68,101,40.23668639053255,-15.41410854885377,-0.09120774289262586,-1.0,0.8473850638727349,8,4.900394477317554
H1,2016,365,156,209,42.73972602739726,-21.653366485228755,-0.05932429174035275,-1.0,0.896395375668762,11,1.9231735159817354
H1,2022,375,142,233,37.86666666666667,-24.359828882795696,-0.06495954368745518,-1.0,0.8954513781854263,12,1.700111111111111
H1,2017,362,138,224,38.12154696132597,-38.046894333002754,-0.10510191804696893,-1.0,0.8301477931562377,17,1.7727900552486189
