entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,pnl_r,bars_held,r_clean,r_after_cost,risk_price,period,year
2015-04-23 15:00:00,2015-04-28 10:00:00,long,2107.13,2097.8243657461676,2135.0469027614977,2097.8243657461676,-9.305634253832523,-1.0000000000000029,65,-1.0000000000000029,-1.3223853332473794,9.305634253832523,Research_2015_2024,2015
2015-05-15 06:00:00,2015-05-15 13:00:00,long,2121.38,2116.198818746915,2136.9235437592547,2116.198818746915,-5.181181253085015,-1.0000000000000213,6,-1.0000000000000213,-1.5790185391051181,5.181181253085015,Research_2015_2024,2015
2015-06-28 22:00:00,2015-06-29 08:00:00,short,2063.63,2076.8903454521537,2023.8489636435395,2076.8903454521537,-13.260345452153615,-1.0000000000000069,9,-1.0000000000000069,-1.2262384498823793,13.260345452153615,Research_2015_2024,2015
2015-07-20 15:00:00,2015-07-21 14:00:00,long,2121.88,2116.9832528574275,2136.570241427718,2116.9832528574275,-4.896747142572622,-0.9999999999999875,22,-0.9999999999999875,-1.6126516057808566,4.896747142572622,Research_2015_2024,2015
2015-08-12 08:00:00,2015-08-12 11:00:00,short,2054.88,2065.055768311785,2024.352695064646,2065.055768311785,-10.17576831178485,-1.000000000000012,2,-1.000000000000012,-1.294818033202047,10.17576831178485,Research_2015_2024,2015
2015-08-20 16:00:00,2015-08-21 14:00:00,short,2044.13,2056.853766869143,2005.9586993925723,2005.9586993925723,38.17130060742784,2.999999999999997,21,2.999999999999997,2.7642207664716385,12.723766869142764,Research_2015_2024,2015
2015-11-16 00:00:00,2015-11-16 09:00:00,short,2004.88,2016.6959327665813,1969.4322017002564,2016.6959327665813,-11.815932766581227,-1.0000000000000018,8,-1.0000000000000018,-1.2538944710725557,11.815932766581227,Research_2015_2024,2015
2016-03-29 20:00:00,2016-04-01 12:00:00,long,2048.13,2039.2069214800604,2074.899235559819,2039.2069214800604,-8.923078519939736,-1.0000000000000095,61,-1.0000000000000095,-1.3362068363845738,8.923078519939736,Research_2015_2024,2016
2016-05-19 13:00:00,2016-05-19 19:00:00,short,2025.38,2035.8943155238517,1993.8370534284452,2035.8943155238517,-10.514315523851565,-0.9999999999999936,5,-0.9999999999999936,-1.2853252780168598,10.514315523851565,Research_2015_2024,2016
2016-07-08 17:00:00,2016-07-12 16:00:00,long,2119.88,2110.659556390516,2147.5413308284515,2147.5413308284515,27.661330828451355,2.9999999999999836,45,2.9999999999999836,2.6746360449605247,9.220443609483937,Research_2015_2024,2016
2016-10-13 07:00:00,2016-10-13 16:00:00,short,2114.38,2122.5431208127093,2089.890637561873,2122.5431208127093,-8.163120812709167,-1.000000000000014,8,-1.000000000000014,-1.367506505028005,8.163120812709167,Research_2015_2024,2016
2016-11-01 16:00:00,2016-11-03 19:00:00,short,2105.88,2114.040612510757,2081.3981624677294,2081.3981624677294,24.481837532270674,3.0000000000000204,50,3.0000000000000204,2.632380535646633,8.160612510756891,Research_2015_2024,2016
2017-02-09 16:00:00,2017-02-13 15:00:00,long,2302.38,2296.9490216271543,2318.672935118537,2318.672935118537,16.292935118537116,2.9999999999999782,45,2.9999999999999782,2.4476133407196565,5.430978372845857,Research_2015_2024,2017
2017-05-05 19:00:00,2017-05-08 15:00:00,long,2395.38,2389.665606312582,2412.523181062255,2389.665606312582,-5.714393687418124,-0.999999999999986,19,-0.999999999999986,-1.5249900801558844,5.714393687418124,Research_2015_2024,2017
2017-05-25 01:00:00,2017-05-31 14:00:00,long,2409.38,2404.640461335003,2423.5986159949916,2404.640461335003,-4.739538664997326,-1.0000000000000286,98,-1.0000000000000286,-1.6329729984388317,4.739538664997326,Research_2015_2024,2017
