d1_low_trap_source,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
CLOSEFAIL_L120_W6_BODY_RR15,selected_CURRENT_A30_180_SIGADX30,5,100.0,7.417712751319512,1.4835425502639024,1.4869907917067309,inf,0.0,0,2.055067601086877,0.49925139522441525,19.0,0,0.0
WICK_L120_BODY_RR15,selected_CURRENT_A30_180_SIGADX30,4,100.0,5.934984549938054,1.4837461374845136,1.4847182026863859,inf,0.0,0,2.036615984830651,0.09541826936192083,6.0,3,4.456085669579011
