label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,universe,min_trap_age,max_trap_age,shelf_bars,shelf_range,shelf_hold,body,close_location,rr,target_basis,signal_adx_max,score
broader_CURRENT_A30_180_SIGADX30,11,90.9090909090909,13.532656154454443,1.2302414685867675,1.4844504777683427,11.960809271907259,1.2346402367513925,1,1.9188675276014175,0.466479715638971,12.363636363636363,3,4.456085669579011,broader,30,180,6,1.8,0.5,0.4,0.6,1.5,entry,30.0,24.332038930056104
selected_CURRENT_A30_180_SIGADX30,9,100.0,13.352697301257566,1.4836330334730627,1.484985927604429,inf,0.0,0,2.0468668827507766,0.3197700059521955,13.222222222222221,3,4.456085669579011,selected,30,180,6,1.8,0.5,0.4,0.6,1.5,entry,30.0,24.29824013604707
selected_CURRENT_A30_240,16,75.0,13.708454232015335,0.8567783895009584,1.4818094646309403,4.355567583001033,4.085286287023685,4,1.5419611827856214,0.6155636732845595,11.6875,3,4.456085669579011,selected,30,240,6,1.8,0.5,0.4,0.6,1.5,entry,,24.19517549504892
broader_CURRENT_A30_180,14,78.57142857142857,12.985413283278222,0.9275295202341587,1.4818094646309403,4.973151568298395,3.2682904389775302,3,1.6306074053628936,0.641673231439306,10.642857142857142,3,4.456085669579011,broader,30,180,6,1.8,0.5,0.4,0.6,1.5,entry,,23.516383508323344
selected_CURRENT_A30_180,12,83.33333333333334,12.805454430081344,1.0671212025067787,1.4847182026863859,7.296783200996829,2.033650202226138,2,1.678563568018492,0.5608398684742801,11.0,3,4.456085669579011,selected,30,180,6,1.8,0.5,0.4,0.6,1.5,entry,,23.485084714314315
broader_CURRENT_A30_240,18,72.22222222222221,13.88841308521221,0.7715785047340117,1.4790336659262908,3.6106400197717092,5.319926523775079,5,1.519839987968253,0.6723536439451041,11.333333333333334,3,4.456085669579011,broader,30,240,6,1.8,0.5,0.4,0.6,1.5,entry,,23.447754328601363
broader_CURRENT_A30_240_SIGADX30,12,83.33333333333334,12.505276811936977,1.042106400994748,1.4818094646309403,6.528368068316631,2.2620195792688573,2,1.7750244479115593,0.5369412471222352,11.833333333333334,3,4.456085669579011,broader,30,240,6,1.8,0.5,0.4,0.6,1.5,entry,30.0,23.12781475190927
selected_CURRENT_A30_240_SIGADX30,10,90.0,12.3253179587401,1.23253179587401,1.4847182026863859,12.996852037669399,1.0273793425174649,1,1.861455251608011,0.4189948147007902,12.5,3,4.456085669579011,selected,30,240,6,1.8,0.5,0.4,0.6,1.5,entry,30.0,23.09651595790024
selected_CURRENT_A60_240,14,71.42857142857143,10.736637635221687,0.7669026882301205,1.4790336659262908,3.628123681154254,4.085286287023685,4,1.5140553902401852,0.6264914615468565,8.928571428571429,2,2.971635191810668,selected,60,240,6,1.8,0.5,0.4,0.6,1.5,entry,,19.57738102167961
broader_CURRENT_A60_240,14,71.42857142857143,10.736637635221687,0.7669026882301205,1.4790336659262908,3.628123681154254,4.085286287023685,4,1.5140553902401852,0.6264914615468565,8.928571428571429,2,2.971635191810668,broader,60,240,6,1.8,0.5,0.4,0.6,1.5,entry,,19.57738102167961
selected_CURRENT_A30_120,9,77.77777777777779,8.355162291067957,0.9283513656742175,1.4844504777683427,5.108455958611747,2.0336502022261373,2,1.5578532283095128,0.7341706522830989,12.444444444444445,2,2.971099741974582,selected,30,120,6,1.8,0.5,0.4,0.6,1.5,entry,,18.052299611498714
broader_CURRENT_A30_120,11,72.72727272727273,8.535121144264833,0.7759201040240757,1.479168451493538,3.6114940834129197,3.2682904389775302,3,1.5187654466949292,0.8055347899097101,11.727272727272727,2,2.971099741974582,broader,30,120,6,1.8,0.5,0.4,0.6,1.5,entry,,17.306586572333583
