metric,result_group,count,mean,median,min,max
d1_low_trap_age_days,win,9,76.2962962962963,70.33333333333333,30.666666666666668,148.33333333333334
drop_atr,win,9,4.159812411995923,3.6257471955113645,2.830295166243616,6.186181381057796
drop_bars,win,9,13.11111111111111,12.0,7.0,20.0
context_recovery_bars,win,9,7.0,8.0,3.0,10.0
context_speed_ratio,win,9,1.6670183636741596,1.2358841778696958,1.0307086614173127,3.6723272867618397
recovery_ratio_signal,win,9,1.1645744779747162,0.9884214588961787,0.8662530162013086,1.8346456692913335
speed_ratio_signal,win,9,0.7309063112586174,0.6870654725390519,0.5051724100472074,1.084055346824464
shelf_range_atr,win,9,1.4242204126225424,1.389189449010081,1.127247636715835,1.7199346825172146
shelf_hold_actual,win,9,0.7722204175618566,0.7634118101119268,0.49602122015915734,1.086614173228334
breakout_atr,win,9,0.2732140000114507,0.22551401146093866,0.06049555740409834,0.5023875276715715
body_ratio,win,9,0.6912045759006177,0.7540983606557339,0.5544871794871895,0.8275862068965162
close_location,win,9,0.8546367023933268,0.8636363636363636,0.6901408450704276,0.9775641025640863
pre_adx14,win,9,21.055358308353313,21.318947870450007,13.210225730251226,25.95984924880627
pre_ema50_slope_20_atr,win,9,-0.7145621857266344,-0.6026182806147403,-2.0054440565903353,0.4116395756754544
pre_range60_atr,win,9,7.823695733703894,7.355057602203717,6.665550095376889,10.122017231743254
signal_adx14,win,9,15.33721569511515,15.113562927100588,9.130493423505712,25.248904309314625
signal_range60_atr,win,9,7.928400653632715,7.837429632834176,5.222783122553632,12.384727361257266
signal_risk_atr,win,9,1.9474344126339895,1.9842557789569415,1.5243448922007408,2.1894204985642447
mfe_r,win,9,2.0468668827507766,1.882219871973957,1.52380197337874,2.9303009000277442
mae_r,win,9,0.3197700059521955,0.21271746412913367,0.03903658822853572,0.9054408972133954
bars_held,win,9,13.222222222222221,9.0,3.0,57.0
