symbol,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
EURJPY,selected_CURRENT_A30_180_SIGADX30,3,100.0,4.454343513764697,1.484781171254899,1.4869907917067309,inf,0.0,0,2.319174977882131,0.45562347772613593,8.333333333333334,0,0.0
USDJPY,selected_CURRENT_A30_180_SIGADX30,2,100.0,2.971635191810668,1.485817595905334,1.485817595905334,inf,0.0,0,2.291825852275273,0.05156006001937012,5.0,2,2.971635191810668
GBPJPY,selected_CURRENT_A30_180_SIGADX30,2,100.0,2.963369237554815,1.4816846187774075,1.4816846187774075,inf,0.0,0,1.6589065358939958,0.5646932714718342,35.0,0,0.0
AUDJPY,selected_CURRENT_A30_180_SIGADX30,2,100.0,2.9633493581273864,1.4816746790636932,1.4816746790636932,inf,0.0,0,1.7814061173860294,0.13927647870447152,7.0,1,1.4844504777683427
