period,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
Research_2015_2024,selected_CURRENT_A30_180_SIGADX30,6,100.0,8.896611631678555,1.482768605279759,1.4830796216001345,inf,0.0,0,2.0262596462347235,0.4270154115669809,17.333333333333332,0,0.0
OOS_2025_2026,selected_CURRENT_A30_180_SIGADX30,3,100.0,4.456085669579011,1.4853618898596703,1.484985927604429,inf,0.0,0,2.0880813557828826,0.10527919472262465,5.0,3,4.456085669579011
