is_oos,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
False,observe_loose,fixed_1_5R,173,47.398843930635834,18.57641452296365,0.10737811862984768,1.2346408105269422,8.7745511150612,6,1.4999999999999998,1.5,33.27745664739884,32.947976878612714
True,observe_loose,fixed_1_5R,31,61.29032258064516,11.332586444752065,0.36556730466942144,2.196495156964368,3.557113118375426,3,1.5000000000000009,1.5,34.29032258064516,35.483870967741936
False,observe_loose,fixed_2R,163,43.558282208588956,10.687631280415086,0.06556829006389624,1.1321031602749012,10.291716222157397,6,2.0,2.0,37.50920245398773,19.018404907975462
True,diag_break,fixed_2R,13,76.92307692307693,9.179758108151068,0.7061352390885437,5.477022627969586,1.0105991072910196,1,2.0,2.0,37.23076923076923,23.076923076923077
True,basic_role,fixed_2R,24,58.333333333333336,8.981387650067383,0.3742244854194743,2.132172942156113,2.868225656197329,3,2.0,2.0,36.916666666666664,20.833333333333336
True,basic_role,fixed_1_5R,24,62.5,8.926357890598096,0.37193157877492067,2.288879363913883,2.868225656197329,3,1.5,1.5,34.208333333333336,33.33333333333333
True,observe_loose,fixed_2R,31,54.83870967741935,8.736460756802103,0.2818213147355517,1.760180322250053,3.557113118375426,3,2.0,2.0,39.096774193548384,19.35483870967742
True,context,fixed_2R,9,88.88888888888889,8.617772782590842,0.9575303091767603,284.85237033093813,0.030360052207925925,1,2.0,2.0,44.77777777777778,22.22222222222222
True,diag_break,fixed_1_5R,13,76.92307692307693,7.624728348681778,0.5865175652832136,4.718625365395927,1.0105991072910196,1,1.5000000000000013,1.5,34.23076923076923,38.46153846153847
True,context,fixed_1_5R,9,88.88888888888889,7.56274302312154,0.8403047803468378,250.10177925014062,0.030360052207925925,1,1.4999999999999996,1.5,40.44444444444444,44.44444444444444
False,observe_loose,half_wave,8,75.0,3.7509524077605745,0.4688690509700718,4.389421824175583,0.08746596118652394,1,0.8825229366858944,0.6338757296240749,16.375,75.0
False,basic_role,fixed_1_5R,138,44.20289855072464,2.638989111723866,0.019123109505245407,1.0366143242536219,10.191465227130827,10,1.5,1.5,29.86231884057971,31.88405797101449
False,basic_role,half_wave,3,66.66666666666666,2.463937988223562,0.8213126627411874,29.17024994407981,0.0,1,1.3877138007607053,1.5865536192667138,28.0,66.66666666666666
True,strict_synapse,fixed_2R,2,50.0,1.5791659891004974,0.7895829945502487,53.01460057727527,0.0,1,2.0,2.0,60.0,0.0
False,context,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
False,diag_break,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
True,strict_synapse,fixed_1_5R,2,50.0,1.4624785416015902,0.7312392708007951,49.17114712404162,0.0,1,1.4999999999999964,1.4999999999999964,50.5,50.0
False,diag_break,fixed_2R,77,41.55844155844156,0.14697340817999605,0.0019087455607791695,1.0034438557385703,10.638563098274041,9,2.0,2.0,31.207792207792206,23.376623376623375
True,observe_loose,half_wave,1,0.0,-1.0130407653261924,-1.0130407653261924,0.0,0.0,1,1.021604240820825,1.021604240820825,16.0,0.0
False,strict_synapse,fixed_1_5R,11,45.45454545454545,-2.412855593333126,-0.21935050848482965,0.5626387375120872,3.4882513745934216,4,1.4999999999999993,1.5,44.27272727272727,0.0
False,strict_synapse,fixed_2R,11,45.45454545454545,-2.412855593333126,-0.21935050848482965,0.5626387375120872,3.4882513745934216,4,2.0,2.0,44.27272727272727,0.0
False,basic_role,fixed_2R,136,39.705882352941174,-4.137768191630242,-0.03042476611492825,0.9462553734749369,15.712403913470888,12,2.0,2.0,33.455882352941174,20.588235294117645
False,context,fixed_2R,52,44.230769230769226,-4.299146212147372,-0.08267588869514177,0.8420959936291842,9.297485279976808,7,2.0,2.0,35.86538461538461,15.384615384615385
False,context,fixed_1_5R,52,46.15384615384615,-4.843692927467549,-0.09314794091283748,0.8151589290126611,10.906388263307363,7,1.5000000000000013,1.5,33.69230769230769,21.153846153846153
False,diag_break,fixed_1_5R,78,42.30769230769231,-5.308479385390422,-0.06805742801782592,0.8736202700223524,11.73340907014326,9,1.500000000000001,1.5,29.46153846153846,28.205128205128204
