trades,win_rate,total_r,avg_r,pf,max_dd_r,adx_min,adjust_min,body_min,is_base
58,44.827586206896555,4.417189405442659,0.07615843802487342,1.1470750429049306,10.984987755610899,0,0.0,0.0,True
58,44.827586206896555,4.417189405442659,0.07615843802487342,1.1470750429049306,10.984987755610899,0,0.0,0.35,False
52,44.230769230769226,3.1096867425046613,0.05980166812508964,1.1152055070609084,11.94642117034836,0,0.0,0.45,False
57,45.614035087719294,5.429430118392802,0.09525315997180354,1.1870840937533904,10.546008534270594,0,0.5,0.0,False
57,45.614035087719294,5.429430118392802,0.09525315997180354,1.1870840937533904,10.546008534270594,0,0.5,0.35,False
51,45.09803921568628,4.1219274554548075,0.08082210696970211,1.1586560213775894,10.934180457398215,0,0.5,0.45,False
54,46.2962962962963,5.505002026721167,0.1019444819763179,1.2040829708436718,9.897175134332391,0,1.0,0.0,False
54,46.2962962962963,5.505002026721167,0.1019444819763179,1.2040829708436718,9.897175134332391,0,1.0,0.35,False
49,46.93877551020408,6.168929187190453,0.12589651402429494,1.2577553218482433,9.586750930398424,0,1.0,0.45,False
39,46.15384615384615,2.0186802988539734,0.05176103330394804,1.107098181885041,8.655518295135847,18,0.0,0.0,False
39,46.15384615384615,2.0186802988539734,0.05176103330394804,1.107098181885041,8.655518295135847,18,0.0,0.35,False
35,45.714285714285715,1.6699258597451665,0.047712167421290475,1.0992260527805076,9.616951709873309,18,0.0,0.45,False
38,47.368421052631575,3.0309210118041188,0.07976107925800313,1.1699267291424313,7.643277582185702,18,0.5,0.0,False
38,47.368421052631575,3.0309210118041188,0.07976107925800313,1.1699267291424313,7.643277582185702,18,0.5,0.35,False
34,47.05882352941176,2.682166572695312,0.07888725213809741,1.1695720356747272,8.604710996923163,18,0.5,0.45,False
35,48.57142857142857,3.106492920132482,0.08875694057521377,1.1967425655276291,7.56770567385734,18,1.0,0.0,False
35,48.57142857142857,3.106492920132482,0.08875694057521377,1.1967425655276291,7.56770567385734,18,1.0,0.35,False
32,50.0,4.729168304430958,0.14778650951346745,1.343433287926784,6.557709265187517,18,1.0,0.45,False
24,45.83333333333333,-2.147823459772501,-0.08949264415718755,0.8273826284816245,8.246486953262039,22,0.0,0.0,False
24,45.83333333333333,-2.147823459772501,-0.08949264415718755,0.8273826284816245,8.246486953262039,22,0.0,0.35,False
23,43.47826086956522,-2.5445134731595465,-0.1106310205721542,0.7955012431159417,8.246486953262039,22,0.0,0.45,False
23,47.82608695652174,-1.135582746822356,-0.04937316290531983,0.9006527841687659,7.234246240311894,22,0.5,0.0,False
23,47.82608695652174,-1.135582746822356,-0.04937316290531983,0.9006527841687659,7.234246240311894,22,0.5,0.35,False
22,45.45454545454545,-1.5322727602094017,-0.06964876182770008,0.8659480931294408,7.234246240311894,22,0.5,0.45,False
22,50.0,-0.11009630191458286,-0.005004377359753767,0.9894188606130242,6.20875979540412,22,1.0,0.0,False
22,50.0,-0.11009630191458286,-0.005004377359753767,0.9894188606130242,6.20875979540412,22,1.0,0.35,False
21,47.61904761904761,-0.5067863153016281,-0.02413268168102991,0.9512937623846909,6.20875979540412,22,1.0,0.45,False
15,46.666666666666664,-1.2557789348760338,-0.08371859565840226,0.8293132433573515,5.270993898726381,26,0.0,0.0,False
15,46.666666666666664,-1.2557789348760338,-0.08371859565840226,0.8293132433573515,5.270993898726381,26,0.0,0.35,False
14,42.857142857142854,-1.652468948263079,-0.11803349630450564,0.7753947311916352,5.270993898726381,26,0.0,0.45,False
15,46.666666666666664,-1.2557789348760338,-0.08371859565840226,0.8293132433573515,5.270993898726381,26,0.5,0.0,False
15,46.666666666666664,-1.2557789348760338,-0.08371859565840226,0.8293132433573515,5.270993898726381,26,0.5,0.35,False
14,42.857142857142854,-1.652468948263079,-0.11803349630450564,0.7753947311916352,5.270993898726381,26,0.5,0.45,False
15,46.666666666666664,-1.2557789348760338,-0.08371859565840226,0.8293132433573515,5.270993898726381,26,1.0,0.0,False
15,46.666666666666664,-1.2557789348760338,-0.08371859565840226,0.8293132433573515,5.270993898726381,26,1.0,0.35,False
14,42.857142857142854,-1.652468948263079,-0.11803349630450564,0.7753947311916352,5.270993898726381,26,1.0,0.45,False
