symbol,cfg,trades,win_rate,total_r_clean,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_losing_streak
XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}",79,44.3,61.0,57.11,0.723,2.243,4
USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}",67,38.81,37.0,34.86,0.5202,1.824,9
EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}",58,31.03,14.0,12.39,0.2137,1.302,7
GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}",60,41.67,40.0,38.09,0.6349,2.054,6
CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}",66,34.85,26.0,22.3,0.3379,1.492,11
SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}",64,43.75,48.0,36.62,0.5721,1.865,5
