trades,win_rate,total_r,total_r_after_cost,avg_r,avg_r_after_cost,pf,pf_after_cost,max_dd_r,max_dd_after_cost_r,max_winning_streak,max_losing_streak,avg_hold_bars,trades_per_year,label,symbol,cfg
35,48.57,33.0,31.9,0.9429,0.9115,2.833,2.715,4.0,4.17,7.0,4.0,55.66,3.5,L5: level_kind=any,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
66,34.85,26.0,22.3,0.3939,0.3379,1.605,1.492,10.0,10.4,3.0,11.0,28.48,6.6,L5: level_kind=any,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
46,47.83,42.0,33.47,0.913,0.7276,2.75,2.179,4.0,5.86,3.0,4.0,47.61,4.6,L5: level_kind=any,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
79,44.3,61.0,57.11,0.7722,0.723,2.386,2.243,4.0,4.17,4.0,4.0,31.68,7.9,L6: session OFF,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
62,38.71,34.0,31.97,0.5484,0.5156,1.895,1.815,9.0,9.37,4.0,9.0,30.61,6.2,L6: session OFF,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
58,31.03,14.0,12.39,0.2414,0.2137,1.35,1.302,9.0,9.39,2.0,7.0,48.64,5.8,L6: session OFF,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
52,42.31,36.0,34.36,0.6923,0.6609,2.2,2.109,6.0,6.17,8.0,6.0,54.12,5.2,L6: session OFF,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
60,33.33,20.0,16.64,0.3333,0.2773,1.5,1.394,10.0,11.16,3.0,11.0,29.55,6.0,L6: session OFF,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
55,43.64,41.0,31.04,0.7455,0.5643,2.323,1.848,5.0,6.41,4.0,5.0,43.31,5.5,L6: session OFF,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
119,32.77,37.0,31.33,0.3109,0.2633,1.462,1.375,16.0,17.23,3.0,11.0,29.59,11.9,M1: lb x0.75 + exclude x0.5,XAUUSD,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
78,25.64,2.0,-0.4,0.0256,-0.0051,1.034,0.993,17.0,18.64,4.0,9.0,32.08,7.8,M1: lb x0.75 + exclude x0.5,USDJPY,"{'lookback_3m': 360, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
84,26.19,4.0,1.71,0.0476,0.0204,1.065,1.027,13.0,14.62,3.0,6.0,48.64,8.4,M1: lb x0.75 + exclude x0.5,EURJPY,"{'lookback_3m': 270, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
59,27.12,5.0,3.0,0.0847,0.0509,1.116,1.068,10.0,11.14,3.0,7.0,85.95,5.9,M1: lb x0.75 + exclude x0.5,GBPJPY,"{'lookback_3m': 270, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
109,22.02,-13.0,-19.07,-0.1193,-0.175,0.847,0.787,23.0,26.64,2.0,12.0,22.94,10.9,M1: lb x0.75 + exclude x0.5,CHFJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
79,30.38,17.0,1.76,0.2152,0.0223,1.309,1.027,15.0,21.91,4.0,11.0,29.29,7.9,M1: lb x0.75 + exclude x0.5,SILVER,"{'lookback_3m': 270, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
147,30.61,33.0,25.68,0.2245,0.1747,1.324,1.24,19.0,20.98,4.0,14.0,30.24,14.7,M2: lb x0.5 + exclude x0.5,XAUUSD,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
90,25.56,2.0,-0.89,0.0222,-0.0099,1.03,0.987,18.0,19.72,3.0,10.0,37.17,9.0,M2: lb x0.5 + exclude x0.5,USDJPY,"{'lookback_3m': 240, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
106,26.42,6.0,3.29,0.0566,0.0311,1.077,1.041,18.0,18.84,2.0,10.0,48.18,10.6,M2: lb x0.5 + exclude x0.5,EURJPY,"{'lookback_3m': 180, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
71,32.39,21.0,18.7,0.2958,0.2634,1.438,1.377,10.0,10.32,3.0,10.0,82.06,7.1,M2: lb x0.5 + exclude x0.5,GBPJPY,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
132,19.7,-28.0,-35.06,-0.2121,-0.2656,0.736,0.686,42.0,47.84,2.0,12.0,31.02,13.2,M2: lb x0.5 + exclude x0.5,CHFJPY,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
81,23.46,-5.0,-20.11,-0.0617,-0.2482,0.919,0.728,21.0,33.36,3.0,13.0,30.43,8.1,M2: lb x0.5 + exclude x0.5,SILVER,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
153,30.07,31.0,23.51,0.2026,0.1536,1.29,1.21,19.0,21.09,3.0,15.0,29.8,15.3,M3: M2 + level=any,XAUUSD,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
93,26.88,7.0,4.06,0.0753,0.0436,1.103,1.058,12.0,13.76,3.0,10.0,36.56,9.3,M3: M2 + level=any,USDJPY,"{'lookback_3m': 240, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
111,25.23,1.0,-1.84,0.009,-0.0166,1.012,0.978,21.0,22.3,2.0,11.0,47.08,11.1,M3: M2 + level=any,EURJPY,"{'lookback_3m': 180, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
78,33.33,26.0,23.46,0.3333,0.3008,1.5,1.437,11.0,11.36,3.0,11.0,75.82,7.8,M3: M2 + level=any,GBPJPY,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
137,20.44,-25.0,-32.32,-0.1825,-0.2359,0.771,0.718,39.0,45.11,2.0,12.0,30.5,13.7,M3: M2 + level=any,CHFJPY,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
85,25.88,3.0,-12.89,0.0353,-0.1516,1.048,0.828,19.0,31.93,3.0,10.0,31.31,8.5,M3: M2 + level=any,SILVER,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
147,32.65,21.0,13.68,0.1429,0.0931,1.212,1.132,22.5,24.44,4.0,14.0,25.84,14.7,M4: M2 + tp=2.5,XAUUSD,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
92,28.26,-1.0,-3.92,-0.0109,-0.0426,0.985,0.943,21.5,23.3,3.0,10.0,29.12,9.2,M4: M2 + tp=2.5,USDJPY,"{'lookback_3m': 240, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
106,31.13,9.5,6.79,0.0896,0.0641,1.13,1.091,15.0,15.63,4.0,10.0,41.44,10.6,M4: M2 + tp=2.5,EURJPY,"{'lookback_3m': 180, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
71,36.62,20.0,17.7,0.2817,0.2493,1.444,1.381,6.5,6.82,3.0,6.0,73.72,7.1,M4: M2 + tp=2.5,GBPJPY,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
134,22.39,-29.0,-36.11,-0.2164,-0.2694,0.721,0.67,42.5,48.34,2.0,9.0,26.49,13.4,M4: M2 + tp=2.5,CHFJPY,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
81,25.93,-7.5,-22.61,-0.0926,-0.2791,0.875,0.685,22.5,35.86,3.0,13.0,26.17,8.1,M4: M2 + tp=2.5,SILVER,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
147,30.61,33.0,25.68,0.2245,0.1747,1.324,1.24,19.0,20.98,4.0,14.0,30.24,14.7,M5: M2 + session OFF,XAUUSD,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
123,27.64,13.0,8.93,0.1057,0.0726,1.146,1.097,9.0,11.41,3.0,9.0,33.98,12.3,M5: M2 + session OFF,USDJPY,"{'lookback_3m': 240, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
106,26.42,6.0,3.29,0.0566,0.0311,1.077,1.041,18.0,18.84,2.0,10.0,48.18,10.6,M5: M2 + session OFF,EURJPY,"{'lookback_3m': 180, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
109,30.28,23.0,19.5,0.211,0.1789,1.303,1.248,13.0,13.43,2.0,13.0,65.17,10.9,M5: M2 + session OFF,GBPJPY,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
132,19.7,-28.0,-35.06,-0.2121,-0.2656,0.736,0.686,42.0,47.84,2.0,12.0,31.02,13.2,M5: M2 + session OFF,CHFJPY,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
110,28.18,14.0,-7.23,0.1273,-0.0658,1.177,0.923,18.0,24.59,3.0,10.0,30.05,11.0,M5: M2 + session OFF,SILVER,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
153,32.03,18.5,11.01,0.1209,0.0719,1.178,1.101,23.0,25.06,4.0,15.0,25.58,15.3,ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,XAUUSD,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
130,30.77,10.0,5.78,0.0769,0.0445,1.111,1.062,10.0,12.45,3.0,9.0,26.06,13.0,ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,USDJPY,"{'lookback_3m': 240, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
111,29.73,4.5,1.66,0.0405,0.015,1.058,1.021,17.5,18.8,4.0,10.0,40.65,11.1,ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,EURJPY,"{'lookback_3m': 180, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
118,34.75,25.5,21.7,0.2161,0.1839,1.331,1.273,12.5,13.4,3.0,9.0,55.47,11.8,ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,GBPJPY,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
139,23.02,-27.0,-34.37,-0.1942,-0.2473,0.748,0.695,40.5,46.61,2.0,10.0,25.88,13.9,ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,CHFJPY,"{'lookback_3m': 240, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
118,31.36,11.5,-11.03,0.0975,-0.0935,1.142,0.886,18.5,30.58,4.0,8.0,25.18,11.8,ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,SILVER,"{'lookback_3m': 180, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
86,41.86,58.0,53.89,0.6744,0.6266,2.16,2.033,4.0,4.17,4.0,4.0,30.45,8.6,"SAFE1: L5+L6 (level=any, session OFF)",XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
67,38.81,37.0,34.86,0.5522,0.5202,1.902,1.824,9.0,9.37,5.0,9.0,29.18,6.7,"SAFE1: L5+L6 (level=any, session OFF)",USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
62,29.03,10.0,8.29,0.1613,0.1337,1.227,1.183,10.0,10.41,2.0,8.0,46.9,6.2,"SAFE1: L5+L6 (level=any, session OFF)",EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
60,41.67,40.0,38.09,0.6667,0.6349,2.143,2.054,6.0,6.16,9.0,6.0,49.97,6.0,"SAFE1: L5+L6 (level=any, session OFF)",GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
66,34.85,26.0,22.3,0.3939,0.3379,1.605,1.492,10.0,10.4,3.0,11.0,28.48,6.6,"SAFE1: L5+L6 (level=any, session OFF)",CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
64,43.75,48.0,36.62,0.75,0.5721,2.333,1.865,5.0,6.41,5.0,5.0,40.72,6.4,"SAFE1: L5+L6 (level=any, session OFF)",SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
86,41.86,40.0,35.89,0.4651,0.4173,1.8,1.688,4.0,4.17,4.0,4.0,27.15,8.6,SAFE2: SAFE1 + tp=2.5,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
67,40.3,27.5,25.36,0.4104,0.3784,1.688,1.614,9.0,9.37,5.0,9.0,20.73,6.7,SAFE2: SAFE1 + tp=2.5,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
62,35.48,15.0,13.29,0.2419,0.2143,1.375,1.323,6.0,6.16,3.0,6.0,39.98,6.2,SAFE2: SAFE1 + tp=2.5,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
61,44.26,33.5,31.55,0.5492,0.5173,1.985,1.898,6.0,6.16,10.0,6.0,41.36,6.1,SAFE2: SAFE1 + tp=2.5,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
66,36.36,18.0,14.3,0.2727,0.2167,1.429,1.323,10.5,13.01,5.0,11.0,23.35,6.6,SAFE2: SAFE1 + tp=2.5,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
64,48.44,44.5,33.12,0.6953,0.5174,2.348,1.851,5.0,6.41,5.0,5.0,33.41,6.4,SAFE2: SAFE1 + tp=2.5,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
84,36.9,40.0,35.9,0.4762,0.4274,1.755,1.65,10.0,10.39,3.0,10.0,29.1,8.4,SAFE3: SAFE1 + lb x0.75,XAUUSD,"{'lookback_3m': 360, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
57,38.6,31.0,29.26,0.5439,0.5133,1.886,1.811,7.0,7.27,4.0,6.0,32.04,5.7,SAFE3: SAFE1 + lb x0.75,USDJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
66,27.27,6.0,4.2,0.0909,0.0637,1.125,1.085,10.0,11.26,3.0,9.0,45.88,6.6,SAFE3: SAFE1 + lb x0.75,EURJPY,"{'lookback_3m': 270, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
56,30.36,12.0,10.15,0.2143,0.1812,1.308,1.252,8.0,8.45,5.0,8.0,46.36,5.6,SAFE3: SAFE1 + lb x0.75,GBPJPY,"{'lookback_3m': 270, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
76,27.63,8.0,3.7,0.1053,0.0487,1.145,1.064,10.0,12.82,3.0,10.0,23.28,7.6,SAFE3: SAFE1 + lb x0.75,CHFJPY,"{'lookback_3m': 360, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
61,45.9,51.0,39.49,0.8361,0.6474,2.545,2.001,4.0,7.11,4.0,4.0,34.57,6.1,SAFE3: SAFE1 + lb x0.75,SILVER,"{'lookback_3m': 270, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
118,34.75,46.0,40.56,0.3898,0.3437,1.597,1.505,11.0,11.99,3.0,6.0,29.97,11.8,SAFE4: SAFE1 + ex x0.5,XAUUSD,"{'lookback_3m': 480, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
111,30.63,25.0,21.37,0.2252,0.1925,1.325,1.269,15.0,15.87,5.0,10.0,30.18,11.1,SAFE4: SAFE1 + ex x0.5,USDJPY,"{'lookback_3m': 480, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
78,26.92,6.0,3.82,0.0769,0.049,1.105,1.065,17.0,17.81,2.0,10.0,47.69,7.8,SAFE4: SAFE1 + ex x0.5,EURJPY,"{'lookback_3m': 360, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
94,36.17,42.0,38.85,0.4468,0.4133,1.7,1.626,6.0,6.51,8.0,6.0,69.69,9.4,SAFE4: SAFE1 + ex x0.5,GBPJPY,"{'lookback_3m': 360, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
98,27.55,10.0,4.55,0.102,0.0464,1.141,1.061,18.0,19.99,2.0,12.0,26.97,9.8,SAFE4: SAFE1 + ex x0.5,CHFJPY,"{'lookback_3m': 480, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
99,35.35,41.0,22.5,0.4141,0.2272,1.641,1.297,10.0,13.71,7.0,9.0,33.68,9.9,SAFE4: SAFE1 + ex x0.5,SILVER,"{'lookback_3m': 360, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
125,32.0,35.0,29.16,0.28,0.2333,1.412,1.329,17.0,18.07,3.0,13.0,29.08,12.5,SAFE5: SAFE1 + lb x0.75 + ex x0.5,XAUUSD,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
112,28.57,16.0,12.41,0.1429,0.1108,1.2,1.15,16.0,17.25,4.0,12.0,31.18,11.2,SAFE5: SAFE1 + lb x0.75 + ex x0.5,USDJPY,"{'lookback_3m': 360, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
89,24.72,-1.0,-3.42,-0.0112,-0.0385,0.985,0.95,18.0,19.75,3.0,7.0,47.25,8.9,SAFE5: SAFE1 + lb x0.75 + ex x0.5,EURJPY,"{'lookback_3m': 270, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
102,30.39,22.0,18.55,0.2157,0.1819,1.31,1.253,11.0,11.97,6.0,8.0,64.24,10.2,SAFE5: SAFE1 + lb x0.75 + ex x0.5,GBPJPY,"{'lookback_3m': 270, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'any', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
