trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,quick_back_inside_3_rate,feature,bucket
116,38.793103448275865,56.640138977137426,0.4882770601477364,1.7493476811896642,8.477282832402594,62.06896551724138,break_atr,"(0.009399999999999999, 0.277]"
115,40.869565217391305,65.31924741693017,0.5679934557993928,1.9046930357652956,7.285948556625268,37.391304347826086,break_atr,"(0.277, 0.598]"
115,26.08695652173913,-1.2326471848191456,-0.010718671172340396,0.9861866426621582,16.547795664179517,33.91304347826087,break_atr,"(0.598, 1.042]"
115,41.73913043478261,70.80308666151124,0.6156790144479238,2.0096196415279746,11.813354890422112,16.52173913043478,break_atr,"(1.042, 5.371]"
116,30.17241379310345,15.976367260983247,0.13772730397399352,1.1853110127329196,9.952202353366799,48.275862068965516,body_ratio,"(0.0398, 0.651]"
115,45.21739130434783,86.41946296254781,0.7514735909786766,2.311925372907641,6.206719516616467,34.78260869565217,body_ratio,"(0.651, 0.775]"
115,33.91304347826087,33.74460910615725,0.29343138353180215,1.4171756165125782,12.154879651389233,39.130434782608695,body_ratio,"(0.775, 0.87]"
115,38.26086956521739,55.38938654107142,0.4816468394875775,1.7467247859887807,13.407175063614496,27.82608695652174,body_ratio,"(0.87, 1.0]"
116,35.3448275862069,40.31235535672199,0.3475203047993275,1.5057379048236659,7.679822846777828,39.6551724137931,close_strength,"(0.0397, 0.769]"
115,37.391304347826086,50.39423188504068,0.438210712043832,1.6684188417893038,19.877187386729904,39.130434782608695,close_strength,"(0.769, 0.871]"
115,40.869565217391305,66.14441221556052,0.5751688018744393,1.9176794351808653,9.42759539829199,34.78260869565217,close_strength,"(0.871, 0.951]"
115,33.91304347826087,34.678826413436504,0.3015550122907522,1.433649752147891,11.516307256899367,36.52173913043478,close_strength,"(0.951, 1.0]"
116,33.62068965517241,33.65155495457324,0.29009961167735554,1.4154669974097578,11.51630725689936,37.06896551724138,adverse_wick_ratio,"(-0.001, 0.0492]"
115,40.869565217391305,66.11232779325343,0.5748898068978558,1.9168261881293873,9.427595398291988,33.91304347826087,adverse_wick_ratio,"(0.0492, 0.129]"
115,38.26086956521739,54.38215589330704,0.4728883121157134,1.7315935346823463,18.817831505559553,39.130434782608695,adverse_wick_ratio,"(0.129, 0.231]"
115,34.78260869565217,37.38378722962598,0.32507641069239984,1.4689976078198113,10.2239428810771,40.0,adverse_wick_ratio,"(0.231, 0.959]"
116,41.37931034482759,69.3773917755204,0.5980809635820724,1.9676451834618465,7.316698822705916,50.0,signal_range_atr,"(0.153, 1.616]"
115,28.695652173913043,10.571524237900281,0.091926297720872,1.1225132687414616,15.86827988857354,42.608695652173914,signal_range_atr,"(1.616, 2.154]"
115,35.65217391304348,41.67306291145539,0.3623744600996121,1.530314882382406,12.150504006608152,36.52173913043478,signal_range_atr,"(2.154, 2.945]"
115,41.73913043478261,69.90784694588362,0.6078943212685533,1.9904338015755798,11.549598484431186,20.869565217391305,signal_range_atr,"(2.945, 8.25]"
116,40.51724137931034,65.24506251380672,0.562457435463851,1.8963711816113435,18.04182151391307,31.896551724137932,pre_range_6_atr,"(0.708, 1.772]"
115,40.0,62.35010652556453,0.542174839352735,1.8668257478840034,9.380565251923713,33.91304347826087,pre_range_6_atr,"(1.772, 2.368]"
115,33.04347826086956,29.921390659705192,0.2601860057365669,1.3661752088531405,15.592533469791055,42.608695652173914,pre_range_6_atr,"(2.368, 3.185]"
115,33.91304347826087,34.01326617168328,0.2957675319276807,1.4213724119611586,9.488378216260763,41.73913043478261,pre_range_6_atr,"(3.185, 7.38]"
116,37.06896551724138,49.25940266235082,0.4246500229513002,1.6444552231086076,14.118833248692923,44.827586206896555,pre_extension_6_atr,"(0.295, 2.371]"
115,35.65217391304348,41.96486593939339,0.3649118777338556,1.5370291721221567,8.780815843505572,41.73913043478261,pre_extension_6_atr,"(2.371, 3.26]"
115,40.869565217391305,66.29938566289977,0.5765163970686936,1.92033283016103,8.601127304420665,30.434782608695656,pre_extension_6_atr,"(3.26, 4.245]"
115,33.91304347826087,34.006171606115736,0.2957058400531803,1.4222590427534585,11.144926307250309,33.04347826086956,pre_extension_6_atr,"(4.245, 7.443]"
167,40.119760479041915,91.18952763001056,0.5460450756288058,1.8675584175214763,11.371116987875652,35.32934131736527,same_body_6_ratio,"(-0.001, 0.5]"
166,34.33734939759036,51.44212820097816,0.3098923385601094,1.445232325283671,19.666142025310776,42.168674698795186,same_body_6_ratio,"(0.5, 0.667]"
102,34.31372549019608,32.36307488614297,0.3172850479033624,1.4589128688745976,10.24889291947882,31.372549019607842,same_body_6_ratio,"(0.667, 0.833]"
26,42.30769230769231,16.535095153628028,0.6359651982164626,2.0347972809175396,3.301724991602363,46.15384615384615,same_body_6_ratio,"(0.833, 1.0]"
116,35.3448275862069,41.5366766328429,0.3580747985589905,1.5252060754521677,14.390204750273213,50.86206896551724,atr_to_avg,"(0.524, 0.996]"
115,38.26086956521739,53.16698973897193,0.46232164990410374,1.7072208054472198,8.757020781338763,29.565217391304348,atr_to_avg,"(0.996, 1.136]"
115,32.17391304347826,25.370954496012807,0.22061699561750267,1.3049902890734184,15.880608956240803,38.26086956521739,atr_to_avg,"(1.136, 1.333]"
115,41.73913043478261,71.45520500293208,0.6213496087211485,2.025169848395935,9.622561647563032,31.30434782608696,atr_to_avg,"(1.333, 1.982]"
116,62.06896551724138,165.51174891364877,1.426825421669386,4.588282850777545,3.1059647374166772,2.586206896551724,mae_3_atr,"(-1.454, 0.327]"
115,46.08695652173913,90.10569330684272,0.7835277678855889,2.3728162812744302,5.338394550862446,19.130434782608695,mae_3_atr,"(0.327, 0.749]"
115,26.956521739130434,1.8539827103988828,0.01612158878607724,1.020946937908178,28.089569983157176,46.95652173913044,mae_3_atr,"(0.749, 1.378]"
115,12.173913043478262,-65.94159906013067,-0.5734052092185276,0.38303689581317757,65.69926954198323,81.73913043478261,mae_3_atr,"(1.378, 15.158]"
116,16.379310344827587,-46.98759328303977,-0.40506545933654975,0.5430188151623189,46.1149634650386,75.86206896551724,mfe_3_atr,"(-0.133, 0.471]"
115,32.17391304347826,26.283509699305394,0.22855225825482953,1.3195161288673336,12.495908765449915,46.95652173913044,mfe_3_atr,"(0.471, 1.127]"
115,35.65217391304348,42.47437746399142,0.36934241273036017,1.546171631706331,9.33682647509984,20.869565217391305,mfe_3_atr,"(1.127, 1.924]"
115,63.47826086956522,169.75953199050267,1.4761698433956754,4.831938904024146,4.598833661403376,6.086956521739131,mfe_3_atr,"(1.924, 8.368]"
