trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,quick_back_inside_3_rate,filter_name,category,symbol
74,25.675675675675674,-0.8640929172486904,-0.011676931314171492,0.984824279103488,14.826505510751943,41.891891891891895,break_atr_ge_0.05,ブレイク余白,AUDJPY
58,36.206896551724135,22.754830416056638,0.3923246623458041,1.5834059265761737,7.2643794083387,41.37931034482759,break_atr_ge_0.05,ブレイク余白,CHFJPY
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,30.909090909090907,break_atr_ge_0.05,ブレイク余白,EURJPY
58,41.37931034482759,36.13689131934563,0.6230498503335453,2.0284296174822702,6.163523410317843,41.37931034482759,break_atr_ge_0.05,ブレイク余白,GBPJPY
62,43.54838709677419,35.104834122584755,0.5662070019771734,1.8532942157776982,5.204045744156874,35.483870967741936,break_atr_ge_0.05,ブレイク余白,SILVER
62,35.483870967741936,23.96308198768483,0.3865013223820134,1.580606084164591,9.370884365293918,27.419354838709676,break_atr_ge_0.05,ブレイク余白,USDJPY
68,44.11764705882353,48.59636171729475,0.714652378195511,2.223521659739493,5.159583885748383,30.88235294117647,break_atr_ge_0.05,ブレイク余白,XAUUSD
437,36.61327231121281,177.1139831004616,0.4052951558362966,1.6059586409762916,14.826505510751957,35.6979405034325,break_atr_ge_0.05,ブレイク余白,ALL
68,26.47058823529412,1.3687605043752626,0.02012883094669504,1.0264428396976406,13.787314675275798,38.23529411764706,break_atr_ge_0.1,ブレイク余白,AUDJPY
54,35.18518518518518,19.03373671481323,0.3524766058298746,1.5160518888579944,7.2643794083387,40.74074074074074,break_atr_ge_0.1,ブレイク余白,CHFJPY
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,30.909090909090907,break_atr_ge_0.1,ブレイク余白,EURJPY
54,42.592592592592595,36.26294981865276,0.6715361077528288,2.1320864018766232,5.138838222162811,40.74074074074074,break_atr_ge_0.1,ブレイク余白,GBPJPY
58,41.37931034482759,27.788925222145956,0.4791194003818268,1.6955760880338375,5.204045744156874,34.48275862068966,break_atr_ge_0.1,ブレイク余白,SILVER
58,34.48275862068966,20.05001002394254,0.3456898279990093,1.511296147676451,10.390223406263107,27.586206896551722,break_atr_ge_0.1,ブレイク余白,USDJPY
65,44.61538461538462,47.700142745923166,0.7338483499372794,2.2671735366835257,5.159583885748383,32.30769230769231,break_atr_ge_0.1,ブレイク余白,XAUUSD
412,36.407766990291265,163.62660148459665,0.39715194535096277,1.5916459102417722,13.787314675275809,34.95145631067961,break_atr_ge_0.1,ブレイク余白,ALL
57,24.561403508771928,-3.21964495168315,-0.056484999152335964,0.9276973061364769,12.782875261357487,36.84210526315789,break_atr_ge_0.2,ブレイク余白,AUDJPY
46,36.95652173913043,19.566029751241928,0.42534847285308536,1.6410700475221633,6.3202955968938594,36.95652173913043,break_atr_ge_0.2,ブレイク余白,CHFJPY
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,30.909090909090907,break_atr_ge_0.2,ブレイク余白,EURJPY
47,40.42553191489361,27.499845167489934,0.5851030886699986,1.9502390482163179,7.223577272470017,36.17021276595745,break_atr_ge_0.2,ブレイク余白,GBPJPY
52,46.15384615384615,35.14594794453665,0.6758836143180125,2.078297441667425,4.409989050637499,26.923076923076923,break_atr_ge_0.2,ブレイク余白,SILVER
57,33.33333333333333,17.088292390271434,0.2997946033380953,1.4357692619146416,10.39022340626311,28.07017543859649,break_atr_ge_0.2,ブレイク余白,USDJPY
61,44.26229508196721,43.914480061190446,0.7199095091998434,2.2346370427713556,5.159583885748383,29.508196721311474,break_atr_ge_0.2,ブレイク余白,XAUUSD
375,36.53333333333333,151.41702681779094,0.40377873818077586,1.6045966654104318,12.782875261357518,32.0,break_atr_ge_0.2,ブレイク余白,ALL
46,19.565217391304348,-11.783672556097116,-0.2561667946977634,0.692606597617358,14.687951978832722,28.26086956521739,break_atr_ge_0.3,ブレイク余白,AUDJPY
41,34.146341463414636,12.892770681168246,0.31445782149190843,1.454967648422641,6.320295596893859,34.146341463414636,break_atr_ge_0.3,ブレイク余白,CHFJPY
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,30.909090909090907,break_atr_ge_0.3,ブレイク余白,EURJPY
38,39.473684210526315,20.807099720875424,0.5475552558125112,1.8756649778089602,6.175647178996993,34.21052631578947,break_atr_ge_0.3,ブレイク余白,GBPJPY
47,42.5531914893617,25.11988728952494,0.5344656870111689,1.7987930202311802,5.667954388793561,25.53191489361702,break_atr_ge_0.3,ブレイク余白,SILVER
51,37.254901960784316,23.322992317284704,0.4573135748487197,1.7071991504918476,8.293401004944489,23.52941176470588,break_atr_ge_0.3,ブレイク余白,USDJPY
53,47.16981132075472,44.364856641212704,0.837072766815334,2.5155869513575526,4.136243264053036,26.41509433962264,break_atr_ge_0.3,ブレイク余白,XAUUSD
331,35.95166163141994,126.14601054871264,0.38110577205049134,1.5651502708203964,14.79076571565993,28.700906344410875,break_atr_ge_0.3,ブレイク余白,ALL
37,16.216216216216218,-14.340889345465866,-0.3875916039315099,0.5527931432646024,13.622618571174439,32.432432432432435,break_atr_ge_0.5,ブレイク余白,AUDJPY
28,28.57142857142857,2.53666013718682,0.09059500489952929,1.1209406463124056,6.995931236825234,28.57142857142857,break_atr_ge_0.5,ブレイク余白,CHFJPY
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,30.909090909090907,break_atr_ge_0.5,ブレイク余白,EURJPY
30,33.33333333333333,9.062234417690364,0.3020744805896788,1.4388241654848537,8.420831492296537,33.33333333333333,break_atr_ge_0.5,ブレイク余白,GBPJPY
38,44.73684210526316,23.58527631028511,0.6206651660601344,1.9680159036445521,4.9637666831572815,26.31578947368421,break_atr_ge_0.5,ブレイク余白,SILVER
37,37.83783783783784,17.72279784762701,0.4789945364223516,1.7467242356122943,6.229101994585594,18.91891891891892,break_atr_ge_0.5,ブレイク余白,USDJPY
45,44.44444444444444,32.82875504686632,0.7295278899303627,2.257889203323041,5.288818700603915,24.444444444444443,break_atr_ge_0.5,ブレイク余白,XAUUSD
270,34.074074074074076,82.81691086893349,0.3067292995145685,1.442952712918241,17.248556592763144,27.77777777777778,break_atr_ge_0.5,ブレイク余白,ALL
76,22.36842105263158,-10.972475441257863,-0.1443746768586561,0.8204056675574933,17.953720538557192,47.368421052631575,body_ratio_ge_0.3,実体の強さ,AUDJPY
62,33.87096774193548,18.417658415211335,0.297059006696957,1.4256721967811001,9.370950919527427,45.16129032258064,body_ratio_ge_0.3,実体の強さ,CHFJPY
53,32.075471698113205,13.479075098078727,0.2543221716618628,1.3641182970699837,9.39159686758271,32.075471698113205,body_ratio_ge_0.3,実体の強さ,EURJPY
58,43.103448275862064,40.13294461917881,0.6919473210203243,2.1765536448781346,6.163523410317843,39.6551724137931,body_ratio_ge_0.3,実体の強さ,GBPJPY
61,44.26229508196721,36.20557757517286,0.5935340586093911,1.9058143690761977,5.204045744156874,34.42622950819672,body_ratio_ge_0.3,実体の強さ,SILVER
62,37.096774193548384,27.971528534385076,0.45115368603846895,1.6953095151527267,9.370884365293918,27.419354838709676,body_ratio_ge_0.3,実体の強さ,USDJPY
75,44.0,53.204052590690644,0.7093873678758752,2.21110989008899,6.194396550002722,37.333333333333336,body_ratio_ge_0.3,実体の強さ,XAUUSD
447,36.46532438478747,178.43836139145958,0.39919096508156504,1.5955465293092355,17.953720538557207,38.03131991051455,body_ratio_ge_0.3,実体の強さ,ALL
73,21.91780821917808,-11.873842674359564,-0.16265537910081593,0.7988503792040198,16.907115200594067,45.20547945205479,body_ratio_ge_0.4,実体の強さ,AUDJPY
60,33.33333333333333,16.575587848090088,0.27625979746816814,1.3927734255958888,8.305115710929279,45.0,body_ratio_ge_0.4,実体の強さ,CHFJPY
53,32.075471698113205,13.479075098078727,0.2543221716618628,1.3641182970699837,9.39159686758271,32.075471698113205,body_ratio_ge_0.4,実体の強さ,EURJPY
58,43.103448275862064,40.13294461917881,0.6919473210203243,2.1765536448781346,6.163523410317843,39.6551724137931,body_ratio_ge_0.4,実体の強さ,GBPJPY
60,43.333333333333336,33.30157401991158,0.555026233665193,1.8331601449378754,5.204045744156874,33.33333333333333,body_ratio_ge_0.4,実体の強さ,SILVER
61,37.704918032786885,29.001602822462775,0.47543611184365203,1.7398591987119623,9.370884365293918,26.229508196721312,body_ratio_ge_0.4,実体の強さ,USDJPY
73,45.20547945205479,55.33337322740865,0.7579914140740911,2.323743522954789,6.194396550002722,35.61643835616438,body_ratio_ge_0.4,実体の強さ,XAUUSD
438,36.5296803652968,175.95031496077104,0.40171304785564166,1.5998374832923292,16.907115200594063,36.986301369863014,body_ratio_ge_0.4,実体の強さ,ALL
64,21.875,-10.490038857342352,-0.16390685714597425,0.797459471780086,14.82619013660275,45.3125,body_ratio_ge_0.5,実体の強さ,AUDJPY
56,33.92857142857143,16.817191746448557,0.30030699547229567,1.4310012909150227,8.059509055137845,42.857142857142854,body_ratio_ge_0.5,実体の強さ,CHFJPY
51,33.33333333333333,15.522005359723824,0.3043530462690946,1.4437969671743236,9.391596867582715,33.33333333333333,body_ratio_ge_0.5,実体の強さ,EURJPY
57,43.859649122807014,41.171820615926805,0.7223126423846807,2.244925335869237,6.163523410317843,38.59649122807017,body_ratio_ge_0.5,実体の強さ,GBPJPY
56,42.857142857142854,30.14708811978351,0.5383408592818484,1.7987176596836936,5.204045744156874,33.92857142857143,body_ratio_ge_0.5,実体の強さ,SILVER
58,37.93103448275862,28.081867012934133,0.4841701209126575,1.7559686200849496,9.370884365293914,25.862068965517242,body_ratio_ge_0.5,実体の強さ,USDJPY
67,46.26865671641791,53.5227144376692,0.7988464841443165,2.419950120979472,5.1757280507261925,34.32835820895522,body_ratio_ge_0.5,実体の強さ,XAUUSD
409,37.163814180929094,174.77264843514365,0.42731698883898206,1.6438650629280604,15.510786717663137,36.43031784841076,body_ratio_ge_0.5,実体の強さ,ALL
55,23.636363636363637,-5.1346643672827605,-0.09335753395059565,0.8818688884558448,11.703793665909878,45.45454545454545,body_ratio_ge_0.6,実体の強さ,AUDJPY
51,35.294117647058826,18.102028111823692,0.3549417276828175,1.520105658189933,7.433439984958518,43.13725490196079,body_ratio_ge_0.6,実体の強さ,CHFJPY
49,34.69387755102041,17.552606359545265,0.3582164563172503,1.5327873345830358,9.391596867582711,30.612244897959183,body_ratio_ge_0.6,実体の強さ,EURJPY
50,42.0,32.37111082239473,0.6474222164478947,2.0800098239140965,5.278519390896676,40.0,body_ratio_ge_0.6,実体の強さ,GBPJPY
54,44.44444444444444,32.53474206690323,0.6024952234611709,1.9201858509162009,5.204045744156874,31.48148148148148,body_ratio_ge_0.6,実体の強さ,SILVER
53,39.62264150943396,29.256532339610132,0.5520100441435873,1.88573172777759,7.287077938936179,24.528301886792452,body_ratio_ge_0.6,実体の強さ,USDJPY
65,46.15384615384615,51.58882234870424,0.7936741899800652,2.4072534584744916,5.1757280507261925,32.30769230769231,body_ratio_ge_0.6,実体の強さ,XAUUSD
377,38.196286472148536,176.2711776816985,0.46756280552174667,1.7158655777408196,11.70379366590987,35.278514588859416,body_ratio_ge_0.6,実体の強さ,ALL
73,21.91780821917808,-11.866996908797423,-0.16256160149037566,0.7989587554288887,18.69275143640477,47.94520547945205,close_strength_ge_0.55,終値位置,AUDJPY
60,36.666666666666664,24.55267606604075,0.40921126776734584,1.612047994517686,7.295926600231743,45.0,close_strength_ge_0.55,終値位置,CHFJPY
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,30.909090909090907,close_strength_ge_0.55,終値位置,EURJPY
59,42.3728813559322,39.10560608466341,0.6628068827909052,2.112917078330217,6.163523410317843,40.67796610169492,close_strength_ge_0.55,終値位置,GBPJPY
59,42.3728813559322,30.493526067857637,0.516839424878943,1.762906599645184,5.204045744156874,33.89830508474576,close_strength_ge_0.55,終値位置,SILVER
59,35.59322033898305,23.032660829635436,0.3903840818582277,1.5874171799195909,9.370884365293918,25.423728813559322,close_strength_ge_0.55,終値位置,USDJPY
74,44.5945945945946,54.222721089967166,0.7327394741887455,2.2635992472410256,5.1757280507261925,36.486486486486484,close_strength_ge_0.55,終値位置,XAUUSD
439,36.21867881548975,170.9622696841107,0.38943569404125444,1.5786539830055641,19.855097882879846,37.58542141230068,close_strength_ge_0.55,終値位置,ALL
68,22.058823529411764,-10.696708358036297,-0.15730453467700437,0.8051247551690239,17.953720538557192,45.588235294117645,close_strength_ge_0.65,終値位置,AUDJPY
56,35.714285714285715,20.785302606218547,0.3711661179681883,1.5470573468550273,9.098735472616884,42.857142857142854,close_strength_ge_0.65,終値位置,CHFJPY
52,32.69230769230769,14.479354167833836,0.2784491186121892,1.4020019822750123,9.39159686758271,30.76923076923077,close_strength_ge_0.65,終値位置,EURJPY
57,40.35087719298245,33.16435282567421,0.5818307513276176,1.9438333361092441,6.163523410317843,42.10526315789473,close_strength_ge_0.65,終値位置,GBPJPY
54,44.44444444444444,32.804104488760565,0.607483416458529,1.940840531863112,4.409989050637499,31.48148148148148,close_strength_ge_0.65,終値位置,SILVER
56,35.714285714285715,22.150602939807342,0.39554648106798823,1.5962344120554302,9.370884365293918,25.0,close_strength_ge_0.65,終値位置,USDJPY
69,46.3768115942029,55.40416244500405,0.8029588760145514,2.4288656885736724,6.191470136398017,37.68115942028986,close_strength_ge_0.65,終値位置,XAUUSD
412,36.650485436893206,168.09117111526226,0.4079882794059764,1.6116111797752815,17.953720538557207,36.89320388349515,close_strength_ge_0.65,終値位置,ALL
57,21.052631578947366,-11.189734918040184,-0.19631113891298568,0.7598943885806472,13.814264893384104,45.614035087719294,close_strength_ge_0.75,終値位置,AUDJPY
50,36.0,19.04995553854325,0.380999110770865,1.5629620233955983,7.445233920039783,46.0,close_strength_ge_0.75,終値位置,CHFJPY
