symbol,back_inside_bars,signal_time,entry_time,exit_time,direction,level_kind,break_level,entry,sl,tp,exit_price,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason
XAUUSD,1,2015-02-11 14:00:00,2015-02-11 15:00:00,2015-02-12 08:00:00,short,3m,1224.976,1224.691,1231.6426929031318,1203.835921290605,1231.6426929031318,-1.000000000000009,-1.0503474484384268,16,SL
XAUUSD,1,2015-03-06 13:00:00,2015-03-06 14:00:00,2015-03-10 03:00:00,short,3m,1190.388,1182.283,1189.4395008221354,1160.8134975335936,1160.8134975335936,3.000000000000011,2.9510934172022325,35,TP
XAUUSD,1,2015-04-06 07:00:00,2015-04-06 08:00:00,2015-04-06 12:00:00,long,3m,1219.681,1222.186,1216.2924846259255,1239.866546122223,1216.2924846259255,-1.0000000000000082,-1.0593873058412362,4,SL
XAUUSD,1,2015-04-24 14:00:00,2015-04-24 15:00:00,2015-04-24 16:00:00,short,3m,1178.391,1178.274,1184.2906324281757,1160.224102715472,1179.559,-0.21357462257165982,-0.2717466987585122,1,early_back_inside
XAUUSD,1,2015-09-24 13:00:00,2015-09-24 14:00:00,2015-09-25 03:00:00,long,3m,1147.861,1152.832,1146.690616441401,1171.2561506757972,1146.690616441401,-0.9999999999999956,-1.0569904153779883,12,SL
XAUUSD,1,2015-11-03 10:00:00,2015-11-03 11:00:00,2015-11-03 17:00:00,short,3m,1132.098,1131.718,1135.8881405759744,1119.2075782720772,1119.2075782720772,3.000000000000016,2.916069975670233,6,TP
XAUUSD,1,2016-01-26 03:00:00,2016-01-26 04:00:00,2016-01-26 05:00:00,long,3m,1112.949,1112.981,1108.1457604588966,1127.48671862331,1112.481,-0.1034074932068214,-0.1757927384516246,1,early_back_inside
XAUUSD,1,2016-03-28 00:00:00,2016-03-28 01:00:00,2016-03-28 07:00:00,short,3m,1211.459,1210.889,1217.6952772460231,1190.47016826193,1217.6952772460231,-0.9999999999999882,-1.051423118299295,6,SL
XAUUSD,1,2016-04-21 12:00:00,2016-04-21 13:00:00,2016-04-21 13:00:00,long,3m,1262.589,1268.85,1260.3619075912632,1294.3142772262102,1260.3619075912632,-0.9999999999999969,-1.041234235343604,0,SL
XAUUSD,1,2016-04-29 01:00:00,2016-04-29 02:00:00,2016-05-02 09:00:00,long,3m,1270.222,1273.921,1265.8337620573666,1298.1827138279004,1298.1827138279004,3.000000000000003,2.956721936156346,30,TP
XAUUSD,1,2016-05-24 15:00:00,2016-05-24 16:00:00,2016-05-27 02:00:00,short,3m,1231.298,1230.86,1237.0877673259806,1212.1766980220575,1212.1766980220575,3.000000000000004,2.9438000840943443,55,TP
XAUUSD,1,2016-07-05 22:00:00,2016-07-05 23:00:00,2016-07-08 12:00:00,long,3m,1358.229,1359.449,1350.7298508548581,1385.6064474354257,1350.7298508548581,-1.0000000000000084,-1.0401415314928086,59,SL
XAUUSD,1,2016-08-25 12:00:00,2016-08-25 13:00:00,2016-08-25 14:00:00,short,3m,1320.829,1319.409,1324.1072989914935,1305.3141030255201,1322.198,-0.5936190959855272,-0.6681141420934571,1,early_back_inside
XAUUSD,1,2016-10-04 12:00:00,2016-10-04 13:00:00,2016-10-04 16:00:00,short,3m,1306.199,1291.86,1298.5264033166166,1271.86079005015,1271.86079005015,2.999999999999986,2.947497926036395,3,TP
XAUUSD,1,2016-11-11 14:00:00,2016-11-11 15:00:00,2016-11-23 13:00:00,short,3m,1246.058,1235.911,1249.967701914633,1193.7408942561015,1193.7408942561015,3.0000000000000018,2.9751008449830065,183,TP
XAUUSD,1,2017-01-05 15:00:00,2017-01-05 16:00:00,2017-01-06 06:00:00,long,3m,1180.189,1181.329,1174.0427774095067,1203.18766777148,1174.0427774095067,-0.9999999999999911,-1.048035864352639,14,SL
XAUUSD,1,2017-02-02 10:00:00,2017-02-02 11:00:00,2017-02-02 16:00:00,long,3m,1219.931,1222.259,1215.839453962366,1241.5176381129022,1215.839453962366,-0.999999999999997,-1.0545209891709273,5,SL
XAUUSD,1,2017-02-23 13:00:00,2017-02-23 14:00:00,2017-02-27 16:00:00,long,3m,1244.708,1248.468,1243.6603992440914,1262.890802267726,1262.890802267726,2.999999999999987,2.9271986136598307,49,TP
XAUUSD,1,2017-05-03 19:00:00,2017-05-03 20:00:00,2017-05-07 22:00:00,short,3m,1243.691,1239.568,1245.150214460037,1222.821356619889,1222.821356619889,2.9999999999999916,2.9373008682296553,47,TP
XAUUSD,1,2017-08-09 12:00:00,2017-08-09 13:00:00,2017-08-09 14:00:00,long,3m,1274.061,1274.839,1269.631668679231,1290.4609939623067,1272.228,-0.5014084641755315,-0.5686213950301898,1,early_back_inside
XAUUSD,1,2017-08-28 14:00:00,2017-08-28 15:00:00,2017-08-28 22:00:00,long,3m,1300.828,1303.672,1298.525965850609,1319.1101024481732,1319.1101024481732,3.000000000000008,2.9319864598952354,6,TP
XAUUSD,1,2017-11-17 17:00:00,2017-11-17 18:00:00,2017-11-20 13:00:00,long,3m,1291.038,1293.399,1288.8026539139905,1307.1880382580277,1288.8026539139905,-1.0000000000000135,-1.0761474426535362,18,SL
XAUUSD,1,2017-11-27 13:00:00,2017-11-27 14:00:00,2017-11-27 14:00:00,long,3m,1296.941,1298.318,1294.2874715806788,1310.4095852579635,1294.2874715806788,-1.0000000000000084,-1.0868372490124063,0,SL
XAUUSD,1,2017-12-05 14:00:00,2017-12-05 15:00:00,2017-12-07 12:00:00,short,3m,1269.902,1267.628,1271.9697996953525,1254.6026009139423,1254.6026009139423,2.99999999999998,2.919388266488926,43,TP
