trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,back_inside_bars,symbol
461,32.97180043383948,181.71553970731773,0.39417687572086274,1.6876701747458127,11.666647160847134,20.17353579175705,1,ALL
80,22.5,4.168212782130013,0.05210265977662516,1.0850840251115341,11.666647160847138,26.25,1,AUDJPY
64,31.25,21.18874482703987,0.33107413792249796,1.5629730180702934,9.145001971843836,20.3125,1,CHFJPY
55,30.909090909090907,15.73667192771536,0.2861213077766429,1.4527131875274257,9.391596867582715,14.545454545454545,1,EURJPY
59,35.59322033898305,34.65798863140282,0.5874235361254716,2.2500014285308314,5.389357396201831,27.11864406779661,1,GBPJPY
64,39.0625,30.74016284872757,0.4803150445113683,1.7745725147014284,6.833753107331695,15.625,1,SILVER
64,35.9375,32.26829294683449,0.5041920772942889,1.8970258195439977,9.370884365293918,17.1875,1,USDJPY
75,37.333333333333336,42.95546574346759,0.5727395432462346,2.0881635162422842,5.577335856800396,18.666666666666668,1,XAUUSD
462,31.601731601731604,171.27450317070276,0.37072403283701894,1.6664234979058168,13.636723703336969,25.324675324675322,2,ALL
80,21.25,3.1307747508672126,0.039134684385840154,1.066497171254152,13.636723703336989,31.25,2,AUDJPY
64,31.25,22.731516107339708,0.35517993917718294,1.6297785606952133,9.101168449332588,23.4375,2,CHFJPY
55,25.454545454545453,6.497020392712045,0.11812764350385536,1.1852108295485388,11.117841768758987,23.636363636363637,2,EURJPY
60,35.0,35.92517333114972,0.5987528888524953,2.3583044482341617,4.687942316216617,33.33333333333333,2,GBPJPY
64,37.5,28.69526407239913,0.4483635011312364,1.7387792524576877,9.036656399334056,21.875,2,SILVER
64,35.9375,33.2352623133788,0.5193009736465437,1.9494279392301799,9.370884365293914,20.3125,2,USDJPY
75,36.0,41.05949220285613,0.5474598960380817,2.067725606321938,4.687151316501236,22.666666666666664,2,XAUUSD
462,31.16883116883117,179.71490813228624,0.3889933076456412,1.7405422429909128,12.178946322841824,31.16883116883117,3,ALL
80,21.25,6.395963127776525,0.07994953909720656,1.145972785759045,12.178946322841833,37.5,3,AUDJPY
64,28.125,20.260442069328068,0.31656940733325106,1.6199532496241889,8.667681619698973,35.9375,3,CHFJPY
55,25.454545454545453,8.422386516015685,0.15313430029119426,1.2540407256243216,9.758534540220882,30.909090909090907,3,EURJPY
60,35.0,37.69406301894235,0.6282343836490392,2.5273335833121107,3.860738633301935,36.666666666666664,3,GBPJPY
64,37.5,29.95190010526752,0.467998439144805,1.7969147573541382,8.673335558782075,25.0,3,SILVER
64,35.9375,33.87424806943463,0.5292851260849161,1.985674102789923,8.731898609238083,21.875,3,USDJPY
75,36.0,43.115905225521466,0.5748787363402862,2.1845457039493086,4.5266626173126525,29.333333333333332,3,XAUUSD
462,29.43722943722944,170.83357065951046,0.36976963346214387,1.7483811085534169,11.67662809502582,39.39393939393939,6,ALL
80,20.0,6.1993355664497525,0.07749169458062191,1.1510446858133412,11.676628095025828,45.0,6,AUDJPY
64,28.125,23.621850375585797,0.3690914121185281,1.8056788656348843,7.913391183515352,43.75,6,CHFJPY
55,23.636363636363637,6.8277338847623295,0.1241406160865878,1.214904827698689,9.631443456086222,40.0,6,EURJPY
60,31.666666666666664,32.79630311007529,0.5466050518345882,2.388002992397742,3.8607386333019313,43.333333333333336,6,GBPJPY
64,32.8125,21.615227727535412,0.3377379332427408,1.5764028169520345,10.725192545946548,34.375,6,SILVER
64,34.375,34.60548733286588,0.5407107395760293,2.1286103289810407,7.8793300663075385,34.375,6,USDJPY
75,36.0,45.16763266223601,0.6022351021631468,2.315040302449897,4.332548005775401,34.66666666666667,6,XAUUSD
