sample,rule,base_trades,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,coverage_pct,symbols,periods,base_win_rate,base_total_r,base_avg_r,base_pf,base_max_dd_r,delta_win_rate,delta_total_r,delta_avg_r,delta_pf
practical_core4,prevD1_RSI_35_55__strict,26,11,72.72727272727273,12.59656311006449,1.1451421009149536,5.055469499735893,1.0677291762383996,1,42.30769230769231,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,30.419580419580427,6.434783476607727,0.9081505765512319,3.657415661298039
practical_core4,prevD1_RSI_35_55__quality,26,12,66.66666666666666,11.557927777720126,0.9631606481433438,3.7886020998559036,1.0677291762383996,1,46.15384615384615,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,24.35897435897435,5.396148144263362,0.7261691237796222,2.3905482614180498
practical_core4,strict,26,18,55.55555555555556,11.460290487964087,0.6366828048868938,2.3968917672765184,2.091396338717213,2,69.23076923076923,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,13.24786324786325,5.298510854507324,0.3996912805231721,0.9988379288386644
practical_core4,prevD1_RSI_35_55__break_depth_ge_0_15,26,10,70.0,10.603037039211344,1.0603037039211345,4.390522643682667,1.0677291762383996,1,38.46153846153847,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,27.692307692307693,4.44125740575458,0.8233121795574128,2.9924688052448127
practical_core4,H1_LH_confirm,26,14,57.14285714285714,9.542414103148094,0.681601007367721,2.5346907575411373,2.0992733646444446,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,14.835164835164832,3.38063446969133,0.44460948300399933,1.1366369191032832
practical_core4,prevD1_RSI_35_55__close_location_le_0_50,26,14,57.14285714285714,9.492955640766692,0.6780682600547637,2.528736249991415,2.057097147467215,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,14.835164835164832,3.331176007309928,0.44107673569104205,1.130682411553561
practical_core4,quality,26,20,50.0,9.393404603268404,0.46967023016342024,1.9145540154453675,2.091396338717213,2,76.92307692307693,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,7.692307692307693,3.231624969811641,0.23267870579969857,0.5165001770075135
practical_core4,prevD1_RSI_35_55__support60_119,26,6,83.33333333333334,8.742930006516108,1.457155001086018,9.564003187791359,1.0208928949232323,1,23.076923076923077,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,41.025641025641036,2.5811503730593444,1.2201634767222962,8.165949349353506
practical_core4,prevD1_RSI_30_55,26,24,45.83333333333333,8.2216625169835,0.34256927154097916,1.612647921903479,3.079249256874098,3,92.3076923076923,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,3.525641025641022,2.059882883526736,0.10557774717725749,0.21459408346562503
practical_core4,H1_LH_confirm__prevD1_RSI_35_55,26,7,71.42857142857143,7.677902351056748,1.0968431930081068,4.5821008027157255,1.0756784981731755,1,26.923076923076923,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,29.120879120879124,1.516122717599984,0.8598516686443851,3.1840469642778713
