symbol,denial_name,denial_family,d1_signal_time,context_start,fail_bars,denial_level,atr,body_ratio,close_location,rsi14
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-05-09,2018-05-10,1,81.671,0.5900214470326132,0.8220436280137778,0.8943742824339865,44.14218426425261
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-05-30,2018-05-31,1,81.133,0.7539762872440641,0.7954239569313586,0.7967698519515438,47.212229957006116
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-08-16,2018-08-17,1,79.981,0.6940965890041048,0.6115035317860837,0.7517658930373409,37.54462662592696
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-08-16,2018-08-17,1,79.981,0.6940965890041048,0.6115035317860837,0.7517658930373409,37.54462662592696
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2018-08-16,2018-08-17,1,30.0,0.6940965890041048,0.6115035317860837,0.7517658930373409,37.54462662592696
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-09-12,2018-09-13,4,79.441,0.6728938560243118,0.4060150375939862,0.7261009667024746,42.62969307674857
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-09-12,2018-09-13,4,79.441,0.6728938560243118,0.4060150375939862,0.7261009667024746,42.62969307674857
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-10-11,2018-10-12,1,79.758,0.7157319551140607,0.6887550200803175,0.7028112449799118,41.4580905189157
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-12-10,2018-12-11,1,80.931,0.7087856638991771,0.823129251700667,0.823129251700667,45.15754237594329
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-06-03,2019-06-04,1,75.08,0.5035837811770753,0.614643545279382,0.6473988439306262,34.07978552977349
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-06-03,2019-06-04,1,75.08,0.5035837811770753,0.614643545279382,0.6473988439306262,34.07978552977349
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2019-06-03,2019-06-04,2,30.0,0.5035837811770753,0.614643545279382,0.6473988439306262,34.07978552977349
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-06-18,2019-06-19,1,74.481,0.4701615254631826,0.4367088607594966,0.9962025316455695,37.055436785152
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-06-18,2019-06-19,1,74.481,0.4701615254631826,0.4367088607594966,0.9962025316455695,37.055436785152
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-08-26,2019-08-27,1,70.738,0.7945018991425465,0.8054452637549617,0.8071469086783878,44.32755878191879
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-08-26,2019-08-27,1,70.738,0.7945018991425465,0.8054452637549617,0.8071469086783878,44.32755878191879
AUDJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2019-08-26,2019-08-27,1,30.0,0.7945018991425465,0.8054452637549617,0.8071469086783878,44.32755878191879
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-11-15,2019-11-16,1,73.926,0.5580197247929012,0.8694267515923668,0.9474522292993611,48.1094600040479
AUDJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2020-02-04,2020-02-05,3,72.803,0.6105792567764106,0.7455489614243296,0.8664688427299757,42.78696751919779
AUDJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2020-02-04,2020-02-05,3,72.803,0.6105792567764106,0.7455489614243296,0.8664688427299757,42.78696751919779
