context_name,v_strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,CHFJPY,16,68.75,10.50704039723497,0.6566900248271856,3.081731260808042,2.016875152465216,2,91.125
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,CHFJPY,14,71.42857142857143,10.031040859268268,0.716502918519162,3.482145795795796,2.016875152465216,2,87.21428571428571
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,CHFJPY,14,71.42857142857143,10.031040859268268,0.716502918519162,3.482145795795796,2.016875152465216,2,87.21428571428571
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,CHFJPY,14,71.42857142857143,10.031040859268268,0.716502918519162,3.482145795795796,2.016875152465216,2,87.21428571428571
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,CHFJPY,14,71.42857142857143,10.031040859268268,0.716502918519162,3.482145795795796,2.016875152465216,2,87.21428571428571
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,GBPJPY,20,60.0,9.054221756168777,0.4527110878084389,2.306536378646702,2.0305926486726946,2,82.4
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,GBPJPY,20,60.0,9.054221756168777,0.4527110878084389,2.306536378646702,2.0305926486726946,2,82.4
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,GBPJPY,20,60.0,9.054221756168777,0.4527110878084389,2.306536378646702,2.0305926486726946,2,82.4
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,CHFJPY,20,60.0,8.967833354582627,0.44839166772913136,2.1101344468262018,2.0270943515552498,3,86.4
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,USDJPY,20,60.0,8.552038123715686,0.4276019061857843,2.209901324138172,5.033410357865641,5,89.5
AVOID_D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,CHFJPY,13,69.23076923076923,8.53319951492822,0.6563999626867862,3.113254406183262,2.016875152465216,2,87.76923076923077
AVOID_D20_D55_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,CHFJPY,11,72.72727272727273,8.057199976961519,0.7324727251783199,3.657423325162088,2.016875152465216,2,82.18181818181819
AVOID_D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,CHFJPY,11,72.72727272727273,8.057199976961519,0.7324727251783199,3.657423325162088,2.016875152465216,2,82.18181818181819
AVOID_D20_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,CHFJPY,11,72.72727272727273,8.057199976961519,0.7324727251783199,3.657423325162088,2.016875152465216,2,82.18181818181819
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,CHFJPY,11,72.72727272727273,8.057199976961519,0.7324727251783199,3.657423325162088,2.016875152465216,2,82.18181818181819
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,AUDJPY,15,60.0,8.040133545174932,0.5360089030116622,2.4903906190080867,2.3786380494299255,3,59.8
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,USDJPY,23,56.52173913043478,8.026403136115686,0.3489740493963342,1.8830657407825615,7.0542813946356535,7,95.69565217391305
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,USDJPY,23,56.52173913043478,8.026403136115686,0.3489740493963342,1.8830657407825615,7.0542813946356535,7,95.69565217391305
AVOID_D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,CHFJPY,16,62.5,8.004797533330182,0.5002998458331364,2.3213538227143764,2.0270943515552498,2,85.8125
BASELINE_NO_D1_CONTEXT,RS120_BODY45_CLOSE60_RR15,CHFJPY,16,62.5,8.004797533330182,0.5002998458331364,2.3213538227143764,2.0270943515552498,2,85.8125
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,AUDJPY,20,55.00000000000001,7.999043440593086,0.3999521720296543,1.9500451539094852,2.0252896905317295,2,63.3
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,AUDJPY,20,55.00000000000001,7.999043440593086,0.3999521720296543,1.9500451539094852,2.0252896905317295,2,63.3
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,AUDJPY,20,55.00000000000001,7.999043440593086,0.3999521720296543,1.9500451539094852,2.0252896905317295,2,63.3
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,AUDJPY,18,55.55555555555556,7.515099802063567,0.41750554455908706,2.014153844458242,2.0116604892808896,2,61.388888888888886
BASELINE_NO_D1_CONTEXT,RS100_BODY45_CLOSE60_RR15,EURJPY,26,53.84615384615385,7.415466309612173,0.28521024267739126,1.6144227478328996,3.4392432892296774,3,78.26923076923077
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,SILVER,20,55.00000000000001,7.310436141493193,0.36552180707465964,1.8267017412616866,2.069487530903684,2,61.25
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,GBPJPY,22,54.54545454545454,7.045508942351001,0.3202504064705,1.7882068195866674,3.036651499457583,3,83.04545454545455
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,GBPJPY,22,54.54545454545454,7.045508942351001,0.3202504064705,1.7882068195866674,3.036651499457583,3,83.04545454545455
BASELINE_NO_D1_CONTEXT,RS120_RECLAIM_RR15,GBPJPY,22,54.54545454545454,7.045508942351001,0.3202504064705,1.7882068195866674,3.036651499457583,3,83.04545454545455
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,AUDJPY,16,56.25,7.030704754443539,0.4394190471527212,2.0978482011836665,2.3786380494299255,3,56.5
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,AUDJPY,16,56.25,7.030704754443539,0.4394190471527212,2.0978482011836665,2.3786380494299255,3,56.5
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,AUDJPY,16,56.25,7.030704754443539,0.4394190471527212,2.0978482011836665,2.3786380494299255,3,56.5
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,AUDJPY,21,52.38095238095239,6.9876304213545435,0.3327443057787878,1.7409168736757012,2.377548923380165,3,61.142857142857146
BASELINE_NO_D1_CONTEXT,RS120_RECLAIM_RR15,CHFJPY,22,54.54545454545454,6.944623018489507,0.31566468265861397,1.6874937937808496,3.029716762479583,3,84.04545454545455
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,CHFJPY,19,57.89473684210527,6.856790759021344,0.3608837241590181,1.8448891768945124,2.379048076265933,2,89.36842105263158
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,EURJPY,18,55.55555555555556,6.811850315609673,0.37843612864498183,1.846198067069141,3.5421672971979494,3,60.0
D20Q_20D,RS100_BODY45_CLOSE60_RR15,EURJPY,7,85.71428571428571,6.628473395530893,0.9469247707901276,7.6047880708975555,1.0035860839710666,1,102.28571428571429
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,AUDJPY,14,57.14285714285714,6.553118485377103,0.46807989181265025,2.2161354661581725,2.0116604892808896,2,62.214285714285715
AVOID_D20_OR_RSI_10D,RS120_UPREG_BODY45_CLOSE60_RR15,CHFJPY,9,77.77777777777779,6.475029835650332,0.7194477595167036,4.190441033445825,1.021923564385623,1,84.33333333333333
AVOID_D20_OR_RSI_5D,RS120_UPREG_BODY45_CLOSE60_RR15,CHFJPY,9,77.77777777777779,6.475029835650332,0.7194477595167036,4.190441033445825,1.021923564385623,1,84.33333333333333
BASELINE_NO_D1_CONTEXT,RS120_UPREG_BODY45_CLOSE60_RR15,CHFJPY,9,77.77777777777779,6.475029835650332,0.7194477595167036,4.190441033445825,1.021923564385623,1,84.33333333333333
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,CHFJPY,17,58.82352941176471,6.38079122105464,0.37534066006203765,1.8974860978464843,3.406665237284682,3,85.94117647058823
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,CHFJPY,17,58.82352941176471,6.38079122105464,0.37534066006203765,1.8974860978464843,3.406665237284682,3,85.94117647058823
