context_name,v_strategy,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_15D__RS120_UPREG_BODY45_CLOSE60_RR15,52,50.0,10.37211926258185,0.19946383197272788,1.4119616954167225,5.074142290900922,5,69.09615384615384
AVOID_D20_D55_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D__RS120_UPREG_BODY45_CLOSE60_RR15,50,50.0,9.892304737556666,0.19784609475113332,1.4095795630026726,5.074142290900922,5,68.96
AVOID_D20_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_20D__RS120_UPREG_BODY45_CLOSE60_RR15,50,50.0,9.892304737556666,0.19784609475113332,1.4095795630026726,5.074142290900922,5,68.96
AVOID_D20_OR_RSI_30D,RS120_UPREG_BODY45_CLOSE60_RR15,AVOID_D20_OR_RSI_30D__RS120_UPREG_BODY45_CLOSE60_RR15,46,50.0,8.953668852067455,0.19464497504494468,1.404607751338423,5.074142290900922,5,69.47826086956522
D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,D20_OR_RSI_5D__RS100_BODY45_CLOSE60_RR15,21,57.14285714285714,5.115856550597701,0.2436122166951286,1.7251308337609725,3.038218284037567,3,123.47619047619048
D20Q_5D,RS100_BODY45_CLOSE60_RR15,D20Q_5D__RS100_BODY45_CLOSE60_RR15,17,52.94117647058824,4.575125952297463,0.2691250560174978,1.7564892888884134,2.0468672346253354,2,112.05882352941177
D20Q_15D,RS100_BODY45_CLOSE60_RR15,D20Q_15D__RS100_BODY45_CLOSE60_RR15,41,48.78048780487805,3.5251449926336518,0.08597914616179639,1.183459764062128,5.86918418586771,4,94.1951219512195
D20Q_20D,RS120_UPREG_BODY45_CLOSE60_RR15,D20Q_20D__RS120_UPREG_BODY45_CLOSE60_RR15,4,75.0,3.4429805487942406,0.8607451371985602,4.358848583982478,1.025047858725447,1,72.25
RSIQ_5D,RS100_BODY45_CLOSE60_RR15,RSIQ_5D__RS100_BODY45_CLOSE60_RR15,7,71.42857142857143,3.022204269270322,0.43174346703861743,3.6914770444085807,1.122879452213353,2,152.14285714285714
D20Q_15D,RS120_UPREG_BODY45_CLOSE60_RR15,D20Q_15D__RS120_UPREG_BODY45_CLOSE60_RR15,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
