context_name,v_strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,111,54.054054054054056,34.91161530484382,0.31451905680039477,1.7296118183512783,9.375224096990557,6,73.71171171171171
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,124,52.41935483870967,34.08867334945238,0.2749086560439708,1.6088980399607664,13.115082103388543,8,75.28225806451613
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,124,52.41935483870967,34.08867334945238,0.2749086560439708,1.6088980399607664,13.115082103388543,8,75.28225806451613
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,93,54.83870967741935,32.838031461217355,0.3530971124862081,1.8384407308805797,6.646440681691633,5,75.76344086021506
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,93,54.83870967741935,32.838031461217355,0.3530971124862081,1.8384407308805797,6.646440681691633,5,75.76344086021506
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,81,56.79012345679012,32.603354355582354,0.40251054759978216,2.016145943761757,5.526152908170671,5,74.65432098765432
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,139,50.35971223021583,31.330163050891727,0.22539685648123545,1.4742663570060872,11.778894763400057,8,76.51079136690647
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,132,50.75757575757576,30.901884504040055,0.23410518563666707,1.4981300971653002,12.722445421990804,8,75.88636363636364
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,100,53.0,30.69708541399712,0.30697085413997116,1.6942534927413886,6.646440681691633,5,75.96
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,73,57.534246575342465,30.549865632451528,0.4184913100335826,2.084855381184324,4.51365076288237,5,73.94520547945206
AVOID_D20_D55_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,83,55.42168674698795,30.303730900001604,0.3651051915662844,1.8852049280609988,5.637122348267162,5,75.03614457831326
