context_name,v_strategy,d1_context_strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,126,52.38095238095239,34.75749356591367,0.2758531235389974,1.610290538232367,8.16339179184682,6,73.03968253968254
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,141,51.06382978723404,34.41156407676913,0.24405364593453285,1.5205933745830515,10.18449840518767,8,74.74468085106383
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,141,51.06382978723404,34.41156407676913,0.24405364593453285,1.5205933745830515,10.18449840518767,8,74.74468085106383
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,NO_RECENT_D1_BEAR_DENIAL,94,54.25531914893617,31.97096227734336,0.34011661997173787,1.7956570817198705,5.058568698593196,5,73.52127659574468
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,162,49.382716049382715,31.776421392977884,0.19615074933936966,1.4011966319342544,13.208962800000284,9,75.67901234567901
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,NO_RECENT_D1_BEAR_DENIAL,107,52.336448598130836,31.191985327250308,0.291513881563087,1.646120797550709,6.646440681691633,5,74.78504672897196
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,NO_RECENT_D1_BEAR_DENIAL,107,52.336448598130836,31.191985327250308,0.291513881563087,1.646120797550709,6.646440681691633,5,74.78504672897196
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,85,55.294117647058826,30.92769962697831,0.3638552897291566,1.8774658195944192,4.600707061746995,5,73.36470588235294
AVOID_D20_D55_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,96,53.125,29.66791083880034,0.3090407379041702,1.7008134714361545,5.637122348267164,5,74.5625
AVOID_D20_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,96,53.125,29.66791083880034,0.3090407379041702,1.7008134714361545,5.637122348267164,5,74.5625
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,151,49.00662251655629,29.207375008109395,0.19342632455701586,1.3937916127563967,11.192915851124544,8,74.68211920529801
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,NO_RECENT_D1_BEAR_DENIAL,125,49.6,27.93146110750111,0.22345168886000888,1.4626096744549442,9.670905076504246,6,75.024
AVOID_D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,113,50.442477876106196,27.41360365722619,0.2425982624533291,1.5130792708918048,8.66158674307978,7,75.26548672566372
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,NO_RECENT_D1_BEAR_DENIAL,116,50.0,27.033639056782658,0.23304861255847117,1.4884696007061053,7.654858127628508,5,74.20689655172414
AVOID_D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,104,50.96153846153846,26.515781606507737,0.25495943852411285,1.5479024060613251,6.645539794204039,6,74.375
AVOID_D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,175,47.42857142857143,26.0652914932419,0.14894452281852516,1.291635823499843,13.208962800000284,10,74.67428571428572
AVOID_D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,120,48.333333333333336,22.827351696270515,0.19022793080225428,1.3836045991374784,9.627428103580161,9,74.65833333333333
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,NO_RECENT_D1_BEAR_DENIAL,135,46.666666666666664,20.245055536824253,0.1499633743468463,1.2910607402596084,9.67090507650425,7,74.02222222222223
AVOID_D20_OR_RSI_10D,RS120_UPREG_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,54,51.85185185185185,13.335285286350906,0.2469497275250168,1.5296532556513727,5.074142290900922,5,69.20370370370371
AVOID_D20_OR_RSI_5D,RS120_UPREG_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,54,51.85185185185185,13.335285286350906,0.2469497275250168,1.5296532556513727,5.074142290900922,5,69.20370370370371
AVOID_D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,52,50.0,10.37211926258185,0.19946383197272788,1.4119616954167225,5.074142290900922,5,69.09615384615384
AVOID_D20_D55_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,50,50.0,9.892304737556666,0.19784609475113332,1.4095795630026726,5.074142290900922,5,68.96
AVOID_D20_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,50,50.0,9.892304737556666,0.19784609475113332,1.4095795630026726,5.074142290900922,5,68.96
AVOID_D20_OR_RSI_30D,RS120_UPREG_BODY45_CLOSE60_RR15,NO_RECENT_D1_BEAR_DENIAL,46,50.0,8.953668852067455,0.19464497504494468,1.404607751338423,5.074142290900922,5,69.47826086956522
D20Q_5D,RS100_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,17,52.94117647058824,4.575125952297463,0.2691250560174978,1.7564892888884134,2.0468672346253354,2,112.05882352941177
D20_D55_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,12,58.333333333333336,3.547109703351765,0.29559247527931376,1.7945055327882566,2.046867234625335,2,93.58333333333333
D20Q_15D,RS100_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,41,48.78048780487805,3.5251449926336518,0.08597914616179639,1.183459764062128,5.86918418586771,4,94.1951219512195
D20Q_20D,RS120_UPREG_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,4,75.0,3.4429805487942406,0.8607451371985602,4.358848583982478,1.025047858725447,1,72.25
D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,7,71.42857142857143,3.022204269270322,0.43174346703861743,3.6914770444085807,1.122879452213353,2,152.14285714285714
RSIQ_5D,RS100_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,7,71.42857142857143,3.022204269270322,0.43174346703861743,3.6914770444085807,1.122879452213353,2,152.14285714285714
D20Q_15D,RS120_UPREG_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
D20_D55_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,17,52.94117647058824,2.922558674588479,0.17191521615226346,1.4078262424815773,4.136604812737278,5,113.3529411764706
D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,17,52.94117647058824,2.922558674588479,0.17191521615226346,1.4078262424815773,4.136604812737278,5,113.3529411764706
D20_D55_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,17,52.94117647058824,2.1898613734985988,0.12881537491168227,1.2926350311320394,3.052926085410223,3,96.58823529411765
D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,14,50.0,2.093652281327379,0.1495465915233842,1.3529300834046023,2.4629108221439573,3,109.14285714285714
RSIQ_15D,RS100_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,18,50.0,1.9093599952458598,0.10607555529143665,1.233435654388391,4.136604812737278,5,115.5
D20Q_5D,RS120_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,11,54.54545454545454,1.614890603369565,0.14680823666996046,1.3580864918497648,2.046867234625335,2,118.0909090909091
D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,4,75.0,1.5909687747007888,0.3977421936751972,2.5795313836965814,1.0072410026937484,1,135.0
RSIQ_5D,RS120_BODY45_CLOSE60_RR15,RSI_70_30_REJECT_6_Q,4,75.0,1.5909687747007888,0.3977421936751972,2.5795313836965814,1.0072410026937484,1,135.0
D20_D55_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,1,100.0,1.4819823821416602,1.4819823821416602,inf,0.0,0,75.0
D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,DONCHIAN20_FALSE_BREAK_6_Q,1,100.0,1.4819823821416602,1.4819823821416602,inf,0.0,0,75.0
