symbol,timeframe,strategy,context_name,v_strategy,signal_time,period,d1_context_signal_time,d1_context_strategy,d1_context_age_days,d1_context_fail_bars,pair_key,v_start_i,v_extreme_i,v_start,v_extreme,trigger_level,v_move_atr,v_move_bars,v_recovery_bars,drop_speed_atr_per_bar,recovery_speed_atr_per_bar,right_left_speed_ratio,fib_ratio_at_signal,close_location,body_ratio,ema50_stretch_atr,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost
EURJPY,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-02-17 16:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,1755-1766,1755,1766,136.01,133.94,136.01,3.5315544159512378,11,4,0.32105040145011254,0.9298053897069744,2.8961352657005013,1.0531400966183642,0.9117647058823505,0.7352941176470514,1.7963569276043072,2015-02-17 20:00:00,136.13,133.79346395976157,139.60980406035765,2015-02-20 12:00:00,133.79346395976157,SL,16,2.3365360402384283,-1.0,-1.0053497997825505
GBPJPY,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-02-24 04:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,3355-3367,3355,3367,184.17,181.64,184.17,4.350006355463623,12,11,0.36250052962196855,0.4110857605055489,1.1340280273086696,1.0395256916996136,0.8412698412698492,0.7301587301587481,2.4210254343598336,2015-02-24 08:00:00,184.26,181.49459791358566,188.43310312962154,2015-03-06 20:00:00,181.49459791358566,SL,52,2.7654020864143263,-1.0,-1.007232221346124
GBPJPY,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-03-10 00:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,3423-3431,3423,3431,183.67,181.47,183.67,4.235325857575459,8,8,0.5294157321969324,0.5438543430750311,1.0272727272727284,1.0272727272727284,0.7413793103448106,0.6724137931034432,1.0943530101430694,2015-03-10 04:00:00,183.73,181.3401398620802,187.31479020687965,2015-03-11 12:00:00,181.3401398620802,SL,8,2.389860137919783,-1.0,-1.0083686905700642
XAUUSD,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-04-06 04:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,1964-1983,1964,1983,1219.681,1178.391,1219.681,6.601586791976055,19,18,0.3474519364197924,0.3888364998325435,1.1191087430370517,1.060208282877207,0.8172043010752706,0.6538518191191426,4.363944003958621,2015-04-06 08:00:00,1222.186,1176.827360783358,1290.1764588249628,2015-04-24 12:00:00,1176.827360783358,SL,87,45.358639216641905,-1.0,-1.0077162808683142
XAUUSD,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-04-27 12:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,2084-2090,2084,2090,1197.98,1175.204,1197.98,3.6634107899532413,6,6,0.610568464992207,0.7220610117915794,1.1826044959606545,1.1826044959606545,0.884803671596123,0.7934727180010211,1.429259400552943,2015-04-27 16:00:00,1202.118,1173.6497107525,1244.8729338712499,2015-05-01 12:00:00,1173.6497107525,SL,23,28.468289247500024,-1.0,-1.0122943811957676
GBPJPY,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-05-21 08:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,3731-3744,3731,3744,188.58,185.95,188.58,4.173697430232716,13,12,0.3210536484794397,0.5144386249558042,1.6023447401774313,1.479087452471475,0.9512195121951312,0.9390243902439054,4.315166288207005,2015-05-21 12:00:00,189.83,185.79246582053665,195.91130126919504,2015-07-02 12:00:00,192.2,max_hold,180,4.037534179463364,0.5869919348435032,0.5820384164060097
EURJPY,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-05-28 12:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,2176-2192,2176,2192,135.33,133.08,135.33,4.776260514384869,16,15,0.2985162821490543,0.34813632193738314,1.1662222222222127,1.0933333333333242,0.7272727272727226,0.5090909090909006,2.2401925002630514,2015-05-28 16:00:00,135.53,132.9622300420369,139.40665493694462,2015-06-03 12:00:00,139.40665493694462,TP,23,2.567769957963094,1.5097360746520334,1.5048680373260166
XAUUSD,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-06-18 04:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,2313-2325,2313,2325,1190.492,1174.569,1190.492,3.2998569737457357,12,4,0.27498808114547796,0.8527859980508529,3.101174401808711,1.0337248006029036,0.7925939779315639,0.7462128296240927,1.6713677971173877,2015-06-18 08:00:00,1191.019,1173.3626598368742,1217.5285102446887,2015-06-24 12:00:00,1173.3626598368742,SL,26,17.656340163125833,-1.0,-1.01982290762222
XAUUSD,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-09-24 12:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,2739-2752,2739,2752,1141.639,1121.328,1141.639,3.6147705207071894,13,12,0.27805927082362997,0.5009885783954886,1.8017330510560834,1.6631382009748463,0.9234954421801141,0.917625161074781,4.848054354573053,2015-09-24 16:00:00,1155.108,1119.923277356913,1207.8850839646302,2015-09-30 08:00:00,1119.923277356913,SL,23,35.18472264308684,-1.0,-1.0099474991902175
AUDJPY,H4,AVOID_D20_D55_OR_RSI_20D__RS100_BODY45_CLOSE60_RR15,AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,2015-10-05 04:00:00,Research_2015_2024,,NO_RECENT_D1_BEAR_DENIAL,,,2813-2820,2813,2820,85.051,83.269,85.051,3.641412537930594,7,5,0.520201791132942,0.7409518441378381,1.4243546576879849,1.017396184062846,0.9385964912280579,0.5175438596490974,1.2100288976076006,2015-10-05 08:00:00,85.082,83.14665736637652,87.98501395043522,2015-10-09 08:00:00,87.98501395043522,TP,24,1.9353426336234776,1.5000000000000038,1.493541195350728
