base_strategy,filter,family,description,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
T4_REBREAK_ONLY,CloseLoc_ge_65,Candle,終値が足の上側35%以内,246,45.9349593495935,49.258888898308655,0.20023938576548234,1.404977585620354,11.547221932598086,11,102.80081300813008
T4_REBREAK_ONLY,RSI_45_75,RSI,RSI14が45〜75,244,45.08196721311475,45.980510742952056,0.18844471615963956,1.3738548759291145,10.363003267993932,11,101.18442622950819
T4_REBREAK_ONLY,RSI_50_75,RSI,RSI14が50〜75,244,45.08196721311475,45.980510742952056,0.18844471615963956,1.3738548759291145,10.363003267993932,11,101.18442622950819
T4_REBREAK_ONLY,RSI_lt_75,RSI,RSI14 < 75で過熱回避,244,45.08196721311475,45.980510742952056,0.18844471615963956,1.3738548759291145,10.363003267993932,11,101.18442622950819
T4_REBREAK_ONLY,ALL_BASELINE,baseline,フィルターなし,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584,11,102.22529644268775
T4_REBREAK_ONLY,RSI_gt_50,RSI,RSI14 > 50,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584,11,102.22529644268775
T4_REBREAK_ONLY,ATR_ratio_lt_1_5,ATR,ATR14がATR50の1.5倍未満,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584,11,102.22529644268775
T4_REBREAK_ONLY,Body_ge_60,Candle,実体比率60%以上,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584,11,102.22529644268775
T4_REBREAK_ONLY,Range5_le_6ATR,Compression,直近5本レンジが6ATR以下,253,45.059288537549406,45.65867426551953,0.1804690682431602,1.3589300237661943,11.340884533144584,11,102.22529644268775
T4_REBREAK_ONLY,BB_pos_60_110,Bollinger,BB内位置が上側60%〜軽い上抜け,199,45.22613065326633,45.650979336504896,0.22940190621359244,1.46366654234738,11.350131979512662,10,101.80904522613065
T4_REBREAK_ONLY,EMA_close_gt_50,EMA,終値がEMA50より上,243,44.8559670781893,41.31833242072008,0.17003428979720198,1.3382833324296852,13.187820912604952,11,102.23045267489712
T4_REBREAK_ONLY,BB_width_ge_3ATR,Bollinger,BB幅が3ATR以上,222,45.4954954954955,40.38220458541522,0.1819018224568253,1.3703930315092334,12.575830354039844,10,106.28828828828829
T4_REBREAK_ONLY,EMA_close_gt_200,EMA,終値がEMA200より上,183,44.80874316939891,33.21238086126124,0.181488420006892,1.3611369216986287,12.494275511737246,9,100.40983606557377
T4_REBREAK_ONLY,Trend_Momentum_Close,Combo,EMA20>50、RSI>50、終値位置65%以上,162,46.913580246913575,32.9854364579222,0.20361380529581605,1.4134230471949634,8.081940204321569,8,104.56172839506173
T4_REBREAK_ONLY,EMA_20_gt_50,EMA,EMA20がEMA50より上,167,46.10778443113773,30.850008103079347,0.1847305874435889,1.3677195249753413,8.081940204321569,8,103.76047904191617
T4_REBREAK_ONLY,ATR_pctile_lt_85,ATR,ATR上位15%の荒れ相場を除外,205,43.41463414634146,30.30444656644476,0.1478265686168037,1.2799525665960045,12.000935457258102,10,97.8829268292683
T4_REBREAK_ONLY,EMA_RSI_ATR,Combo,EMA20>50、RSI50〜75、ATR過大除外,135,45.925925925925924,29.63791613185594,0.21954011949522917,1.4291108080454067,8.191665434845055,8,97.54074074074074
T4_REBREAK_ONLY,EMA20_slope_pos,EMA,EMA20の10本傾きがプラス,227,43.17180616740088,25.5451308055829,0.11253361588362511,1.2163414566306863,15.173938971903068,11,103.25991189427313
T4_REBREAK_ONLY,BB_width_ge_4ATR,Bollinger,BB幅が4ATR以上,142,45.774647887323944,23.015648774726085,0.1620820336248316,1.3404287771575891,15.709932937647697,10,113.83802816901408
T4_REBREAK_ONLY,ADX_ge_18,ADX,ADX14 >= 18,176,43.18181818181818,21.187501960679715,0.12038353386749838,1.2403094346243828,18.72309860402648,15,105.17045454545455
T4_REBREAK_ONLY,EMA_stack_20_50_200,EMA,EMA20 > EMA50 > EMA200,114,45.614035087719294,18.763543278175128,0.16459248489627304,1.3197606265385629,7.0729773589546685,7,100.43859649122807
T4_REBREAK_ONLY,Donchian20_break,Donchian,20本高値を終値で更新,208,42.78846153846153,17.229375312523032,0.08283353515636073,1.1588706358787346,18.694637905884427,10,106.1923076923077
T4_REBREAK_ONLY,ADX_ge_22,ADX,ADX14 >= 22,116,43.96551724137931,14.850449199021964,0.1280211137846721,1.2593862873100048,13.857073532927647,10,107.79310344827586
T4_REBREAK_ONLY,Donchian55_break,Donchian,55本高値を終値で更新,88,45.45454545454545,8.691557000526814,0.0987676931878047,1.2039631871906962,6.36445082714145,6,119.4659090909091
T4_REBREAK_ONLY,ADX_Donchian_Body,Combo,ADX>=18、20本高値更新、実体60%以上,143,41.95804195804196,7.201456993507424,0.05035983911543653,1.1001675734204153,19.791920438363498,12,111.26573426573427
T4_REBREAK_ONLY,ATR_pctile_20_90,ATR,ATRが過小/過大すぎない 20〜90%,164,40.853658536585364,4.497182465231418,0.027421844300191574,1.049983652796912,14.715854467593658,10,103.9939024390244
T4_REBREAK_ONLY,ADX_ge_25,ADX,ADX14 >= 25,87,39.08045977011494,0.6064227641674214,0.006970376599625533,1.013310563426204,16.493345078081262,10,110.52873563218391
T5_STAG_OR_REBREAK,RSI_45_75,RSI,RSI14が45〜75,287,45.64459930313589,49.471793777078936,0.17237558807344577,1.343033580980071,13.379489086843208,13,99.82229965156795
T5_STAG_OR_REBREAK,RSI_50_75,RSI,RSI14が50〜75,287,45.64459930313589,49.471793777078936,0.17237558807344577,1.343033580980071,13.379489086843208,13,99.82229965156795
T5_STAG_OR_REBREAK,RSI_lt_75,RSI,RSI14 < 75で過熱回避,287,45.64459930313589,49.471793777078936,0.17237558807344577,1.343033580980071,13.379489086843208,13,99.82229965156795
T5_STAG_OR_REBREAK,ALL_BASELINE,baseline,フィルターなし,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379,13,100.21428571428571
T5_STAG_OR_REBREAK,RSI_gt_50,RSI,RSI14 > 50,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379,13,100.21428571428571
T5_STAG_OR_REBREAK,ATR_ratio_lt_1_5,ATR,ATR14がATR50の1.5倍未満,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379,13,100.21428571428571
T5_STAG_OR_REBREAK,Body_ge_60,Candle,実体比率60%以上,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379,13,100.21428571428571
T5_STAG_OR_REBREAK,Range5_le_6ATR,Compression,直近5本レンジが6ATR以下,294,45.57823129251701,49.047758161108575,0.16682910939152576,1.3308620180657624,15.392190821150379,13,100.21428571428571
T5_STAG_OR_REBREAK,CloseLoc_ge_65,Candle,終値が足の上側35%以内,285,45.96491228070175,48.66439782709901,0.17075227307754037,1.3411004467525438,15.392190821150379,13,101.05964912280702
T5_STAG_OR_REBREAK,BB_pos_60_110,Bollinger,BB内位置が上側60%〜軽い上抜け,241,45.643153526970956,46.3327265114289,0.19225197722584605,1.3845642064040409,14.396253157067541,9,100.82572614107883
T5_STAG_OR_REBREAK,EMA_close_gt_50,EMA,終値がEMA50より上,283,45.583038869257955,45.72057408225729,0.16155679887723426,1.3216075060984616,17.23912720061075,13,100.48056537102474
T5_STAG_OR_REBREAK,BB_width_ge_3ATR,Bollinger,BB幅が3ATR以上,255,46.27450980392157,44.66725403213556,0.17516570208680612,1.3573318418859,14.360133748313064,11,104.88235294117646
T5_STAG_OR_REBREAK,EMA_close_gt_200,EMA,終値がEMA200より上,206,46.116504854368934,40.91801933758242,0.19863116183292437,1.3976704282052588,15.74662412656231,9,97.10679611650485
T5_STAG_OR_REBREAK,EMA_20_gt_50,EMA,EMA20がEMA50より上,191,47.12041884816754,37.862856227959334,0.19823484936104363,1.3972314717845975,8.859185561676924,9,100.08900523560209
