strategy,filter,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,family
T4_REBREAK_ONLY,ALL_BASELINE,GBPJPY,44,52.27272727272727,14.908328488260064,0.338825647460456,1.757581237428699,3.0290153854161526,3,104.79545454545455,baseline
T4_REBREAK_ONLY,ALL_BASELINE,XAUUSD,34,47.05882352941176,10.970466265861988,0.3226607725253526,1.7968965373452899,3.6169963764839848,4,112.6470588235294,baseline
T4_REBREAK_ONLY,ALL_BASELINE,USDJPY,41,46.34146341463415,8.24025260359731,0.2009817708194466,1.4326898424001848,9.364716046580202,8,113.95121951219512,baseline
T4_REBREAK_ONLY,ALL_BASELINE,CHFJPY,26,46.15384615384615,7.346538938085945,0.2825591899263825,1.5901562102846198,4.032756686843984,4,99.96153846153847,baseline
T4_REBREAK_ONLY,ALL_BASELINE,AUDJPY,35,42.857142857142854,2.764174075234647,0.07897640214956135,1.1410296785636298,8.099146174977857,7,91.97142857142858,baseline
T4_REBREAK_ONLY,ALL_BASELINE,EURJPY,40,40.0,1.651796885210004,0.0412949221302501,1.0731296644077397,10.029805944285274,5,103.275,baseline
T4_REBREAK_ONLY,ALL_BASELINE,SILVER,33,39.39393939393939,-0.2228829907304406,-0.0067540300221345636,0.9889016311103711,6.293460588932955,4,84.87878787878788,baseline
T4_REBREAK_ONLY,EMA_close_gt_50,GBPJPY,43,53.48837209302325,15.920053337155485,0.37023379853849964,1.8528389955194025,3.0290153854161517,3,106.88372093023256,EMA
T4_REBREAK_ONLY,EMA_close_gt_50,XAUUSD,32,46.875,9.989168062198903,0.3121615019437157,1.7828971549054224,2.609742901933708,4,113.90625,EMA
T4_REBREAK_ONLY,EMA_close_gt_50,USDJPY,41,46.34146341463415,8.24025260359731,0.2009817708194466,1.4326898424001848,9.364716046580202,8,113.95121951219512,EMA
T4_REBREAK_ONLY,EMA_close_gt_50,CHFJPY,23,47.82608695652174,7.372578941537111,0.32054691050161355,1.706707633904406,3.0171435573656478,3,100.0,EMA
T4_REBREAK_ONLY,EMA_close_gt_50,SILVER,32,40.625,0.8084948373155427,0.02526546366611071,1.0424381744844538,6.293460588932955,4,83.03125,EMA
T4_REBREAK_ONLY,EMA_close_gt_50,AUDJPY,34,41.17647058823529,0.7756439453839196,0.022813057217174106,1.0395737798416451,8.099146174977857,7,90.02941176470588,EMA
T4_REBREAK_ONLY,EMA_close_gt_50,EURJPY,38,36.84210526315789,-1.7878593064681851,-0.04704892911758382,0.920846471947639,11.846298803974877,5,102.92105263157895,EMA
T4_REBREAK_ONLY,EMA_close_gt_200,USDJPY,35,48.57142857142857,10.164718616366724,0.2904205318961921,1.6765302240538058,6.351271840922723,6,110.77142857142857,EMA
T4_REBREAK_ONLY,EMA_close_gt_200,XAUUSD,22,45.45454545454545,8.254970642578783,0.3752259382990356,1.9812175088225654,2.588510092787347,4,111.9090909090909,EMA
T4_REBREAK_ONLY,EMA_close_gt_200,GBPJPY,32,46.875,5.833291562718374,0.1822903613349492,1.3729540694853122,3.029015385416153,3,108.21875,EMA
