symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,close,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr_ratio_50,atr_pctile_252,body_ratio,close_location,range5_atr
AUDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-01-20 08:00:00,long,rebreak,1666,1669,1673,96.946,94.949,3.641275330748546,3,1.2137584435828488,4,1.3333333333333333,16,1.1827741612418674,0.618,0.8,97.311,2015-01-20 12:00:00,97.31,94.81189144471331,102.3092171105734,2015-01-23 04:00:00,94.81189144471331,SL,16,2.4981085552866915,-1.0,-1.0050037857536396,97.311,96.47192453349896,96.48585822796993,97.37098972736568,0.5502385001378892,62.90758736891535,18.275622543931764,3.332021243124956,1.0383895011661102,97.162,97.649,True,False,1.0604065901814663,78.57142857142857,0.821497120921326,0.8925143953934793,1.8525466880523498
AUDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-01-20 08:00:00,long,rebreak,1666,1669,1673,96.946,94.949,3.641275330748546,3,1.2137584435828488,4,1.3333333333333333,16,1.1827741612418674,0.618,0.8,97.311,2015-01-20 12:00:00,97.31,94.81189144471331,102.3092171105734,2015-01-23 04:00:00,94.81189144471331,SL,16,2.4981085552866915,-1.0,-1.0050037857536396,97.311,96.47192453349896,96.48585822796993,97.37098972736568,0.5502385001378892,62.90758736891535,18.275622543931764,3.332021243124956,1.0383895011661102,97.162,97.649,True,False,1.0604065901814663,78.57142857142857,0.821497120921326,0.8925143953934793,1.8525466880523498
EURJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-02-10 12:00:00,long,stagnation,1710,1715,1719,135.34,132.52,4.54258331348275,5,0.9085166626965498,4,0.8,23,0.8829787234042507,0.618,0.8,135.01,2015-02-10 16:00:00,135.0,132.36480196589736,140.30039606820526,2015-03-05 04:00:00,132.36480196589736,SL,102,2.6351980341026433,-1.0,-1.0047434765198757,135.01,134.41170849026474,134.30412861479516,137.48458568948755,0.16199198651000346,57.66661432574458,10.822139701326492,1.8756972187984935,0.9083584810723602,135.17,135.34,False,False,0.8864395682904422,49.2063492063492,0.6752136752136593,0.7777777777777642,1.9974479818151292
GBPJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-02-18 08:00:00,long,rebreak,3325,3329,3331,183.92,181.11,4.032893858281181,4,1.0082234645702952,2,0.5,25,1.0284697508896845,0.618,0.8,184.0,2015-02-18 12:00:00,184.01,180.9358074661307,190.12838506773858,2015-03-11 16:00:00,180.9358074661307,SL,94,3.0741925338692795,-1.0,-1.0065057733956595,184.0,182.73392468748557,181.99665714338704,180.95480109890423,0.3352516388666319,64.66481031166643,16.287779236374195,2.845763836122755,1.1750407514807741,183.34,184.14,True,False,0.9987913236557135,36.507936507936506,0.8161764705882372,0.9338235294117628,2.4541809600216777
GBPJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-02-18 08:00:00,long,rebreak,3325,3329,3331,183.92,181.11,4.032893858281181,4,1.0082234645702952,2,0.5,25,1.0284697508896845,0.618,0.8,184.0,2015-02-18 12:00:00,184.01,180.9358074661307,190.12838506773858,2015-03-11 16:00:00,180.9358074661307,SL,94,3.0741925338692795,-1.0,-1.0065057733956595,184.0,182.73392468748557,181.99665714338704,180.95480109890423,0.3352516388666319,64.66481031166643,16.287779236374195,2.845763836122755,1.1750407514807741,183.34,184.14,True,False,0.9987913236557135,36.507936507936506,0.8161764705882372,0.9338235294117628,2.4541809600216777
SILVER,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-03-02 00:00:00,long,stagnation,1809,1821,1831,16.785,16.085,4.6309590590333025,12,0.3859132549194419,10,0.8333333333333334,29,0.9271428571428594,0.618,0.8,16.734,2015-03-02 04:00:00,16.734,16.04721085140914,18.107578297181725,2015-03-06 08:00:00,16.04721085140914,SL,25,0.6867891485908615,-1.0,-1.050961783644678,16.734,16.57000741028585,16.578497777437626,16.827657123843963,0.3738372157261798,60.60581926375896,28.628532293802277,2.006506528148729,0.9833550882948723,16.885,17.279,False,False,0.8847195761475475,2.380952380952381,0.7167630057803528,0.734104046242781,2.4544083012876676
XAUUSD,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-03-02 00:00:00,long,rebreak,1810,1822,1839,1222.912,1190.749,5.2365497639392675,12,0.4363791469949389,17,1.4166666666666667,29,0.9468333177875187,0.618,0.8,1221.202,2015-03-02 04:00:00,1221.152,1189.2134946840051,1285.1790106319897,2015-03-06 12:00:00,1189.2134946840051,SL,26,31.938505315994917,-1.0,-1.0109585591604018,1221.202,1211.047399477126,1211.8258693991452,1228.6026445517957,0.6560223225659871,63.402182980670865,18.125655849405952,2.891760556502138,1.0996845438524685,1219.941,1229.66,True,False,0.9525785418889513,9.920634920634921,0.7689021785561747,0.7914352840666417,2.513179185902002
XAUUSD,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-03-02 00:00:00,long,rebreak,1810,1822,1839,1222.912,1190.749,5.2365497639392675,12,0.4363791469949389,17,1.4166666666666667,29,0.9468333177875187,0.618,0.8,1221.202,2015-03-02 04:00:00,1221.152,1189.2134946840051,1285.1790106319897,2015-03-06 12:00:00,1189.2134946840051,SL,26,31.938505315994917,-1.0,-1.0109585591604018,1221.202,1211.047399477126,1211.8258693991452,1228.6026445517957,0.6560223225659871,63.402182980670865,18.125655849405952,2.891760556502138,1.0996845438524685,1219.941,1229.66,True,False,0.9525785418889513,9.920634920634921,0.7689021785561747,0.7914352840666417,2.513179185902002
AUDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-03-23 00:00:00,long,stagnation+rebreak,1941,1947,1952,93.82,92.003,4.3455996728384,6,0.7242666121397333,5,0.8333333333333334,9,0.9268024215740253,0.618,0.8,93.687,2015-03-23 04:00:00,93.684,91.89846897224812,97.26406205550374,2015-03-30 08:00:00,91.89846897224812,SL,32,1.7855310277518726,-1.0,-1.0070007184449363,93.687,92.97064216914266,92.88524932774926,93.21973808487047,0.6921995844991861,64.20867222543906,19.88722004675917,4.779942959880326,0.9195166897936375,93.82,93.82,False,False,1.0223233221636772,52.38095238095239,0.6441441441441434,0.9527027027027012,1.982664903017622
AUDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-03-23 00:00:00,long,stagnation+rebreak,1941,1947,1952,93.82,92.003,4.3455996728384,6,0.7242666121397333,5,0.8333333333333334,9,0.9268024215740253,0.618,0.8,93.687,2015-03-23 04:00:00,93.684,91.89846897224812,97.26406205550374,2015-03-30 08:00:00,91.89846897224812,SL,32,1.7855310277518726,-1.0,-1.0070007184449363,93.687,92.97064216914266,92.88524932774926,93.21973808487047,0.6921995844991861,64.20867222543906,19.88722004675917,4.779942959880326,0.9195166897936375,93.82,93.82,False,False,1.0223233221636772,52.38095238095239,0.6441441441441434,0.9527027027027012,1.982664903017622
