symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,close,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr_ratio_50,atr_pctile_252,body_ratio,close_location,range5_atr
USDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-03-31 00:00:00,long,rebreak,1951,1976,1990,121.201,118.328,8.976103959965867,25,0.3590441583986347,14,0.56,17,0.6742081447963815,0.618,0.8,120.265,2015-03-31 04:00:00,120.263,118.2479819873741,124.2990360252518,2015-05-11 04:00:00,119.983,max_hold,180,2.0150180126259016,-0.1389565742070538,-0.1439193090001583,120.265,119.64981900891603,119.81751173590916,119.82284303795247,0.8245096243444763,64.55679597381567,26.26400201301903,5.869681515124266,0.9587163292246793,120.226,121.407,True,False,0.9289403652031908,30.555555555555557,0.7079646017698993,0.7079646017698993,2.327600922441571
USDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-03-31 00:00:00,long,rebreak,1951,1976,1990,121.201,118.328,8.976103959965867,25,0.3590441583986347,14,0.56,17,0.6742081447963815,0.618,0.8,120.265,2015-03-31 04:00:00,120.263,118.2479819873741,124.2990360252518,2015-05-11 04:00:00,119.983,max_hold,180,2.0150180126259016,-0.1389565742070538,-0.1439193090001583,120.265,119.64981900891603,119.81751173590916,119.82284303795247,0.8245096243444763,64.55679597381567,26.26400201301903,5.869681515124266,0.9587163292246793,120.226,121.407,True,False,0.9289403652031908,30.555555555555557,0.7079646017698993,0.7079646017698993,2.327600922441571
XAUUSD,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-04-05 20:00:00,long,rebreak,1964,1983,1991,1219.681,1178.391,6.400997543839459,19,0.3368946075704979,8,0.42105263157894735,16,0.9524824412690727,0.618,0.8,1217.719,2015-04-06 00:00:00,1217.719,1176.778360730995,1299.6002785380101,2015-04-24 12:00:00,1176.778360730995,SL,89,40.94063926900503,-1.0,-1.008548962748247,1217.719,1198.5769816938757,1192.7820912254645,1194.11757943594,1.652509119795849,71.91592383952084,23.646042462138084,6.728960454048054,1.038868958421485,1208.598,1219.681,True,False,1.0980550239016809,63.888888888888886,0.9215686274509948,0.9741257327673475,3.555971946248216
XAUUSD,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-04-05 20:00:00,long,rebreak,1964,1983,1991,1219.681,1178.391,6.400997543839459,19,0.3368946075704979,8,0.42105263157894735,16,0.9524824412690727,0.618,0.8,1217.719,2015-04-06 00:00:00,1217.719,1176.778360730995,1299.6002785380101,2015-04-24 12:00:00,1176.778360730995,SL,89,40.94063926900503,-1.0,-1.008548962748247,1217.719,1198.5769816938757,1192.7820912254645,1194.11757943594,1.652509119795849,71.91592383952084,23.646042462138084,6.728960454048054,1.038868958421485,1208.598,1219.681,True,False,1.0980550239016809,63.888888888888886,0.9215686274509948,0.9741257327673475,3.555971946248216
GBPJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-04-17 08:00:00,long,stagnation+rebreak,3571,3594,3607,179.25,174.85,7.754074328888096,23,0.3371336664733955,13,0.5652173913043478,18,0.8204545454545475,0.618,0.8,178.46,2015-04-17 12:00:00,178.47,174.70813909522354,185.96372180955294,2015-05-08 04:00:00,185.96372180955294,TP,88,3.761860904776455,1.9920252234839726,1.986708705806621,178.46,177.18029149018898,177.12586975033489,178.56090340778704,1.3363227926524301,69.75702169082777,24.669389693981504,5.6347290445697,1.0000952273682862,178.0,179.25,True,False,1.0434942806937215,51.98412698412699,0.6907216494845533,0.7628865979381546,2.238107817656352
GBPJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-04-17 08:00:00,long,stagnation+rebreak,3571,3594,3607,179.25,174.85,7.754074328888096,23,0.3371336664733955,13,0.5652173913043478,18,0.8204545454545475,0.618,0.8,178.46,2015-04-17 12:00:00,178.47,174.70813909522354,185.96372180955294,2015-05-08 04:00:00,185.96372180955294,TP,88,3.761860904776455,1.9920252234839726,1.986708705806621,178.46,177.18029149018898,177.12586975033489,178.56090340778704,1.3363227926524301,69.75702169082777,24.669389693981504,5.6347290445697,1.0000952273682862,178.0,179.25,True,False,1.0434942806937215,51.98412698412699,0.6907216494845533,0.7628865979381546,2.238107817656352
EURJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-04-28 08:00:00,long,stagnation+rebreak,1979,2013,2058,131.28,126.08,10.716623448375042,34,0.3151948073051483,45,1.3235294117647058,61,0.7846153846153838,0.618,0.8,130.16,2015-04-28 12:00:00,130.17,125.95869313443153,138.56261373113693,2015-06-02 12:00:00,138.56261373113693,TP,150,4.21130686556846,1.9928763205917734,1.9899081208383458,130.16,129.3308049002648,128.87205068075204,129.58862279564272,0.8977822747336994,66.74074020713613,21.86459051114561,3.3938796349394766,0.9897366017195581,130.09,130.09,True,True,0.935128627718806,49.2063492063492,0.8048780487804903,0.9878048780487915,1.6899290822437416
EURJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-04-28 08:00:00,long,stagnation+rebreak,1979,2013,2058,131.28,126.08,10.716623448375042,34,0.3151948073051483,45,1.3235294117647058,61,0.7846153846153838,0.618,0.8,130.16,2015-04-28 12:00:00,130.17,125.95869313443153,138.56261373113693,2015-06-02 12:00:00,138.56261373113693,TP,150,4.21130686556846,1.9928763205917734,1.9899081208383458,130.16,129.3308049002648,128.87205068075204,129.58862279564272,0.8977822747336994,66.74074020713613,21.86459051114561,3.3938796349394766,0.9897366017195581,130.09,130.09,True,True,0.935128627718806,49.2063492063492,0.8048780487804903,0.9878048780487915,1.6899290822437416
USDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-05-18 16:00:00,long,rebreak,2180,2192,2199,120.276,118.886,5.235819848087377,12,0.4363183206739481,7,0.5833333333333334,16,0.7964028776978409,0.618,0.8,119.993,2015-05-18 20:00:00,119.991,118.81963026038282,122.33973947923434,2015-05-26 04:00:00,122.33973947923434,TP,33,1.1713697396171767,2.005122208468478,1.9965851943543358,119.993,119.57837273619735,119.60726177137641,119.62964382082639,0.4655308906460075,61.13680012320633,20.053301170234484,4.18532821197313,1.0184874505412578,119.927,120.276,True,False,0.9847915202307557,13.88888888888889,0.7812500000000238,0.8124999999999841,2.610376370305424
USDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-05-18 16:00:00,long,rebreak,2180,2192,2199,120.276,118.886,5.235819848087377,12,0.4363183206739481,7,0.5833333333333334,16,0.7964028776978409,0.618,0.8,119.993,2015-05-18 20:00:00,119.991,118.81963026038282,122.33973947923434,2015-05-26 04:00:00,122.33973947923434,TP,33,1.1713697396171767,2.005122208468478,1.9965851943543358,119.993,119.57837273619735,119.60726177137641,119.62964382082639,0.4655308906460075,61.13680012320633,20.053301170234484,4.18532821197313,1.0184874505412578,119.927,120.276,True,False,0.9847915202307557,13.88888888888889,0.7812500000000238,0.8124999999999841,2.610376370305424
GBPJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-05-21 08:00:00,long,stagnation+rebreak,3731,3744,3750,188.58,185.95,4.173697430232716,13,0.3210536484794397,6,0.46153846153846156,12,1.479087452471475,0.618,0.8,189.84,2015-05-21 12:00:00,189.83,185.79246582053665,197.9350683589267,2015-07-02 12:00:00,192.2,max_hold,180,4.037534179463364,0.5869919348435032,0.5820384164060097,189.84,187.99467837914656,187.1208552781576,183.3557512851625,0.8828984370755307,72.18930000073493,21.90663853576857,4.77831953715125,1.1911337559073067,188.58,188.58,True,True,0.9863224884277705,77.38095238095238,0.9390243902439054,0.9512195121951312,3.173914395614204
GBPJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-05-21 08:00:00,long,stagnation+rebreak,3731,3744,3750,188.58,185.95,4.173697430232716,13,0.3210536484794397,6,0.46153846153846156,12,1.479087452471475,0.618,0.8,189.84,2015-05-21 12:00:00,189.83,185.79246582053665,197.9350683589267,2015-07-02 12:00:00,192.2,max_hold,180,4.037534179463364,0.5869919348435032,0.5820384164060097,189.84,187.99467837914656,187.1208552781576,183.3557512851625,0.8828984370755307,72.18930000073493,21.90663853576857,4.77831953715125,1.1911337559073067,188.58,188.58,True,True,0.9863224884277705,77.38095238095238,0.9390243902439054,0.9512195121951312,3.173914395614204
GBPJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-07-13 04:00:00,long,stagnation+rebreak,3949,3961,3972,191.62,184.97,6.774917385074158,12,0.5645764487561798,11,0.9166666666666666,16,0.9503759398496222,0.618,0.8,191.29,2015-07-13 08:00:00,191.3,184.7246095538135,204.42078089237296,2015-08-24 08:00:00,188.46,max_hold,180,6.575390446186503,-0.43191351498329716,-0.4349551594550078,191.29,188.99155457524682,189.80683979287087,190.48239686918126,1.0095864955289886,64.9115842067766,32.12392537165557,7.718079236270779,0.9550691557760128,190.56,192.94,True,False,1.291211007011464,99.60317460317461,0.6825396825396832,0.7830687830687834,1.996817755600782
GBPJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-07-13 04:00:00,long,stagnation+rebreak,3949,3961,3972,191.62,184.97,6.774917385074158,12,0.5645764487561798,11,0.9166666666666666,16,0.9503759398496222,0.618,0.8,191.29,2015-07-13 08:00:00,191.3,184.7246095538135,204.42078089237296,2015-08-24 08:00:00,188.46,max_hold,180,6.575390446186503,-0.43191351498329716,-0.4349551594550078,191.29,188.99155457524682,189.80683979287087,190.48239686918126,1.0095864955289886,64.9115842067766,32.12392537165557,7.718079236270779,0.9550691557760128,190.56,192.94,True,False,1.291211007011464,99.60317460317461,0.6825396825396832,0.7830687830687834,1.996817755600782
USDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-07-13 04:00:00,long,rebreak,2423,2437,2446,122.928,120.414,5.626456007584362,14,0.4018897148274544,9,0.6428571428571429,16,1.1607000795544937,0.618,0.8,123.332,2015-07-13 08:00:00,123.332,120.30229558088558,129.3914088382288,2015-08-21 12:00:00,122.107,max_hold,180,3.0297044191144096,-0.40432987200713955,-0.4076305240235214,123.332,122.27658141401913,122.36983075426477,122.63965102075079,1.2862323397301356,66.50661005613065,23.794641222737937,7.1589234875280905,0.9686385947817227,122.877,123.718,True,False,1.1582514577928082,90.07936507936508,0.7824019024970176,0.9881093935790664,2.6386601563015053
USDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-07-13 04:00:00,long,rebreak,2423,2437,2446,122.928,120.414,5.626456007584362,14,0.4018897148274544,9,0.6428571428571429,16,1.1607000795544937,0.618,0.8,123.332,2015-07-13 08:00:00,123.332,120.30229558088558,129.3914088382288,2015-08-21 12:00:00,122.107,max_hold,180,3.0297044191144096,-0.40432987200713955,-0.4076305240235214,123.332,122.27658141401913,122.36983075426477,122.63965102075079,1.2862323397301356,66.50661005613065,23.794641222737937,7.1589234875280905,0.9686385947817227,122.877,123.718,True,False,1.1582514577928082,90.07936507936508,0.7824019024970176,0.9881093935790664,2.6386601563015053
AUDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-07-14 12:00:00,long,stagnation+rebreak,2424,2439,2445,92.416,89.162,6.608258713404545,15,0.44055058089363636,6,0.4,22,0.8454210202827285,0.618,0.8,91.913,2015-07-14 16:00:00,91.912,89.03889646618256,97.66120706763486,2015-08-23 20:00:00,89.03889646618256,SL,175,2.873103533817442,-1.0,-1.0043506959818396,91.913,91.37842115731446,91.73071566224934,93.59416927031468,0.7779447561988938,59.090674920241554,19.701601772893248,3.6356450829391567,0.8586105290524465,91.876,94.433,True,False,0.9078119871094379,84.52380952380952,0.6791277258567131,0.7383177570093342,1.36673574496659
AUDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-07-14 12:00:00,long,stagnation+rebreak,2424,2439,2445,92.416,89.162,6.608258713404545,15,0.44055058089363636,6,0.4,22,0.8454210202827285,0.618,0.8,91.913,2015-07-14 16:00:00,91.912,89.03889646618256,97.66120706763486,2015-08-23 20:00:00,89.03889646618256,SL,175,2.873103533817442,-1.0,-1.0043506959818396,91.913,91.37842115731446,91.73071566224934,93.59416927031468,0.7779447561988938,59.090674920241554,19.701601772893248,3.6356450829391567,0.8586105290524465,91.876,94.433,True,False,0.9078119871094379,84.52380952380952,0.6791277258567131,0.7383177570093342,1.36673574496659
XAUUSD,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-07-27 04:00:00,long,stagnation+rebreak,2483,2488,2492,1105.873,1077.219,3.782627603358024,5,0.7565255206716048,4,0.8,8,0.9279681719829664,0.618,0.8,1103.809,2015-07-27 08:00:00,1103.801,1075.3252106157,1160.7765787686,2015-08-21 00:00:00,1160.7765787686,TP,115,28.475789384300015,2.00084282123583,1.9885516782133612,1103.809,1096.860834583143,1111.1267229690397,1149.4701684213599,-0.717125531446779,53.72269790435295,52.44482505243374,3.699599048682231,0.8689075172555392,1105.873,1159.738,False,False,1.1513992255359844,91.26984126984127,0.7048845043310871,0.8565928777670812,2.7316923639382824
XAUUSD,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-07-27 04:00:00,long,stagnation+rebreak,2483,2488,2492,1105.873,1077.219,3.782627603358024,5,0.7565255206716048,4,0.8,8,0.9279681719829664,0.618,0.8,1103.809,2015-07-27 08:00:00,1103.801,1075.3252106157,1160.7765787686,2015-08-21 00:00:00,1160.7765787686,TP,115,28.475789384300015,2.00084282123583,1.9885516782133612,1103.809,1096.860834583143,1111.1267229690397,1149.4701684213599,-0.717125531446779,53.72269790435295,52.44482505243374,3.699599048682231,0.8689075172555392,1105.873,1159.738,False,False,1.1513992255359844,91.26984126984127,0.7048845043310871,0.8565928777670812,2.7316923639382824
EURJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-08-12 00:00:00,long,rebreak,2483,2500,2511,137.3,134.98,5.581057182443048,17,0.32829748132017933,11,0.6470588235294118,28,1.5086206896551584,0.618,0.8,138.48,2015-08-12 04:00:00,138.49,134.8760770368337,145.68784592633259,2015-09-01 08:00:00,134.8760770368337,SL,85,3.613922963166317,-1.0,-1.0034588451738984,138.48,137.19644544476765,136.59150519991198,136.22091436116412,2.4577290067709527,77.61340918957909,27.342873429563596,7.595044112546584,0.9732044109274429,138.33,138.33,True,True,1.057741132012338,32.142857142857146,0.7708333333333001,0.9583333333333112,2.357515533962965
EURJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-08-12 00:00:00,long,rebreak,2483,2500,2511,137.3,134.98,5.581057182443048,17,0.32829748132017933,11,0.6470588235294118,28,1.5086206896551584,0.618,0.8,138.48,2015-08-12 04:00:00,138.49,134.8760770368337,145.68784592633259,2015-09-01 08:00:00,134.8760770368337,SL,85,3.613922963166317,-1.0,-1.0034588451738984,138.48,137.19644544476765,136.59150519991198,136.22091436116412,2.4577290067709527,77.61340918957909,27.342873429563596,7.595044112546584,0.9732044109274429,138.33,138.33,True,True,1.057741132012338,32.142857142857146,0.7708333333333001,0.9583333333333112,2.357515533962965
SILVER,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-08-20 12:00:00,long,rebreak,2583,2596,2604,15.609,14.719,6.373214145874674,13,0.4902472419903596,8,0.6153846153846154,12,0.8955056179775281,0.618,0.8,15.516,2015-08-20 16:00:00,15.516,14.684088259250785,17.17982348149843,2015-08-24 12:00:00,14.684088259250785,SL,12,0.8319117407492147,-1.0,-1.0420717707006748,15.516,15.23022361592373,15.167914258992047,15.151877313338908,0.5047305453096067,66.90209108695572,23.816005824953738,6.064470891339898,0.9041280969380638,15.449,15.609,True,False,0.9965157471736588,63.095238095238095,0.6748768472906387,0.6748768472906387,2.3989064481663145
SILVER,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-08-20 12:00:00,long,rebreak,2583,2596,2604,15.609,14.719,6.373214145874674,13,0.4902472419903596,8,0.6153846153846154,12,0.8955056179775281,0.618,0.8,15.516,2015-08-20 16:00:00,15.516,14.684088259250785,17.17982348149843,2015-08-24 12:00:00,14.684088259250785,SL,12,0.8319117407492147,-1.0,-1.0420717707006748,15.516,15.23022361592373,15.167914258992047,15.151877313338908,0.5047305453096067,66.90209108695572,23.816005824953738,6.064470891339898,0.9041280969380638,15.449,15.609,True,False,0.9965157471736588,63.095238095238095,0.6748768472906387,0.6748768472906387,2.3989064481663145
USDJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-09-09 00:00:00,long,rebreak,2687,2696,2707,120.697,118.59,4.648755776048202,9,0.5165284195609114,11,1.2222222222222223,16,0.8319886093972476,0.618,0.8,120.343,2015-09-09 04:00:00,120.345,118.47669011120912,124.07561977758176,2015-10-15 04:00:00,118.47669011120912,SL,161,1.8683098887908756,-1.0,-1.0053524311250435,120.343,119.75137008530967,120.07649444984608,121.81350942949813,0.26883517345863717,58.733304703093545,15.15318057706484,3.736116178231599,1.0153081739824215,120.227,121.739,True,False,0.8625391013382782,72.61904761904762,0.6259740259740167,0.7064935064935116,1.7584519950215496
USDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-09-09 00:00:00,long,rebreak,2687,2696,2707,120.697,118.59,4.648755776048202,9,0.5165284195609114,11,1.2222222222222223,16,0.8319886093972476,0.618,0.8,120.343,2015-09-09 04:00:00,120.345,118.47669011120912,124.07561977758176,2015-10-15 04:00:00,118.47669011120912,SL,161,1.8683098887908756,-1.0,-1.0053524311250435,120.343,119.75137008530967,120.07649444984608,121.81350942949813,0.26883517345863717,58.733304703093545,15.15318057706484,3.736116178231599,1.0153081739824215,120.227,121.739,True,False,0.8625391013382782,72.61904761904762,0.6259740259740167,0.7064935064935116,1.7584519950215496
EURJPY,H4,T4_REBREAK_ONLY,V候補後トリガー,2015-09-11 12:00:00,long,rebreak,2618,2633,2647,135.77,132.21,6.984548933191168,15,0.46563659554607784,14,0.9333333333333333,30,1.294943820224714,0.618,0.8,136.82,2015-09-11 16:00:00,136.81,132.08257588020172,146.29484823959655,2015-10-23 16:00:00,133.71,max_hold,180,4.727424119798286,-0.6557482302079273,-0.6583923762974729,136.82,135.3879040721896,135.06326955074988,135.9198862711602,2.1696435644206797,74.36074285361335,36.342774234535966,6.540982338561698,0.974367127811882,136.44,136.44,True,True,1.0188142489011731,76.19047619047619,1.0,1.0,2.1777666617533957
EURJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-09-11 12:00:00,long,rebreak,2618,2633,2647,135.77,132.21,6.984548933191168,15,0.46563659554607784,14,0.9333333333333333,30,1.294943820224714,0.618,0.8,136.82,2015-09-11 16:00:00,136.81,132.08257588020172,146.29484823959655,2015-10-23 16:00:00,133.71,max_hold,180,4.727424119798286,-0.6557482302079273,-0.6583923762974729,136.82,135.3879040721896,135.06326955074988,135.9198862711602,2.1696435644206797,74.36074285361335,36.342774234535966,6.540982338561698,0.974367127811882,136.44,136.44,True,True,1.0188142489011731,76.19047619047619,1.0,1.0,2.1777666617533957
AUDJPY,H4,T5_STAG_OR_REBREAK,V候補後トリガー,2015-09-13 20:00:00,long,stagnation,2686,2697,2709,85.144,82.115,5.548013059664845,11,0.504364823605895,12,1.0909090909090908,33,1.1987454605480314,0.618,0.8,85.746,2015-09-14 00:00:00,85.745,81.97850969403706,93.28098061192587,2015-10-23 04:00:00,87.496,max_hold,180,3.7664903059629466,0.46488902340406457,0.4615702839451579,85.746,85.00757946647899,84.82462868280909,87.47799165142722,1.2424069790878376,63.065693424192915,24.469039770121988,3.6909263589329404,0.828841805027929,85.904,86.458,False,False,0.8788329318048472,64.68253968253968,0.8439425051334575,0.9342915811088088,1.8078206965629688
