trade_id,lane_id,symbol,period,strategy,d1_low_trap_source,d1_low_trap_signal_time,d1_low_trap_age_days,signal_time,entry_time,entry,signal_close,stop,target,shelf_high,shelf_low,exit_time,exit_reason,r_after_cost,param_rr,param_target_basis,tv_signal_time,tv_entry_time,tv_match,tv_notes
4,B07_DTS_TRAP_SHELF,GBPJPY,Research_2015_2024,selected_CURRENT_A30_180_SIGADX30,CLOSEFAIL_L120_W6_BODY_RR15,2016-07-11,41.166666666666664,2016-08-24 08:00:00,2016-08-24 12:00:00,132.57,132.58,131.73655837032155,133.82016244451768,132.42,131.85,2016-08-26 16:00:00,TP,1.4760031185295075,1.5,entry,,,,
6,B07_DTS_TRAP_SHELF,GBPJPY,Research_2015_2024,selected_CURRENT_A30_180_SIGADX30,CLOSEFAIL_L120_W6_BODY_RR15,2024-08-08,56.666666666666664,2024-10-09 08:00:00,2024-10-09 12:00:00,194.92,194.93,193.3369551668224,197.29456724976637,194.55,193.53,2024-10-23 00:00:00,TP,1.4873661190253074,1.5,entry,,,,
