axis,bucket,trades,win_rate,total_r,avg_r,pf
direction,long,85,40.0,-7.128093747026633,-0.08385992643560745,0.86589803367152
direction,short,70,34.285714285714285,-12.26711148393709,-0.17524444977052986,0.7353916132788372
h4,H4中立,11,54.54545454545454,3.2434009447261505,0.29485463133874096,1.611283855048226
h4,H4逆,62,32.25806451612903,-14.919149452992116,-0.2406314427901954,0.6532449439827449
h4,H4順,82,39.02439024390244,-7.719456722697754,-0.09413971613046042,0.8491788614891501
sample,IS_2014_2024,146,38.35616438356164,-15.61323570789903,-0.10693997060204814,0.8317875509150684
sample,OOS_2025_2026,9,22.22222222222222,-3.781969523064692,-0.4202188358960769,0.43512458434649454
