family,signal_i,signal_time,direction,lookback,pre_bars,move_atr,trigger_atr,wick_ratio,close_location,range_atr,body_ratio,h4_align,h4_oppose,h4_context,entry_hour,stop,entry_i,entry_time,entry,target,exit_i,exit_time,exit,exit_reason,bars_held,risk,rr,max_hold,r_after_cost,sample,year
breakout,674,2014-02-11 00:00:00,long,24,6,1.5096559245841081,0.3069424908905865,0.2850356294536881,0.7149643705463119,2.637199768671868,0.6674584323040418,True,False,H4順,1,113.84007219498491,675,2014-02-11 01:00:00,114.173,114.67239170752264,699,2014-02-12 01:00:00,114.171,TIME,24,0.332927805015089,1.5,24,-0.06608039241122707,IS_2014_2024,2014
breakout,793,2014-02-17 23:00:00,long,24,6,1.5659277674511365,0.5814088245487166,0.3950617283950379,0.604938271604962,1.2558430610251177,0.5555555555556043,True,False,H4順,0,114.32920059798431,794,2014-02-18 00:00:00,114.452,114.63619910302353,795,2014-02-18 01:00:00,114.32920059798431,SL,1,0.12279940201568706,1.5,24,-1.162867242606404,IS_2014_2024,2014
breakout,797,2014-02-18 03:00:00,long,24,6,2.5154406719652713,1.1863213649442912,0.09695290858724895,0.9030470914127511,3.9653890068972,0.6468144044321364,True,False,H4順,4,114.07958490938749,798,2014-02-18 04:00:00,114.768,115.80062263591876,822,2014-02-19 04:00:00,115.212,TIME,24,0.6884150906125086,1.5,24,0.6159074746934204,IS_2014_2024,2014
breakout,834,2014-02-19 16:00:00,long,24,6,3.1798072043760497,0.08320990815195661,0.18050541516244395,0.8194945848375561,1.6463674684339713,0.8194945848375561,True,False,H4順,17,115.08235016115042,835,2014-02-19 17:00:00,115.343,115.73397475827439,837,2014-02-19 19:00:00,115.08235016115042,SL,2,0.2606498388495879,1.5,24,-1.0767312962412823,IS_2014_2024,2014
breakout,880,2014-02-21 14:00:00,long,24,6,2.941875413144814,0.777851804153569,0.35699373695196773,0.6430062630480322,2.388403937112467,0.6033402922755782,True,False,H4順,15,115.26288953187047,881,2014-02-21 15:00:00,115.608,116.12566570219431,893,2014-02-24 03:00:00,115.26288953187047,SL,12,0.3451104681295334,1.5,24,-1.0579524582618671,IS_2014_2024,2014
breakout,978,2014-02-27 16:00:00,long,24,6,3.680477638046202,0.09921698382409952,0.017910447761195044,0.982089552238805,1.5827471229081649,0.9582089552238924,True,False,H4順,17,114.7256685378035,979,2014-02-27 17:00:00,115.095,115.64899719329475,986,2014-02-28 00:00:00,114.7256685378035,SL,7,0.3693314621964987,1.5,24,-1.054151898896091,IS_2014_2024,2014
breakout,999,2014-02-28 13:00:00,long,24,6,5.150998938463803,0.39110977400293606,0.06557377049176699,0.934426229508233,1.0152211154968924,0.8155737704918543,True,False,H4順,14,115.52593165384852,1000,2014-02-28 14:00:00,115.803,116.21860251922722,1008,2014-03-02 22:00:00,115.52593165384852,SL,8,0.2770683461514807,1.5,24,-1.0721843555130461,IS_2014_2024,2014
breakout,1066,2014-03-05 08:00:00,long,24,6,2.230059708085344,0.48032055251073597,0.0769230769230623,0.9230769230769377,2.0516549314385437,0.7625418060200789,True,False,H4順,9,115.16285279835138,1067,2014-03-05 09:00:00,115.464,115.91572080247292,1091,2014-03-06 09:00:00,115.659,TIME,24,0.3011472016486181,1.5,24,0.5811111610599958,IS_2014_2024,2014
breakout,1093,2014-03-06 11:00:00,long,24,6,2.1772931388551022,0.432711254725153,0.18954248366009976,0.8104575163399003,1.0508701900468,0.5294117647058824,True,False,H4順,12,115.67488127507104,1094,2014-03-06 12:00:00,115.831,116.06517808739343,1094,2014-03-06 12:00:00,115.67488127507104,SL,0,0.15611872492895884,1.5,24,-1.1281076309655433,IS_2014_2024,2014
breakout,1095,2014-03-06 13:00:00,long,24,6,4.450970843414213,2.8980870602930127,0.04855491329479902,0.951445086705201,4.082809946504014,0.8578034682080886,True,False,H4順,14,115.76962722187248,1096,2014-03-06 14:00:00,116.636,117.93555916719126,1120,2014-03-07 14:00:00,117.638,TIME,24,0.8663727781275128,1.5,24,1.1334612822466457,IS_2014_2024,2014
breakout,1207,2014-03-13 04:00:00,long,24,6,1.5712966021482413,0.9327617279684659,0.17187499999996936,0.8281250000000306,2.403895996912007,0.8020833333333507,True,False,H4順,5,117.42205186243554,1208,2014-03-13 05:00:00,117.773,118.29942220634669,1217,2014-03-13 14:00:00,117.42205186243554,SL,9,0.3509481375644583,1.5,24,-1.0569884773824647,IS_2014_2024,2014
breakout,1264,2014-03-17 13:00:00,long,24,6,2.433590953140383,0.1882335543865588,0.25875486381324353,0.7412451361867565,2.303620165587844,0.6712062256809186,True,False,H4順,14,116.2463745875576,1265,2014-03-17 14:00:00,116.672,117.3104381186636,1283,2014-03-18 08:00:00,116.2463745875576,SL,18,0.4256254124424004,1.5,24,-1.04698967546426,IS_2014_2024,2014
breakout,1500,2014-03-31 09:00:00,long,24,6,3.736811435597094,1.6712372752167812,0.0477489768076543,0.9522510231923457,3.4410587717245122,0.6534788540245519,True,False,H4順,10,115.97839683343841,1501,2014-03-31 10:00:00,116.719,117.82990474984237,1525,2014-04-01 10:00:00,117.074,TIME,24,0.7406031665615842,1.5,24,0.45233400979813004,IS_2014_2024,2014
breakout,1540,2014-04-02 01:00:00,long,24,6,2.1128890295035285,1.3817855590871282,0.08203125000000304,0.917968749999997,1.8716248842660936,0.7773437500000473,True,False,H4順,2,117.39964409100862,1541,2014-04-02 02:00:00,117.662,118.05553386348709,1547,2014-04-02 08:00:00,117.39964409100862,SL,6,0.26235590899138117,1.5,24,-1.0762323214937282,IS_2014_2024,2014
breakout,2075,2014-05-02 08:00:00,long,24,6,1.772293377552577,0.11288492850658365,0.035971223021551105,0.9640287769784489,1.5691005062406624,0.7266187050359867,True,False,H4順,9,116.34628284301138,2076,2014-05-02 09:00:00,116.498,116.72557573548295,2079,2014-05-02 12:00:00,116.72557573548295,TP,3,0.15171715698862442,1.5,24,1.3681757528484224,IS_2014_2024,2014
breakout,2122,2014-05-06 07:00:00,long,24,6,2.484978587446594,1.9172493970562314,0.2700587084148778,0.7299412915851222,4.75589534900844,0.6790606653620107,True,False,H4順,8,116.21551088123263,2123,2014-05-06 08:00:00,116.612,117.20673367815104,2130,2014-05-06 15:00:00,116.21551088123263,SL,7,0.3964891187673629,1.5,24,-1.050442746227659,IS_2014_2024,2014
breakout,2629,2014-06-04 10:00:00,long,24,6,1.415430809938359,0.22218972016475463,0.24774774774772093,0.7522522522522791,1.8268932546878656,0.6396396396396379,True,False,H4順,11,114.34769644538012,2630,2014-06-04 11:00:00,114.539,114.82595533192982,2643,2014-06-05 00:00:00,114.34769644538012,SL,13,0.19130355461987847,1.5,24,-1.1045458880246652,IS_2014_2024,2014
breakout,2660,2014-06-05 17:00:00,long,24,6,3.545651170187574,0.5115616116191,0.21008403361343383,0.7899159663865661,1.0495833065978095,0.6428571428571684,True,False,H4順,18,114.66664866895198,2661,2014-06-05 18:00:00,114.9,115.25002699657205,2674,2014-06-06 07:00:00,114.66664866895198,SL,13,0.23335133104802708,1.5,24,-1.0857076748188506,IS_2014_2024,2014
