symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_i,entry_time,entry,target_model,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2049,2014-05-01 06:00:00,long,116.331,115.657,116.474,115.95,6.515715033125539,0.6413708690330432,0.7270992366412206,6,6,1.0,9,116.259,116.068,1.5232577372423293,0.5742123407405781,0.9052132701421984,True,1,0,H4順,115.92492216906828,2025-2031-2037,2050,2014-05-01 07:00:00,116.328,fixed_1_5R,116.93261674639758,1.5,2122,2014-05-06 07:00:00,116.61,time_exit,72,0.4030778309317213,0.6996167448558226,0.6499985360007737,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2932,2014-06-23 01:00:00,short,113.884,114.137,113.806,114.068,3.6384582096936944,0.7915407854984835,0.7022900763358672,4,5,1.25,4,114.068,113.921,1.6158711686553977,0.4067158723827425,0.6875000000000159,True,0,1,H4逆,114.08619451981713,2916-2920-2925,2933,2014-06-23 02:00:00,113.887,fixed_1_5R,113.58820822027434,1.4999999999999645,2939,2014-06-23 08:00:00,113.58820822027434,TP,6,0.1991945198171123,1.4999999999999645,1.399595631353814,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2955,2014-06-24 00:00:00,short,113.836,114.068,113.588,114.006,5.903404126648807,0.8708333333333393,0.4066985645932993,14,12,0.8571428571428571,1,114.006,113.848,1.9432038583552316,0.1475851031662245,0.5465116279069517,True,0,0,H4中立,114.02226180385765,2925-2939-2951,2956,2014-06-24 01:00:00,113.836,fixed_1_5R,113.55660729421352,1.4999999999999618,2961,2014-06-24 06:00:00,114.02226180385765,SL,5,0.1862618038576471,-1.0,-1.10737574524563,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,3027,2014-06-27 00:00:00,short,113.687,114.057,113.397,113.86,6.483334414235874,0.7015151515151459,0.3736501079913695,8,7,0.875,1,113.86,113.738,1.1984345432375454,0.5009849320091573,0.4416666666666795,True,1,0,H4順,113.88035989377784,3008-3016-3023,3028,2014-06-27 01:00:00,113.687,fixed_1_5R,113.39696015933325,1.4999999999999634,3047,2014-06-27 20:00:00,113.88035989377784,SL,19,0.1933598937778384,-1.0,-1.1034340659236672,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,3195,2014-07-08 00:00:00,short,113.911,114.117,113.859,114.049,3.555324936383202,0.7364341085271502,0.7263157894736662,7,3,0.4285714285714285,4,114.049,113.936,1.557177200818934,0.3445082302697553,0.4666666666666272,True,1,0,H4順,114.06351344136564,3178-3185-3188,3196,2014-07-08 01:00:00,113.911,fixed_1_5R,113.68222983795154,1.5,3208,2014-07-08 13:00:00,113.68222983795154,TP,12,0.1525134413656417,1.5,1.368864017355287,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,3679,2014-08-05 04:00:00,short,113.056,113.344,112.976,113.172,5.312471882678775,0.5326086956521756,0.591836734693882,9,10,1.1111111111111112,0,113.172,113.067,1.5157868143513589,0.1587967138843597,0.8641975308644076,True,0,0,H4中立,113.18585419097276,3657-3666-3676,3680,2014-08-05 05:00:00,113.057,fixed_1_5R,112.86371871354088,1.499999999999945,3683,2014-08-05 08:00:00,112.86371871354088,TP,3,0.1288541909727456,1.499999999999945,1.344785801307405,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,3871,2014-08-15 04:00:00,long,113.085,112.83,113.291,112.971,6.150385892722402,0.694143167028187,0.3562499999999767,5,11,2.2,1,113.057,112.971,1.1473604919178289,0.3735592299266291,0.4210526315788588,True,1,0,H4順,112.9560090707139,3851-3856-3867,3872,2014-08-15 05:00:00,113.085,fixed_1_5R,113.27848639392911,1.5,3875,2014-08-15 08:00:00,113.27848639392911,TP,3,0.1289909292860898,1.5,1.3449503378981629,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,4036,2014-08-26 01:00:00,short,113.525,113.829,113.414,113.718,4.739547869404828,0.7325301204819467,0.6348684210526202,7,4,0.5714285714285714,8,113.677,113.559,1.3476304785296966,0.3883003073728396,0.3216783216782661,True,0,1,H4逆,113.73551221894724,4014-4021-4025,4037,2014-08-26 02:00:00,113.527,fixed_1_5R,113.21423167157911,1.5,4093,2014-08-28 10:00:00,113.21423167157911,TP,56,0.2085122189472485,1.5,1.4040823597725465,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,4154,2014-09-01 23:00:00,long,113.487,113.231,113.557,113.376,4.638750406216761,0.5552147239263594,0.6132596685082409,20,6,0.3,3,113.471,113.376,1.3517830938361248,0.2276687315933291,0.5774647887323662,True,1,0,H4順,113.36194449058682,4122-4142-4148,4155,2014-09-02 00:00:00,113.492,fixed_1_5R,113.68708326411978,1.5,4156,2014-09-02 01:00:00,113.68708326411978,TP,1,0.1300555094131823,1.5,1.3462195097289509,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,4399,2014-09-16 04:00:00,long,114.679,114.433,114.703,114.476,2.7441052011785665,0.8407407407407674,0.8942731277533018,4,7,1.75,2,114.657,114.476,1.839566820049336,0.2235937571331283,0.8108108108108627,True,1,0,H4順,114.45632145415678,4383-4387-4394,4400,2014-09-16 05:00:00,114.68,fixed_1_5R,115.01551781876483,1.5,4433,2014-09-17 14:00:00,115.01551781876483,TP,33,0.223678545843228,1.5,1.4105859709315711,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,4968,2014-10-19 21:00:00,long,113.071,112.435,113.226,112.675,3.66740384081426,0.6965865992414717,0.7186932849364781,2,4,2.0,5,113.02,112.675,1.5995629899885215,0.2364571376504868,0.7398373983741078,True,0,1,H4逆,112.6318632179965,4954-4956-4960,4969,2014-10-19 22:00:00,113.07,fixed_1_5R,113.72720517300525,1.5000000000000162,5008,2014-10-21 13:00:00,112.6318632179965,SL,39,0.4381367820034967,-1.0,-1.0456478451970066,IS_2014_2024,2014
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,6523,2015-01-21 03:00:00,short,134.86,136.371,134.746,135.956,2.882136025267183,0.744615384615372,0.905785123966937,3,7,2.3333333333333335,1,135.956,135.104,1.511126088324658,0.4327638093324258,0.7424058323207587,True,0,1,H4逆,136.06876358823828,6509-6512-6519,6524,2015-01-21 04:00:00,134.861,fixed_1_5R,133.04935461764256,1.4999999999999882,6529,2015-01-21 09:00:00,136.06876358823828,SL,5,1.2077635882382936,-1.0,-1.0165595321756262,IS_2014_2024,2015
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,6863,2015-02-10 07:00:00,long,128.651,127.815,129.018,128.032,4.203364784290578,0.8196176226101309,0.6277890466531502,6,7,1.1666666666666667,3,128.468,128.032,1.5234140032839547,0.6394145931215817,0.6806722689075901,True,1,0,H4順,127.97476014280294,6844-6850-6857,6864,2015-02-10 08:00:00,128.651,fixed_1_5R,129.66535978579563,1.5000000000000104,6889,2015-02-11 09:00:00,129.66535978579563,TP,25,0.6762398571970749,1.5000000000000104,1.4704246950440454,IS_2014_2024,2015
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,7415,2015-03-13 06:00:00,short,120.688,121.188,120.473,121.106,2.974929847432829,0.8853146853146749,0.6603475513428042,2,3,1.5,7,121.047,120.796,1.0443460023854665,0.4493600328989597,0.5812807881773068,True,1,0,H4順,121.15406836037609,7400-7402-7405,7416,2015-03-13 07:00:00,120.689,fixed_1_5R,119.99139745943586,1.499999999999985,7488,2015-03-18 07:00:00,120.792,time_exit,72,0.4650683603760939,-0.2214728172794082,-0.2644772478191176,IS_2014_2024,2015
CHFJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,7697,2015-03-31 00:00:00,long,124.268,123.466,124.59,123.902,4.759888618335413,0.6120996441281109,0.5319767441860441,5,4,0.8,5,124.233,123.902,1.4017109721254657,0.1482171722791119,0.6666666666666666,True,1,0,H4順,123.85477200413176,7680-7685-7689,7698,2015-03-31 01:00:00,124.269,fixed_1_5R,124.89034199380237,1.499999999999983,7702,2015-03-31 05:00:00,123.85477200413176,SL,4,0.4142279958682451,-1.0,-1.0482825888146192,IS_2014_2024,2015
