recovery_bars_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
<=8,by_recovery_bars_bucket_<=8,8,62.5,6.86809610183939,0.8585120127299237,3.2711646313167275,2.015397725147129,2
9-12,by_recovery_bars_bucket_9-12,20,65.0,17.235282934571575,0.8617641467285788,4.200088157624778,2.294045749698876,4
13-16,by_recovery_bars_bucket_13-16,7,71.42857142857143,7.938694735161211,1.134099247880173,4.945471174548386,1.0072534745502764,1
>16,by_recovery_bars_bucket_>16,0,0.0,0.0,,,0.0,0
