trigger_type,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
rebreak,by_trigger_rebreak,20,60.0,14.24756982220528,0.712378491110264,3.245689236553416,2.012103088313629,2
stagnation,by_trigger_stagnation,9,66.66666666666666,8.847781316472553,0.9830868129413948,3.880376614945554,1.0095537465510678,2
stagnation+rebreak,by_trigger_stagnation+rebreak,6,83.33333333333334,8.946722632894344,1.491120438815724,9.894520206599696,1.0058690547755362,1
