bb_pos_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
<=0.85,by_bb_pos_bucket_<=0.85,12,58.333333333333336,5.6114532618671245,0.4676211051555937,2.1037624360344354,2.0507439698431433,3
0.85-0.90,by_bb_pos_bucket_0.85-0.90,10,60.0,7.905234415125614,0.7905234415125614,2.9610293928511195,2.021278595446491,2
0.90-0.95,by_bb_pos_bucket_0.90-0.95,13,76.92307692307693,18.525386094579442,1.425029699583034,15.174796025655029,1.0048496137633531,1
>0.95,by_bb_pos_bucket_>0.95,0,0.0,0.0,,,0.0,0
