fib_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
<=0.85,by_fib_bucket_<=0.85,17,70.58823529411765,17.343551362128125,1.0202089036545956,4.410044687562941,1.011724848895423,2
0.85-0.92,by_fib_bucket_0.85-0.92,7,57.14285714285714,3.138485586938256,0.4483550838483223,2.04070472655741,1.0058690547755362,2
0.92-1.00,by_fib_bucket_0.92-1.00,6,50.0,4.631476067626949,0.7719126779378248,4.533539825721862,1.310718513461438,3
>1.00,by_fib_bucket_>1.00,5,80.0,6.92856075487885,1.38571215097577,7.86299345482977,1.0095537465510678,1
