feature,win_mean,loss_mean,win_median,loss_median,win_q25,loss_q25,win_q75,loss_q75
bb_pos,0.8745220069779335,0.8541927901196676,0.8878838901609288,0.8668476766424495,0.8459194262897852,0.7935034834070678,0.9096043884545313,0.9031978958984723
bb_width_atr,3.88042879292441,4.533635010853225,3.699599048682231,4.4637237143930015,3.3047033607611933,3.9140514954509404,4.634377870115735,5.013539605510299
macd_hist_slope3,0.2386688206932284,0.12225058985514166,0.0403118901991127,0.0630341800144531,0.03063668018382585,0.03384911187151572,0.1609481622767574,0.0825315907993136
signal_recovery_bars,10.782608695652174,10.416666666666666,10.0,10.5,9.0,8.75,12.0,11.25
signal_fib_ratio,0.9077803456524586,0.8943526315243457,0.8462221095334592,0.8605368692793658,0.8086649466282155,0.8396823235062785,0.9405465859914823,0.9300280013024708
v_move_atr,4.456157180279272,4.818639143964663,4.299324757083199,4.796668785240465,3.880410909480272,4.387090818203402,5.039614044655338,5.35336078501701
v_move_bars,7.521739130434782,8.666666666666666,7.0,8.0,5.0,6.75,9.0,10.5
v_drop_speed_atr_per_bar,0.6659309637289554,0.6161884043686433,0.658013834759734,0.679919236899345,0.5319458751948273,0.40850403190698076,0.7456704012776586,0.7400670764103332
body_ratio,0.7646152881471653,0.786372533633911,0.7663934426229417,0.7778398790121899,0.6506227758006682,0.7264700933642396,0.8743047212982603,0.8468567251462424
close_location,0.864439755261892,0.8775148612904138,0.8907435508345923,0.8686773381919147,0.799675113710206,0.8476172740514368,0.9599761249700357,0.9180136133215251
adx14,21.665201650188425,22.45983755381617,16.778684895870295,21.12209317274445,15.254528010858138,18.515873136070898,22.429132055198636,25.5212484852688
ema20_slope_10_atr,0.18752146417296,0.23799764220598127,0.2092971095636995,0.1748205544814732,-0.32728215871199073,-0.08691415178269844,0.6022839608607125,0.6246677443748686
atr_ratio_50,0.9721129950651989,1.030254011688239,0.941686423429238,0.9950361961432601,0.903230632921936,0.9349592583774777,1.043423117990166,1.1272475129696513
range5_atr,2.227283815320324,2.095604487992983,2.181746891654162,1.899176141715336,1.7667454541522067,1.7629626583783151,2.5096162219216627,2.4162542983864235
chop14,48.136944709908114,46.138278007209415,48.33089378037672,45.953146681674,43.31786940342587,42.813738682997624,53.59782599037225,47.77431006703564
