close_loc_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
<=0.55,by_close_loc_bucket_<=0.55,0,0.0,0.0,,,0.0,0
0.55-0.70,by_close_loc_bucket_0.55-0.70,3,100.0,5.9485644671847115,1.9828548223949038,inf,0.0,0
0.70-0.85,by_close_loc_bucket_0.70-0.85,9,55.55555555555556,4.425945078831186,0.4917716754256873,2.0864148839228682,3.019915295567072,3
>0.85,by_close_loc_bucket_>0.85,23,65.21739130434783,21.667564225556276,0.9420680098067946,4.413223967412316,3.3760301462410514,4
