macd_slope_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
<=0.03,by_macd_slope_bucket_<=0.03,7,71.42857142857143,7.883519854608778,1.1262171220869683,4.820390004421691,1.0095537465510678,1
0.03-0.06,by_macd_slope_bucket_0.03-0.06,15,73.33333333333333,17.343392151671043,1.1562261434447363,6.685090737330986,1.0338295170054188,2
0.06-0.10,by_macd_slope_bucket_0.06-0.10,4,25.0,-1.0342435489348,-0.2585608872337,0.6571450124143463,2.0107186685388894,3
>0.10,by_macd_slope_bucket_>0.10,9,66.66666666666666,7.849405314227155,0.8721561460252395,4.425830499325849,2.0112715192147905,2
