period,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
OOS_2025_2026,by_period_OOS_2025_2026,5,100.0,6.7074969235829585,1.3414993847165917,inf,0.0,0
Research_2015_2024,by_period_Research_2015_2024,30,60.0,25.334576847989222,0.8444858949329741,3.4308696078483205,4.353873957051221,5
