symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr50,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,stoch_k14,stoch_d3,cci20,roc10,williams_r14,chop14,aroon_up25,aroon_down25,ichi_tenkan,ichi_kijun,ichi_cloud_top,ichi_cloud_bottom,kc_mid,kc_pos,bb_kc_width_ratio,period,max_recovery_to_drop,month,candidate,result,bb_pos_bucket,bb_width_bucket,macd_slope_bucket,recovery_bars_bucket,fib_bucket,adx_bucket,close_loc_bucket
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2015-07-27 04:00:00,long,stagnation+rebreak,2483,2488,2492,1105.873,1077.219,3.782627603358024,5,0.7565255206716048,4,0.8,8,0.9279681719829664,0.618,0.8,1103.809,2015-07-27 08:00:00,1103.801,1075.3252106157,1160.7765787686,2015-08-21 00:00:00,1160.7765787686,TP,115,28.475789384300015,2.00084282123583,1.9885516782133612,1097.95,1105.001,1096.689,1103.809,7.575157537200446,0.7048845043310871,1096.860834583143,1111.1267229690395,1149.47016842136,-0.717125531446779,53.72269790435295,52.44482505243374,3.699599048682231,0.8689075172555392,1105.873,1159.738,False,False,6.57908861600472,1.1513992255359844,91.26984126984128,0.8565928777670812,2.7316923639382824,-3.965918223497738,-6.913789949751202,2.9478717262534637,0.975073120891107,92.79681719829664,78.43000395523586,61.33181559750836,1.4111823337611409,-7.203182801703352,51.47291165483722,4.0,68.0,1091.11,1093.549,1113.59,1092.3295,1096.860834583143,0.7293076210869393,0.9248997621705578,Research_2015_2024,1.2,2015-07,Strict_075_100_width7,win,0.85-0.90,<=4,>0.10,<=8,0.92-1.00,>32,>0.85
SILVER,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2015-10-12 04:00:00,long,stagnation,2820,2825,2829,16.11,15.385,4.607562565680536,5,0.9215125131361072,4,0.8,11,0.8427586206896565,0.618,0.8,15.996,2015-10-12 08:00:00,15.994,15.345662498356496,17.296675003287007,2015-11-02 12:00:00,15.345662498356496,SL,94,0.6483375016435033,-1.0,-1.0539842287562833,15.798,16.035,15.788,15.996,0.157350006574011,0.8016194331983826,15.779599814960113,15.514998399512567,15.081711971752124,0.756269572677173,65.13860478449236,22.272725429586117,3.2275800384302165,0.8325721387401661,16.11,16.11,False,False,0.1498138773327667,1.0503032788111153,77.38095238095238,0.8421052631578959,1.7159198520465424,0.1071500770162181,0.1267470530494447,-0.0195969760332265,0.0101448227521133,94.00000000000004,72.6802684240618,53.117618119476845,1.982786101370726,-5.999999999999951,45.539618325937695,36.0,56.0,15.8125,15.7475,15.78,15.25,15.779599814960113,0.8438197902745274,0.8068950096075541,Research_2015_2024,1.2,2015-10,Strict_075_100_width7,loss,<=0.85,<=4,<=0.03,9-12,<=0.85,18-25,0.70-0.85
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2015-12-07 08:00:00,long,stagnation,3088,3094,3100,123.67,122.297,4.936890029263023,6,0.8228150048771705,6,1.0,11,0.8368536052439891,0.618,0.8,123.446,2015-12-07 12:00:00,123.446,122.22747242333423,125.88305515333153,2015-12-09 12:00:00,122.22747242333423,SL,12,1.218527576665764,-1.0,-1.008206625924178,123.281,123.476,123.25,123.446,0.278110306663032,0.730088495575189,123.09799887318248,122.991257695489,122.31306096955544,0.3167783834240656,59.19223647433124,20.945448339756886,4.5598866587058025,0.7666873840652738,123.67,123.67,False,False,0.2501580346548285,1.111738453840879,54.36507936507936,0.8672566371681361,1.3987255800315286,0.0848124248100106,0.0434269868186699,0.0413854379913407,0.0315222033906536,90.90189873417656,82.35759493670832,73.59470336232974,0.6506424890744267,-9.098101265823432,50.004366785452,32.0,56.0,122.976,122.9835,122.97975,122.964,123.09799887318248,0.8128265282515882,1.1399716646764506,Research_2015_2024,1.2,2015-12,Strict_075_100_width7,loss,<=0.85,4-5.5,0.03-0.06,9-12,<=0.85,18-25,>0.85
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2016-02-24 08:00:00,long,rebreak,3399,3409,3418,1239.879,1201.871,4.134156592182253,10,0.4134156592182253,9,0.9,12,0.9266470216796456,0.618,0.8,1237.091,2016-02-24 12:00:00,1236.848,1199.5725868199168,1312.1278263601662,2016-04-06 12:00:00,1226.762,max_hold,180,37.275413180083206,-0.2705805017176606,-0.2799700689991615,1223.45,1238.162,1222.95,1237.091,9.1936527203332,0.8967262687351998,1221.7268644687265,1214.205637769006,1164.2185709527666,0.5808004682741005,61.44199636185624,18.5733681938551,4.0563485042204634,0.9254309086437584,1234.528,1263.329,True,False,9.931605369492395,0.9256965393101488,83.33333333333334,0.9295950565343056,1.8634595542324504,3.536081904668663,2.0004921094473205,1.5355897952213424,0.62336312150444,97.04885508803795,84.04952277699995,103.01685718845852,2.434567177476965,-2.951144911962034,47.012550962622555,12.0,52.0,1222.656,1220.285,1221.4705,1218.4585,1221.7268644687265,0.9177919266325324,1.014087126055116,Research_2015_2024,1.2,2016-02,Strict_075_100_width7,loss,0.90-0.95,4-5.5,>0.10,9-12,0.92-1.00,18-25,>0.85
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2016-04-19 08:00:00,long,rebreak,3671,3678,3683,109.73,107.838,4.868107770801965,7,0.6954439672574235,5,0.7142857142857143,8,0.8520084566596197,0.618,0.8,109.45,2016-04-19 12:00:00,109.452,107.74083699082486,112.86832601835027,2016-04-29 00:00:00,107.74083699082486,SL,46,1.711163009175138,-1.0,-1.0058439785960611,109.125,109.487,109.056,109.45,0.3886520367005607,0.7540603248259973,108.89398740516548,109.12891904191292,111.17905007648636,-0.295466636022184,60.71905586912888,18.28668564446108,4.94145205384279,0.7780778427459879,109.73,110.447,False,False,0.4143205047881724,0.9380468313999206,32.53968253968254,0.9141531322505982,1.9348927291982216,0.029601674269557,-0.0519424380717217,0.0815441123412788,0.0758796455058078,97.75621588841771,77.96908494158941,64.59008803237538,0.6640423809874285,-2.2437841115822867,47.03095782756352,40.0,68.0,108.6625,108.784,108.72325,108.679,108.89398740516548,0.857654497037213,1.2353630134606974,Research_2015_2024,1.2,2016-04,Strict_075_100_width7,loss,<=0.85,4-5.5,0.06-0.10,<=8,0.85-0.92,18-25,>0.85
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2016-05-25 04:00:00,long,stagnation+rebreak,5329,5344,5349,161.59,158.01,5.336791637098479,15,0.3557861091398985,5,0.3333333333333333,9,0.9022346368715104,0.618,0.8,161.24,2016-05-25 08:00:00,161.25,157.8422962444742,168.03540751105163,2016-06-01 08:00:00,157.8422962444742,SL,31,3.4077037555258016,-1.0,-1.0058690547755362,160.52,161.26,160.45,161.24,0.6708150221031295,0.888888888888885,159.8439021750148,159.0375052204299,158.05876953057424,0.792422094938133,66.12082226863137,25.241524229483424,6.286900254571557,0.8685966440256565,161.02,161.59,True,False,0.7147251988857012,0.938563553025652,17.46031746031746,0.9753086419753312,1.7590542267530915,0.4564541306102683,0.2798604463231847,0.1765936842870836,0.0670296080822834,99.38461538461594,93.08346239889862,86.03949811204043,2.0118942173858123,-0.6153846153840556,41.628966386579926,4.0,64.0,159.66,159.8,159.73000000000002,158.66,159.8439021750148,1.0202991059324362,1.5717250636428892,Research_2015_2024,1.2,2016-05,Strict_075_100_width7,loss,0.85-0.90,5.5-7,0.06-0.10,9-12,0.85-0.92,25-32,>0.85
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2016-08-23 20:00:00,long,stagnation+rebreak,5731,5738,5742,132.12,130.32,3.963218703317223,7,0.566174100473889,4,0.5714285714285714,15,1.1166666666666702,0.618,0.8,132.33,2016-08-24 00:00:00,132.33,130.20645592542664,136.57708814914676,2016-09-01 08:00:00,136.57708814914676,TP,39,2.123544074573374,2.0,1.9905817824836056,132.2,132.37,132.18,132.33,0.454176298293457,0.6842105263159233,131.67786972736917,131.62406835402058,135.11204482226844,1.068340977917027,65.52920321009505,16.01020345016611,3.4997096776302112,0.9388213277666424,132.25,132.5,True,False,0.5824667245826092,0.779746342795661,0.3968253968253968,0.7894736842105656,1.7173947714374551,0.27746308065025,0.2080137616670044,0.0694493189832455,0.0129242970789549,97.20279720279775,93.70563850905266,97.3573077797322,0.4097427725927804,-2.7972027972022273,48.33089378037672,100.0,4.0,131.85000000000002,131.19,131.52,130.86,131.67786972736917,0.8589631796513711,0.8749274194075528,Research_2015_2024,1.2,2016-08,Strict_075_100_width7,win,0.90-0.95,<=4,<=0.03,13-16,>1.00,<=18,0.70-0.85
CHFJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2016-11-30 08:00:00,long,rebreak,4662,4674,4678,111.889,110.247,3.620436711821172,12,0.301703059318431,4,0.3333333333333333,9,0.8544457978075575,0.618,0.8,111.65,2016-11-30 12:00:00,111.66,110.13361588844802,114.68276822310398,2016-12-14 20:00:00,114.68276822310398,TP,64,1.5263841115519767,1.9803457073662345,1.967242845610372,111.01,111.719,110.988,111.65,0.4535364462079018,0.8755129958960401,111.0149017836666,110.50801476556153,108.1868772001364,0.224582536334055,62.7037216078147,20.828838815174873,3.3015015088082587,0.9008411489344242,111.796,111.889,False,False,0.4102572873655045,1.1054927241398136,86.11111111111111,0.905608755129974,1.9248728680997904,0.1594606102756302,0.14143145039217,0.0180291598834601,0.0470570969319105,95.31250000000075,75.58486012608341,73.42583033644154,0.8335816919089245,-4.687499999999231,55.12875845816843,16.0,64.0,111.009,111.068,111.0385,110.4805,111.0149017836666,0.850081135509382,0.8253753772020647,Research_2015_2024,1.2,2016-11,Strict_075_100_width7,win,0.90-0.95,<=4,0.03-0.06,9-12,0.85-0.92,18-25,>0.85
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2016-12-07 04:00:00,long,stagnation,4687,4700,4703,114.824,112.876,4.028355615318696,13,0.3098735088706689,3,0.2307692307692307,14,0.7525667351129358,0.618,0.8,114.342,2016-12-07 08:00:00,114.341,112.75510699885878,117.51578600228244,2016-12-15 00:00:00,117.51578600228244,TP,35,1.5858930011412156,2.001891678693238,1.9955860830491468,114.049,114.404,114.048,114.342,0.4835720045649149,0.8230337078651592,113.92801713694392,113.31572598301368,109.48548467354208,0.3190985781787985,61.01910185349944,11.430133824188824,2.2492150984378436,0.8958047623141269,114.775,114.824,False,False,0.5674820359683236,0.8521362332461703,51.19047619047619,0.8258426966292175,1.5220070497302516,0.1828912072637223,0.1911370009909604,-0.0082457937272381,0.026131323671239,73.25509573810952,65.45750865484807,117.5307087742426,-0.0445831475702207,-26.74490426189049,55.0426502157818,60.0,44.0,113.9525,113.8255,113.889,113.0915,113.92801713694392,0.7140233818066829,0.5623037746094609,Research_2015_2024,1.2,2016-12,Strict_075_100_width7,win,0.85-0.90,<=4,<=0.03,13-16,<=0.85,<=18,0.70-0.85
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2017-05-26 04:00:00,long,rebreak,5403,5410,5414,1263.728,1247.952,3.634503442325443,7,0.5192147774750633,4,0.5714285714285714,12,0.8462221095334592,0.618,0.8,1261.302,2017-05-26 08:00:00,1261.311,1246.8668448852543,1290.1723102294911,2017-06-06 08:00:00,1290.1723102294911,TP,44,14.444155114745628,1.9981307317883563,1.9738994771930056,1257.118,1263.971,1257.091,1261.302,4.34062045898248,0.6081395348837068,1256.268349106887,1252.093602215685,1249.19069261324,0.5662104852083352,62.4990571654309,16.642776013095897,3.307905212714128,0.8611589083590395,1263.728,1265.002,False,False,4.754804974721014,0.9128913766304712,33.33333333333333,0.6120639534883643,2.5187643341115535,1.4799556275577288,1.4195678071608433,0.0603878203968855,0.2470954299784022,83.33853548910609,74.58091630002856,110.42279845659442,0.8112523498343904,-16.66146451089391,47.659867618794024,100.0,52.0,1258.5045,1255.9615,1257.233,1246.99,1256.268349106887,0.7899154015352998,0.826976303178532,Research_2015_2024,1.2,2017-05,Strict_075_100_width7,win,0.85-0.90,<=4,>0.10,9-12,<=0.85,<=18,0.55-0.70
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2017-08-15 00:00:00,long,rebreak,7305,7313,7319,143.29,141.22,5.403068228772605,8,0.6753835285965756,6,0.75,11,0.7729468599033814,0.618,0.8,142.82,2017-08-15 04:00:00,142.83,141.12422108733622,146.21155782532753,2017-08-17 16:00:00,141.12422108733622,SL,15,1.7057789126637886,-1.0,-1.011724848895423,142.51,142.87,142.51,142.82,0.3831156506550774,0.8611111111110848,142.38557537043906,143.14815947084384,144.3301796965885,-0.2701612334409846,54.65040273307867,29.71665931124232,4.746902245317641,0.8871082947142952,143.29,146.73,False,False,0.4076699746369183,0.9397691134754048,7.936507936507936,0.8611111111110848,2.5318725516470715,-0.2241830921728933,-0.3961540028576289,0.1719709106847355,0.0381711534571685,96.96969696969629,81.64755664755675,58.673580634544415,0.8544594308311337,-3.030303030303709,42.8343902808635,4.0,56.0,142.365,142.255,143.975,142.31,142.38557537043906,0.7834813905527839,1.1867255613294103,Research_2015_2024,1.2,2017-08,Strict_075_100_width7,loss,0.85-0.90,4-5.5,0.03-0.06,9-12,<=0.85,25-32,>0.85
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK,V候補後トリガー,2018-10-30 00:00:00,long,rebreak,7752,7757,7763,112.674,111.377,4.313017123771187,5,0.8626034247542375,6,1.2,10,0.9876638396299112,0.618,0.8,112.658,2018-10-30 04:00:00,112.659,111.30182060917105,115.37035878165794,2018-12-10 04:00:00,112.639,max_hold,180,1.3571793908289749,-0.014736445406671,-0.022104668109996,112.324,112.711,112.303,112.658,0.3007175633158509,0.8186274509803975,112.2440340035364,112.3176026712478,112.40024687240012,-0.0258317912299364,60.4578381193309,21.298738005732012,3.8177243858428462,0.9153975748415392,112.674,112.885,False,False,0.2606647312449075,1.153656506883978,93.25396825396824,0.8700980392156934,2.7833425848854794,0.0115503525492925,-0.0635644465136515,0.0751147990629441,0.0346247480318031,96.02698650674684,84.55670906097349,98.14853754219232,0.9082440614811338,-3.973013493253159,46.3666750374103,12.0,60.0,112.233,112.0605,112.14675,112.131,112.2440340035364,0.844148502584127,0.9544310964607116,Research_2015_2024,1.2,2018-10,Strict_075_100_width7,loss,0.90-0.95,<=4,0.03-0.06,9-12,0.92-1.00,18-25,>0.85
