adx_bucket,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
<=18,by_adx_bucket_<=18,13,92.3076923076923,22.868447016339886,1.759111308949222,23.758079122599447,1.0048496137633531,1
18-25,by_adx_bucket_18-25,13,46.15384615384615,5.078283621240509,0.39063720163388527,1.942463659423821,2.294020673519401,4
25-32,by_adx_bucket_25-32,6,33.33333333333333,-0.06653565399173123,-0.011089275665288537,0.9834852627209192,1.011724848895423,2
>32,by_adx_bucket_>32,3,100.0,4.161878787983516,1.3872929293278389,inf,0.0,0
