symbol,scenario,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
CHFJPY,by_symbol_CHFJPY,5,80.0,6.9286736380466065,1.3857347276093213,7.900945331477357,1.0040180446645142,1
EURJPY,by_symbol_EURJPY,2,50.0,0.9727653516490826,0.4863826758245413,1.963559746048524,0.0,1
GBPJPY,by_symbol_GBPJPY,10,60.0,6.468095961211162,0.6468095961211162,2.6045536823727207,2.0203686252477038,2
SILVER,by_symbol_SILVER,3,66.66666666666666,1.1193428810138715,0.3731142936712905,2.0620110343915794,0.0,1
USDJPY,by_symbol_USDJPY,8,62.5,7.915250939198847,0.9894063673998559,4.887351345742016,1.0058439785960613,2
XAUUSD,by_symbol_XAUUSD,7,71.42857142857143,8.63794500045261,1.2339921429218015,7.710524402493463,1.007253474550276,1
