period_research,candidate,max_recovery_to_drop,trades_research,win_rate_research,total_r_research,avg_r_research,pf_research,max_dd_r_research,max_losing_streak_research,period_oos,trades_oos,win_rate_oos,total_r_oos,avg_r_oos,pf_oos,max_dd_r_oos,max_losing_streak_oos,score
Research_2015_2024,Strict_075_100_width7,1.2,99,55.55555555555556,59.763378145581385,0.6036704863190039,2.551284815852245,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5789335089727751
Research_2015_2024,Strict_075_100_width7,0.85,80,61.25000000000001,58.055390426296164,0.7256923803287021,2.982575701379565,4.378477287722474,5,OOS_2025_2026,11,54.54545454545454,3.8129147905765106,0.34662861732513733,1.7548355635354298,2.0281733479588864,2,0.5772793412140393
Research_2015_2024,Strict_075_100_width7,0.8,74,60.810810810810814,53.26100011895418,0.7197432448507322,2.9563377649262157,4.3784772877224745,5,OOS_2025_2026,11,54.54545454545454,3.8129147905765106,0.34662861732513733,1.7548355635354298,2.0281733479588864,2,0.572048591422348
Research_2015_2024,Strict_075_100_width7,1.05,93,56.98924731182796,57.03724123664354,0.6133036692112208,2.568780074021398,5.620004644996396,6,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5650402481844923
Research_2015_2024,Strict_075_100_width7,1.25,99,54.54545454545454,56.76238092022582,0.5733573830325841,2.435692697806281,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5544528686570125
Research_2015_2024,Strict_075_100_width7,1.1,92,56.52173913043478,55.987622801770954,0.6085611174105539,2.5399108571684668,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5441717725088184
Research_2015_2024,Strict_075_100_width7,1.55,102,53.92156862745098,57.460339421385356,0.5633366609939741,2.4070095479725073,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.539285041017267
Research_2015_2024,Strict_075_100_width7,1.5,102,53.92156862745098,57.460339421385356,0.5633366609939741,2.4070095479725073,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.539285041017267
Research_2015_2024,Strict_075_100_width7,1.6,102,53.92156862745098,57.41316538576454,0.5628741704486719,2.4058544152461216,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.538984553399245
Research_2015_2024,Strict_075_100_width7,1.95,104,53.84615384615385,54.854772581241136,0.5274497363580879,2.3115758086066394,4.461047856858753,4,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.5343823161789146
Research_2015_2024,Strict_075_100_width7,1.9,104,53.84615384615385,54.854772581241136,0.5274497363580879,2.3115758086066394,4.461047856858753,4,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.5343823161789146
Research_2015_2024,Strict_075_100_width7,0.9,84,58.333333333333336,54.75468861366727,0.6518415311150866,2.6803822662894063,4.611798019072218,5,OOS_2025_2026,12,58.333333333333336,4.367376971924777,0.36394808099373144,1.8646013978392755,2.0281733479588864,2,0.5309022332086781
Research_2015_2024,Strict_075_100_width7,1.15,95,55.78947368421052,55.94525646863862,0.5888974365119855,2.4578695699459194,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5274445297276138
Research_2015_2024,Strict_075_100_width7,1.65,104,53.84615384615385,56.56576682791463,0.5439016041145638,2.351466606693202,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.5258176181559568
Research_2015_2024,Strict_075_100_width7,1.75,104,53.84615384615385,56.56576682791463,0.5439016041145638,2.351466606693202,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.5258176181559568
Research_2015_2024,Strict_075_100_width7,1.7,104,53.84615384615385,56.56576682791463,0.5439016041145638,2.351466606693202,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.5258176181559568
Research_2015_2024,Strict_075_100_width7,1.85,106,53.77358490566038,55.78660028773348,0.5262886819597498,2.301429489115063,5.503119627559428,4,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.517127312239997
Research_2015_2024,Strict_075_100_width7,0.95,84,57.14285714285714,52.95795778408625,0.6304518783819791,2.6118784306262532,4.611798019072218,5,OOS_2025_2026,12,58.333333333333336,4.367376971924777,0.36394808099373144,1.8646013978392755,2.0281733479588864,2,0.5151953944725122
Research_2015_2024,Strict_075_100_width7,1.8,105,53.333333333333336,55.55468889122668,0.5290922751545398,2.2960192951129352,5.735031024066213,7,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.5139806756303164
Research_2015_2024,Strict_075_100_width7,1.45,102,53.92156862745098,57.46779432702685,0.5634097483041848,2.407449016832447,7.7490816285864526,9,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.50915259877123
Research_2015_2024,Strict_075_100_width7,1.3,102,52.94117647058824,53.745584432710174,0.526917494438335,2.263015707745694,7.674071210598372,8,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5024109468808139
Research_2015_2024,Strict_075_100_width7,1.35,105,52.38095238095239,54.43242171750801,0.5184040163572191,2.2411497865007193,7.7490816285864526,9,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.4956821627332051
Research_2015_2024,Strict_075_100_width7,1.4,104,52.88461538461539,55.45007326963763,0.5331737814388233,2.294084117221142,7.7490816285864526,9,OOS_2025_2026,16,62.5,7.114040060648265,0.4446275037905166,2.368066486248881,2.0162025134292705,2,0.4849662224149969
Research_2015_2024,Strict_075_100_width7,1.0,92,56.52173913043478,56.67408594719447,0.6160226733390703,2.559234712041497,5.620004644996396,6,OOS_2025_2026,15,60.0,5.276826575389812,0.3517884383593208,1.8713720627297228,2.2510045519383404,2,0.47857649583388717
Research_2015_2024,Strict_075_100_width7,2.0,105,54.285714285714285,55.915191782701925,0.5325256360257327,2.3533462288292903,4.461047856858753,4,OOS_2025_2026,17,58.82352941176471,6.108289088155299,0.35931112283266464,1.9842839723981733,2.0162025134292705,2,0.4652566964919753
Research_2015_2024,Robust_075_105_width7,1.55,129,51.93798449612403,63.07006890928255,0.4889152628626554,2.1257331775550514,8.780876705491893,10,OOS_2025_2026,21,61.904761904761905,9.163976287479683,0.4363798232133182,2.2704750802951823,2.0162025134292705,2,0.41919904508336225
Research_2015_2024,Robust_075_105_width7,1.5,129,51.93798449612403,63.07006890928255,0.4889152628626554,2.1257331775550514,8.780876705491893,10,OOS_2025_2026,21,61.904761904761905,9.163976287479683,0.4363798232133182,2.2704750802951823,2.0162025134292705,2,0.41919904508336225
Research_2015_2024,Robust_075_105_width7,1.95,136,51.470588235294116,61.41213866040624,0.4515598430912224,2.0228276036262214,7.506893538284434,6,OOS_2025_2026,21,61.904761904761905,9.163976287479683,0.4363798232133182,2.2704750802951823,2.0162025134292705,2,0.412885726800013
Research_2015_2024,Robust_075_105_width7,1.9,136,51.470588235294116,61.41213866040624,0.4515598430912224,2.0228276036262214,7.506893538284434,6,OOS_2025_2026,21,61.904761904761905,9.163976287479683,0.4363798232133182,2.2704750802951823,2.0162025134292705,2,0.412885726800013
Research_2015_2024,Robust_075_105_width7,1.6,132,51.515151515151516,62.98200659920923,0.47713641363037296,2.0850069091589587,8.780876705491892,10,OOS_2025_2026,21,61.904761904761905,9.163976287479683,0.4363798232133182,2.2704750802951823,2.0162025134292705,2,0.4101892956445324
