period_research,candidate,max_recovery_to_drop,trades_research,win_rate_research,total_r_research,avg_r_research,pf_research,max_dd_r_research,max_losing_streak_research,period_oos,trades_oos,win_rate_oos,total_r_oos,avg_r_oos,pf_oos,max_dd_r_oos,max_losing_streak_oos,score
Research_2015_2024,Strict_075_100_width7,1.21,99,55.55555555555556,59.763378145581385,0.6036704863190039,2.551284815852245,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5789335089727751
Research_2015_2024,Strict_075_100_width7,1.22,99,55.55555555555556,59.763378145581385,0.6036704863190039,2.551284815852245,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5789335089727751
Research_2015_2024,Strict_075_100_width7,1.2,99,55.55555555555556,59.763378145581385,0.6036704863190039,2.551284815852245,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5789335089727751
Research_2015_2024,Strict_075_100_width7,1.24,98,55.10204081632652,57.773877918987466,0.5895293665202803,2.499643131790617,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5677871149558265
Research_2015_2024,Strict_075_100_width7,1.23,98,55.10204081632652,57.773877918987466,0.5895293665202803,2.499643131790617,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5677871149558265
Research_2015_2024,Strict_075_100_width7,1.27,99,54.54545454545454,56.76238092022582,0.5733573830325841,2.435692697806281,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5544528686570125
Research_2015_2024,Strict_075_100_width7,1.26,99,54.54545454545454,56.76238092022582,0.5733573830325841,2.435692697806281,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5544528686570125
Research_2015_2024,Strict_075_100_width7,1.25,99,54.54545454545454,56.76238092022582,0.5733573830325841,2.435692697806281,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5544528686570125
Research_2015_2024,Strict_075_100_width7,1.18,95,56.84210526315789,58.944828907260145,0.6204718832343173,2.57759940135396,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5528631658493949
Research_2015_2024,Strict_075_100_width7,1.17,95,56.84210526315789,58.944828907260145,0.6204718832343173,2.57759940135396,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5528631658493949
Research_2015_2024,Strict_075_100_width7,1.1,92,56.52173913043478,55.987622801770954,0.6085611174105539,2.5399108571684668,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5441717725088184
Research_2015_2024,Strict_075_100_width7,1.11,92,56.52173913043478,55.987622801770954,0.6085611174105539,2.5399108571684668,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5441717725088184
Research_2015_2024,Strict_075_100_width7,1.28,100,54.0,55.75635665780223,0.5575635665780223,2.375253416165245,6.669623079868975,7,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5416723191009916
Research_2015_2024,Strict_075_100_width7,1.12,93,55.91397849462365,54.980068361754434,0.5911835307715531,2.471422143778425,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5298709715783632
Research_2015_2024,Strict_075_100_width7,1.16,95,55.78947368421052,55.94525646863862,0.5888974365119855,2.4578695699459194,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5274445297276138
Research_2015_2024,Strict_075_100_width7,1.15,95,55.78947368421052,55.94525646863862,0.5888974365119855,2.4578695699459194,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5274445297276138
Research_2015_2024,Strict_075_100_width7,1.13,95,55.78947368421052,55.94525646863862,0.5888974365119855,2.4578695699459194,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5274445297276138
Research_2015_2024,Strict_075_100_width7,1.14,95,55.78947368421052,55.94525646863862,0.5888974365119855,2.4578695699459194,6.669623079868975,7,OOS_2025_2026,14,64.28571428571429,6.287498599675393,0.44910704283395664,2.2462595982021742,2.010273067440087,2,0.5274445297276138
Research_2015_2024,Strict_075_100_width7,1.29,102,52.94117647058824,53.745584432710174,0.526917494438335,2.263015707745694,7.674071210598372,8,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5024109468808139
Research_2015_2024,Strict_075_100_width7,1.3,102,52.94117647058824,53.745584432710174,0.526917494438335,2.263015707745694,7.674071210598372,8,OOS_2025_2026,15,66.66666666666666,7.263084140616455,0.4842056093744303,2.4379426598226366,2.0162025134292705,2,0.5024109468808139
