period,candidate,max_recovery_to_drop,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
Research_2015_2024,Current_060_110,0.8,AUDJPY,15,60.0,7.719659616811395,0.514643974454093,2.271890029954258,6.069439523076551,6
Research_2015_2024,Current_060_110,0.8,CHFJPY,11,54.54545454545454,5.542317352033641,0.5038470320030582,2.09687165121735,2.0141214665597147,2
Research_2015_2024,Current_060_110,0.8,EURJPY,18,33.33333333333333,-2.0006128758815174,-0.1111451597711954,0.834339232763177,5.031062107357824,6
Research_2015_2024,Current_060_110,0.8,GBPJPY,26,50.0,7.923316555926318,0.30474294445870453,1.6044689286653648,3.0238604602590042,3
Research_2015_2024,Current_060_110,0.8,SILVER,16,43.75,3.283655144964391,0.20522844656027445,1.3740355645665607,3.212580067736127,4
Research_2015_2024,Current_060_110,0.8,USDJPY,18,50.0,9.846924033230597,0.5470513351794776,2.21534154961245,4.033162384233663,4
Research_2015_2024,Current_060_110,0.8,XAUUSD,11,63.63636363636363,9.121387223705048,0.8292170203368225,3.715011887556539,1.0075409827278374,1
Research_2015_2024,Robust_075_105_width7,0.8,AUDJPY,15,60.0,7.719659616811395,0.514643974454093,2.271890029954258,6.069439523076551,6
Research_2015_2024,Robust_075_105_width7,0.8,CHFJPY,8,62.5,6.885605133485958,0.8607006416857448,3.2680107128827545,1.0191506370985568,1
Research_2015_2024,Robust_075_105_width7,0.8,EURJPY,12,33.33333333333333,-0.20030254494428723,-0.01669187874535727,0.9751246026134186,3.0177000600920554,4
Research_2015_2024,Robust_075_105_width7,0.8,GBPJPY,23,56.52173913043478,10.949879839312617,0.4760817321440268,2.0861538729616074,3.0238604602590042,3
Research_2015_2024,Robust_075_105_width7,0.8,SILVER,14,50.0,5.4132815927495495,0.3866629709106821,1.8141050049432628,2.1143314479969524,3
Research_2015_2024,Robust_075_105_width7,0.8,USDJPY,16,56.25,11.757413933510783,0.7348383708444239,2.8989001689579843,3.025921381539914,3
Research_2015_2024,Robust_075_105_width7,0.8,XAUUSD,9,66.66666666666666,9.307281262458346,1.0341423624953718,4.957057488889351,1.007253474550276,1
Research_2015_2024,Strict_075_100_width7,0.8,AUDJPY,13,61.53846153846154,8.551455986313426,0.6578043066394943,2.692583458795606,5.052309794164241,5
Research_2015_2024,Strict_075_100_width7,0.8,CHFJPY,7,71.42857142857143,7.904755770584515,1.1292508243692165,4.919423136566358,1.0127980772889666,1
Research_2015_2024,Strict_075_100_width7,0.8,EURJPY,9,33.33333333333333,-0.24599729399476367,-0.02733303266608485,0.9592466479383766,3.0177000600920554,4
Research_2015_2024,Strict_075_100_width7,0.8,GBPJPY,19,68.42105263157895,14.979215957368957,0.7883797872299452,3.475086168973642,1.9030796581531266,1
Research_2015_2024,Strict_075_100_width7,0.8,SILVER,10,50.0,3.680282977432909,0.3680282977432909,1.8051833321452515,2.1143314479969524,3
Research_2015_2024,Strict_075_100_width7,0.8,USDJPY,9,66.66666666666666,9.808542594289777,1.0898380660321976,5.555297006434212,1.0058439785960611,2
Research_2015_2024,Strict_075_100_width7,0.8,XAUUSD,7,71.42857142857143,8.582744126959346,1.2261063038513351,7.388240845462095,1.0072534745502768,1
Research_2015_2024,Current_060_110,0.85,AUDJPY,20,60.0,9.718266899128528,0.4859133449564264,2.2027037034152888,6.069439523076552,6
Research_2015_2024,Current_060_110,0.85,CHFJPY,12,58.333333333333336,7.521521237613295,0.6267934364677746,2.4885729011060755,2.014121466559714,2
Research_2015_2024,Current_060_110,0.85,EURJPY,17,35.294117647058826,-0.9916473686356277,-0.05833219815503693,0.9104008552967834,5.031062107357824,6
Research_2015_2024,Current_060_110,0.85,GBPJPY,28,53.57142857142857,11.913436927862655,0.4254798902808091,1.9088747629452278,2.0231432155017774,2
Research_2015_2024,Current_060_110,0.85,SILVER,18,38.88888888888889,1.1862660669616614,0.06590367038675897,1.1090680882705284,4.522613346336529,5
Research_2015_2024,Current_060_110,0.85,USDJPY,18,50.0,9.846924033230597,0.5470513351794776,2.21534154961245,4.033162384233663,4
Research_2015_2024,Current_060_110,0.85,XAUUSD,11,63.63636363636363,9.121387223705048,0.8292170203368225,3.715011887556539,1.0075409827278374,1
Research_2015_2024,Robust_075_105_width7,0.85,AUDJPY,18,55.55555555555556,6.591777667494345,0.3662098704163525,1.8157787283550089,6.069439523076552,6
Research_2015_2024,Robust_075_105_width7,0.85,CHFJPY,9,66.66666666666666,8.86480901906561,0.984978779896179,3.919929538962934,1.0191506370985568,1
Research_2015_2024,Robust_075_105_width7,0.85,EURJPY,11,36.36363636363637,0.8086629623016011,0.073514814754691,1.1148135770729357,3.0177000600920554,4
Research_2015_2024,Robust_075_105_width7,0.85,GBPJPY,25,60.0,14.940000211248954,0.5976000084499582,2.481946772898463,2.0143833506718023,2
Research_2015_2024,Robust_075_105_width7,0.85,SILVER,15,46.666666666666664,4.3623198091048705,0.29082132060699134,1.5665109736489118,3.156403218697627,4
Research_2015_2024,Robust_075_105_width7,0.85,USDJPY,16,56.25,11.757413933510783,0.7348383708444239,2.8989001689579843,3.025921381539914,3
Research_2015_2024,Robust_075_105_width7,0.85,XAUUSD,9,66.66666666666666,9.307281262458346,1.0341423624953718,4.957057488889351,1.007253474550276,1
Research_2015_2024,Strict_075_100_width7,0.85,AUDJPY,15,60.0,8.427483819784113,0.5618322546522742,2.3908321420806646,5.052309794164242,5
