symbol,timeframe,rule,period,entry_time,h1_time,h2_time,h3_time,bars_after_h3,line_price,line_reclaim_level,rr,max_hold_bars,entry,stop,target,risk,exit_time,exit_price,exit_reason,bars_held,mfe_r,mae_r,r_clean,r_after_cost
AUDJPY,H1,H1_red_line_reclaim_RR1_H48,Research_2015_2024,2015-01-07 21:00:00,2015-01-06 02:00:00,2015-01-06 11:00:00,2015-01-07 13:00:00,8,96.19168571428571,96.2031658043268,1.0,48,96.328,95.89707963983562,96.75892036016438,0.43092036016437874,2015-01-08 01:00:00,96.75892036016438,target,4,1.3157883739438663,0.1763666956256527,1.0,0.9709923197984417
AUDJPY,H1,H1_red_line_reclaim_RR1_H120,Research_2015_2024,2015-01-07 21:00:00,2015-01-06 02:00:00,2015-01-06 11:00:00,2015-01-07 13:00:00,8,96.19168571428571,96.2031658043268,1.0,120,96.328,95.89707963983562,96.75892036016438,0.43092036016437874,2015-01-08 01:00:00,96.75892036016438,target,4,1.3157883739438663,0.1763666956256527,1.0,0.9709923197984417
AUDJPY,H1,H1_red_line_reclaim_RR1.5_H48,Research_2015_2024,2015-01-07 21:00:00,2015-01-06 02:00:00,2015-01-06 11:00:00,2015-01-07 13:00:00,8,96.19168571428571,96.2031658043268,1.5,48,96.328,95.89707963983562,96.97438054024657,0.43092036016437874,2015-01-08 03:00:00,96.97438054024657,target,6,1.8982625923916983,0.1763666956256527,1.5,1.4709923197984416
AUDJPY,H1,H1_red_line_reclaim_RR1.5_H120,Research_2015_2024,2015-01-07 21:00:00,2015-01-06 02:00:00,2015-01-06 11:00:00,2015-01-07 13:00:00,8,96.19168571428571,96.2031658043268,1.5,120,96.328,95.89707963983562,96.97438054024657,0.43092036016437874,2015-01-08 03:00:00,96.97438054024657,target,6,1.8982625923916983,0.1763666956256527,1.5,1.4709923197984416
AUDJPY,H1,H1_red_line_reclaim_RR2_H48,Research_2015_2024,2015-01-07 21:00:00,2015-01-06 02:00:00,2015-01-06 11:00:00,2015-01-07 13:00:00,8,96.19168571428571,96.2031658043268,2.0,48,96.328,95.89707963983562,97.18984072032876,0.43092036016437874,2015-01-08 08:00:00,97.18984072032876,target,11,2.0955148177624596,0.1763666956256527,2.0,1.9709923197984416
AUDJPY,H1,H1_red_line_reclaim_RR2_H120,Research_2015_2024,2015-01-07 21:00:00,2015-01-06 02:00:00,2015-01-06 11:00:00,2015-01-07 13:00:00,8,96.19168571428571,96.2031658043268,2.0,120,96.328,95.89707963983562,97.18984072032876,0.43092036016437874,2015-01-08 08:00:00,97.18984072032876,target,11,2.0955148177624596,0.1763666956256527,2.0,1.9709923197984416
AUDJPY,H1,H1_red_line_reclaim_RR1_H48,Research_2015_2024,2015-02-10 23:00:00,2015-02-06 17:00:00,2015-02-09 15:00:00,2015-02-10 02:00:00,21,92.77209090909092,92.78275949003641,1.0,48,92.898,92.19832567621803,93.59767432378196,0.6996743237819629,2015-02-12 00:00:00,92.19832567621803,stop,25,0.28441804027385137,1.472113474784272,-1.0,-1.017865454791055
AUDJPY,H1,H1_red_line_reclaim_RR1_H120,Research_2015_2024,2015-02-10 23:00:00,2015-02-06 17:00:00,2015-02-09 15:00:00,2015-02-10 02:00:00,21,92.77209090909092,92.78275949003641,1.0,120,92.898,92.19832567621803,93.59767432378196,0.6996743237819629,2015-02-12 00:00:00,92.19832567621803,stop,25,0.28441804027385137,1.472113474784272,-1.0,-1.017865454791055
AUDJPY,H1,H1_red_line_reclaim_RR1.5_H48,Research_2015_2024,2015-02-10 23:00:00,2015-02-06 17:00:00,2015-02-09 15:00:00,2015-02-10 02:00:00,21,92.77209090909092,92.78275949003641,1.5,48,92.898,92.19832567621803,93.94751148567295,0.6996743237819629,2015-02-12 00:00:00,92.19832567621803,stop,25,0.28441804027385137,1.472113474784272,-1.0,-1.017865454791055
AUDJPY,H1,H1_red_line_reclaim_RR1.5_H120,Research_2015_2024,2015-02-10 23:00:00,2015-02-06 17:00:00,2015-02-09 15:00:00,2015-02-10 02:00:00,21,92.77209090909092,92.78275949003641,1.5,120,92.898,92.19832567621803,93.94751148567295,0.6996743237819629,2015-02-12 00:00:00,92.19832567621803,stop,25,0.28441804027385137,1.472113474784272,-1.0,-1.017865454791055
