timeframe,variant,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
H4,ENTRY_A_B_BREAK,2.0,120,559,44.72271914132379,60.13657642880962,0.1075788487098562,-0.30891058078616174,1.2199092361326835,34.84200532989804,11,1.060649101686127,0.7908167046855741,69.42397137745975,22.182468694096602,44.72271914132379,47,13.921387666508066
H4,ENTRY_A_B_BREAK,1.5,120,559,47.40608228980322,49.1440397908514,0.08791420356145152,-0.1103478072666956,1.1873203492541768,35.212314213711,11,0.9327488977576334,0.7683614824557595,61.70304114490161,32.021466905187836,42.93381037567084,47,20.487814808740666
H4,ENTRY_A_B_BREAK,2.0,48,559,48.658318425760285,48.81883790223619,0.08733244705230088,-0.0180412498680646,1.232553761898215,24.655627545299478,8,0.8520621339165629,0.6619196020268765,38.30769230769231,12.164579606440071,28.80143112701252,47,11.115537540670513
H1,ENTRY_A_B_BREAK,2.0,120,1172,45.22184300341297,38.344992112966544,0.032717570062258144,-0.2747772524071927,1.0667650379070446,59.89835476790269,17,0.9636651366185457,0.7833379032678014,74.93003412969283,17.150170648464165,43.9419795221843,123,29.542257642465476
H1,ENTRY_A_B_BREAK,1.5,120,1172,47.525597269624576,36.62016197742621,0.03124587199439096,-0.15504190418251534,1.066381864174211,46.70668991645381,17,0.8657683662740658,0.7575927504749281,67.6834470989761,26.791808873720136,42.32081911262799,123,27.109407420214094
H4,ENTRY_A_B_BREAK,1.0,120,559,53.84615384615385,36.275091380757445,0.06489282894589883,0.31365219653432896,1.1554379786820101,31.04178569230412,10,0.7627597728403085,0.7055261925631663,49.32021466905188,45.97495527728086,38.10375670840787,47,18.024717381829504
H4,ENTRY_A_B_BREAK,1.5,48,559,49.37388193202147,33.435266133675945,0.059812640668472174,-0.008256428255820401,1.1608841064202224,26.225979708034902,8,0.7839855586705333,0.6544304321193344,36.25402504472272,19.141323792486585,28.622540250447226,47,14.120703990613167
H4,ENTRY_C_A_AFTER_B,1.5,120,452,47.123893805309734,33.14663891229267,0.07333327192985105,-0.06739366886396216,1.1629181318397228,32.04047653931329,15,0.8770091499592356,0.7402278768532341,68.84070796460178,28.98230088495575,40.48672566371682,39,10.033782954307247
H4,ENTRY_A_B_BREAK,1.0,48,559,53.13059033989267,32.078559875481126,0.05738561695077125,0.09458094124212499,1.1660165065192996,25.5021126255146,8,0.677594102760967,0.6216259337011288,31.608228980322004,33.98926654740608,27.01252236135957,47,16.53054354227028
H1,ENTRY_B_B_SUPPORT_REACCEL,1.5,120,462,50.21645021645021,29.534066247761356,0.06392655031982977,0.005540132126433653,1.1609459066303545,13.491500748253774,7,0.7886289984067526,0.7032065038631186,82.54112554112554,21.428571428571427,33.116883116883116,50,19.674064593312593
H4,ENTRY_C_A_AFTER_B,2.0,120,452,44.02654867256637,29.0021011643244,0.06416394062903628,-0.21041575723817493,1.1346047655124285,41.22108865907637,15,0.9816929586701092,0.7736339011958963,77.0641592920354,17.920353982300885,42.92035398230089,39,11.59007275963634
H1,ENTRY_B_B_SUPPORT_REACCEL,2.0,120,462,48.484848484848484,28.95875837572894,0.06268129518556048,-0.061514155834380926,1.15243891208626,14.085647852935463,9,0.8622581385466098,0.72292485618531,87.44155844155844,12.337662337662337,34.1991341991342,50,19.137993379551645
H4,ENTRY_B_B_SUPPORT_REACCEL,2.0,120,227,46.69603524229075,20.577779262976726,0.09065100996906046,-0.16140709386376687,1.1993869882699442,14.875760043463071,10,0.9379559132360591,0.7404125160187595,80.03083700440529,18.06167400881057,40.08810572687225,19,-2.5386170363750864
H4,ENTRY_C_A_AFTER_B,1.0,120,452,52.876106194690266,19.61574294980815,0.04339766139338087,0.22589668070653818,1.1060607179972963,34.119666219281015,13,0.717058242553386,0.6883732035419312,56.75221238938053,41.8141592920354,36.72566371681416,39,11.051304267589408
H4,ENTRY_C_A_AFTER_B,1.5,48,452,48.89380530973451,13.180412471997993,0.029160204584066356,-0.013545997835853304,1.0813272940534338,25.760482038369677,10,0.7080882874942264,0.6163829095464106,38.61725663716814,15.486725663716813,25.663716814159294,39,6.568140343998059
H4,ENTRY_B_B_SUPPORT_REACCEL,1.5,120,227,48.01762114537445,12.089177940326268,0.0532562904860188,-0.08628376378017906,1.119859851605347,17.150513596114312,10,0.8458704761913847,0.7295978185141845,74.59471365638767,24.229074889867842,39.20704845814978,19,-3.3264010889881788
H4,ENTRY_C_A_AFTER_B,1.0,48,452,51.54867256637168,11.620671083035312,0.02570944929875069,0.06435413370709454,1.0751180475857802,23.740696303709306,10,0.6180108971557069,0.5911769358880113,34.575221238938056,30.30973451327434,24.778761061946902,39,9.456914062573588
H1,ENTRY_A_B_BREAK,1.0,120,1172,52.218430034129696,11.182760106965478,0.009541604186830612,0.09428370520703769,1.0222086514169144,48.165826847626036,17,0.702161173957994,0.714719407254256,55.9641638225256,41.04095563139932,38.6518771331058,123,12.47879238325137
H4,ENTRY_C_A_AFTER_B,2.0,48,452,48.451327433628315,10.546161452512628,0.023332215602904043,-0.019225972954326615,1.064704338291085,30.518787570622127,10,0.7516505653564098,0.6215033687566685,40.5641592920354,6.8584070796460175,25.663716814159294,39,7.938444854006163
H4,ENTRY_B_B_SUPPORT_REACCEL,1.0,120,227,51.98237885462555,6.468178572431237,0.028494178733177253,0.1845945672377792,1.0697634602054238,16.4858490053761,9,0.6888815394225785,0.6875746011745615,63.45374449339207,38.76651982378855,35.68281938325991,19,3.0365535928455483
H1,ENTRY_C_A_AFTER_B,2.0,48,911,49.94511525795829,6.337428712945382,0.0069565628023549745,0.0,1.0226736580610403,44.32960590946885,12,0.6191687756699399,0.5417278688522356,42.09549945115258,3.7321624588364433,20.08781558726674,99,18.223561498508634
H4,ENTRY_B_B_SUPPORT_REACCEL,2.0,48,227,46.69603524229075,5.1819012868008185,0.02282775897269083,-0.04818870294326644,1.0648471898623701,15.117542417260164,10,0.6978756832895096,0.5994373092711361,41.1057268722467,7.488986784140969,24.229074889867842,19,-0.884942330128317
H1,ENTRY_C_A_AFTER_B,2.0,120,911,46.212952799121844,5.138500737288055,0.005640505748944078,-0.12708893845006206,1.0128520901066733,58.21621098792776,11,0.8705236033233353,0.7073271230644393,86.49615806805708,11.964873765093303,37.32162458836443,99,19.10656630665108
H1,ENTRY_B_B_SUPPORT_REACCEL,1.0,120,462,51.94805194805194,4.121000446245205,0.008919914385812132,0.04307409179006956,1.023041381926696,26.190063210454902,6,0.6600727281469426,0.6920869562845195,70.56926406926407,33.98268398268398,32.683982683982684,50,13.14734763609481
