year,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
2016,CURRENT_PRECALM_SHELF6_RR15,6,83.33333333333334,6.462150871157487,1.0770251451929145,1.4857480089620998,7.339243910505134,1.0193882681259003,1,1.4801246589633126,0.6347625362125324,10.0,0,0.0
2025,CURRENT_PRECALM_SHELF6_RR15,4,100.0,5.950325996842985,1.4875814992107463,1.487716505957893,inf,0.0,0,1.9615947611725866,0.30783005718812523,7.25,4,5.950325996842985
2015,CURRENT_PRECALM_SHELF6_RR15,3,100.0,4.527355276959165,1.509118425653055,1.5130092082932989,inf,0.0,0,2.263306810860882,0.4497932441440915,10.333333333333334,0,0.0
2023,CURRENT_PRECALM_SHELF6_RR15,3,66.66666666666666,1.972803540906871,0.6576011803022903,1.4886008006031448,2.95561976204066,0.0,1,1.4839483055355462,0.5620507118219118,11.666666666666666,0,0.0
2017,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.401180790569046,1.401180790569046,1.401180790569046,inf,0.0,0,1.9921952621286978,0.8696090429926874,25.0,0,0.0
2021,CURRENT_PRECALM_SHELF6_RR15,4,50.0,0.9004081665814334,0.22510204164535835,0.2262725505526625,1.439605084029609,2.048220549061684,2,1.5657286488312747,0.8270759633829863,18.75,0,0.0
2022,CURRENT_PRECALM_SHELF6_RR15,2,50.0,0.5043650369312371,0.25218251846561857,0.25218251846561857,1.4999109670075144,1.0089097263666467,1,1.425189104847271,0.627101014209034,18.0,0,0.0
2024,CURRENT_PRECALM_SHELF6_RR15,5,40.0,-0.048151650492201714,-0.009630330098440342,-1.0068063437556993,0.9841649883029192,1.021582788926613,2,0.8032020469590764,0.9756071060922169,17.0,0,0.0
2026,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0183315628511038,-1.0183315628511038,-1.0183315628511038,0.0,0.0,1,0.6760680379493417,1.4826568033986174,22.0,1,-1.0183315628511038
2018,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0242567422800846,-1.0242567422800846,-1.0242567422800846,0.0,0.0,1,0.4972632167421819,1.0163575015364605,5.0,0,0.0
2020,CURRENT_PRECALM_SHELF6_RR15,2,0.0,-2.035342210028478,-1.017671105014239,-1.017671105014239,0.0,1.0142619341002372,2,0.14074358966981285,1.1884673951464981,10.0,0,0.0
2019,CURRENT_PRECALM_SHELF6_RR15,2,0.0,-2.0470927485795176,-1.0235463742897588,-1.0235463742897588,0.0,1.027379342517465,2,0.32505079598156916,1.160672241908073,9.5,0,0.0
