label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
ENTRYMODE_next_open_signal,34,58.82352941176471,15.545414765716837,0.45721808134461284,1.477349931810585,2.090817256714214,5.10669170088808,5,1.329273843399927,0.7524373925992269,13.0,5,4.931994433991882,entry_mode,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
ENTRYMODE_next_open_entry,34,58.82352941176471,15.379073996726005,0.45232570578605896,1.4739807821711033,2.0791451730776633,5.10669170088808,5,1.3260977855582388,0.7524373925992269,12.941176470588236,5,4.921121064493445,entry_mode,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,entry,True
ENTRYMODE_signal_close_signal,34,58.82352941176471,15.37952012889562,0.45233882732045944,1.4742400032513392,2.0791239449160357,5.107292234971393,5,1.3251999968813108,0.7540807785615645,14.0,5,4.921126227432168,entry_mode,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,signal_close,signal,True
ENTRYMODE_signal_close_entry,34,58.82352941176471,15.37952012889562,0.45233882732045944,1.4742400032513392,2.0791239449160357,5.107292234971393,5,1.3251999968813108,0.7540807785615645,14.0,5,4.921126227432168,entry_mode,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,signal_close,entry,True
