shelf_range_band,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
1.2-1.5,CURRENT_PRECALM_SHELF6_RR15,16,56.25,6.254538115187768,0.3909086321992355,1.4743143578215587,1.877410232993501,4.179779274139352,4,1.2069212272833814,0.792952214783182,13.8125,3,4.453663680791487
<=1.2,CURRENT_PRECALM_SHELF6_RR15,5,80.0,4.981676331313459,0.9963352662626918,1.492989611453095,5.891998355983255,1.0183315628511043,1,1.6506462733000915,0.4299566783877255,6.8,2,0.4783307532003942
1.5-1.8,CURRENT_PRECALM_SHELF6_RR15,13,53.84615384615385,4.30920031921561,0.33147694763197,1.401180790569046,1.705914359145049,3.1025481007976135,3,1.356256897889458,0.8266040399926287,14.384615384615385,0,0.0
1.8-2.1,,0,0.0,0.0,0.0,,,0.0,0,,,,0,0.0
>2.1,,0,0.0,0.0,0.0,,,0.0,0,,,,0,0.0
