month,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
2016-10,CURRENT_PRECALM_SHELF6_RR15,3,100.0,4.492327566430662,1.497442522143554,1.486407331049915,inf,0.0,0,1.7240759388536364,0.06000887440916166,6.0,0,0.0
2021-02,CURRENT_PRECALM_SHELF6_RR15,2,100.0,2.9486287156431175,1.4743143578215587,1.4743143578215587,inf,0.0,0,1.7561178603184229,0.1431759050313508,10.0,0,0.0
2015-04,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.5354471883068221,1.5354471883068221,1.5354471883068221,inf,0.0,0,2.9303009000277442,0.37810334193906986,11.0,0,0.0
2015-05,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.5130092082932989,1.5130092082932989,1.5130092082932989,inf,0.0,0,1.9773996605809443,0.9054408972133954,11.0,0,0.0
2016-08,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.5059992203677126,1.5059992203677126,1.5059992203677126,inf,0.0,0,1.6317879399961341,0.2639656961758412,15.0,0,0.0
2024-10,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.5031584702437202,1.5031584702437202,1.5031584702437202,inf,0.0,0,1.7940110984092519,0.8654208467678272,57.0,0,0.0
2025-07,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.496662316051498,1.496662316051498,1.496662316051498,inf,0.0,0,1.8811186733452967,0.06408353181020453,3.0,1,1.496662316051498
2023-10,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.492989611453095,1.492989611453095,1.492989611453095,inf,0.0,0,2.0246002123250046,0.0336498650247932,2.0,0,0.0
2024-06,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.4895244181535077,1.4895244181535077,1.4895244181535077,inf,0.0,0,1.621620069843111,0.48606699767907,4.0,0,0.0
2025-09,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.4887394457033218,1.4887394457033218,1.4887394457033218,inf,0.0,0,2.7025330312052493,0.03903658822853572,7.0,1,1.4887394457033218
