label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
EXITGRID_RR1.2_SL0.1_H12,40,62.5,10.950771643134132,0.2737692910783533,0.4248203769549762,1.9064172467602065,5.415143681497739,6,0.9299866305324513,0.6212584138646491,7.025,5,3.7228138044634465,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.1,12,next_open,signal,True
EXITGRID_RR1.2_SL0.1_H18,40,62.5,14.121240956736528,0.35303102391841323,1.1536069520611854,2.0308111215745672,6.462638099377475,7,1.0178608205290516,0.6632684981890481,8.475,5,5.076024732057742,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.1,18,next_open,signal,True
EXITGRID_RR1.2_SL0.1_H24,40,62.5,13.473299167436682,0.3368324791859171,1.165211123290467,1.8974477728347237,5.735272002019714,5,1.0399628425262726,0.688612186649866,9.075,5,3.724410489799472,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.1,24,next_open,signal,True
EXITGRID_RR1.2_SL0.1_H36,40,62.5,13.389980022304037,0.33474950055760094,1.165211123290467,1.8759027383286926,6.009428509244687,5,1.0399628425262726,0.6959570315172325,9.45,5,3.724410489799472,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.1,36,next_open,signal,True
EXITGRID_RR1.2_SL0.1_H48,40,62.5,13.594448624545826,0.3398612156136457,1.165211123290467,1.8892780091138246,6.009428509244687,5,1.0454153385860532,0.6959570315172325,9.75,5,3.724410489799472,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.1,48,next_open,signal,True
EXITGRID_RR1.2_SL0.25_H12,34,61.76470588235294,11.53187987654057,0.33917293754531086,0.6558900461976483,2.2751742041934224,5.96632498967532,7,0.9505860996125326,0.5871259224125686,7.735294117647059,5,3.7120190464283382,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.25,12,next_open,signal,True
EXITGRID_RR1.2_SL0.25_H18,34,64.70588235294117,14.135149718951665,0.4157396976162254,1.1772134214471648,2.3552725754768438,6.335576693007663,7,1.0513821036578173,0.6369907471679879,9.205882352941176,5,5.048925560747584,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.25,18,next_open,signal,True
EXITGRID_RR1.2_SL0.25_H24,34,64.70588235294117,13.61209274863218,0.4003556690774171,1.1772134214471648,2.1871007078341047,5.10669170088808,5,1.0655188432388787,0.6807433174477587,9.852941176470589,5,3.730689629652114,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.25,24,next_open,signal,True
EXITGRID_RR1.2_SL0.25_H36,34,64.70588235294117,13.052694982731147,0.3839027936097396,1.1772134214471648,2.0696350329228452,5.10669170088808,5,1.0655188432388787,0.6899675047450018,10.264705882352942,5,3.730689629652114,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.25,36,next_open,signal,True
EXITGRID_RR1.2_SL0.25_H48,34,64.70588235294117,13.242203197351849,0.38947656462799557,1.1772134214471648,2.0851647473345545,5.10669170088808,5,1.0714641989916849,0.6899675047450018,10.617647058823529,5,3.730689629652114,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.25,48,next_open,signal,True
EXITGRID_RR1.2_SL0.4_H12,21,76.19047619047619,11.173681834968766,0.5320800873794651,1.1676838905011442,4.100112456093138,1.0254542187712143,1,1.0701675305836704,0.39928937824685484,7.380952380952381,5,3.702969513148932,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.4,12,next_open,signal,True
EXITGRID_RR1.2_SL0.4_H18,21,71.42857142857143,12.477314761980736,0.5941578458086065,1.1774285830316513,3.834113332088642,1.0495559387973374,2,1.1440187337751302,0.43606190272609746,8.904761904761905,5,5.026644202976997,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.4,18,next_open,signal,True
EXITGRID_RR1.2_SL0.4_H24,21,71.42857142857143,12.4584613237148,0.5932600630340381,1.1803772898985492,3.33641627542543,1.2619352854763761,2,1.1540642961919523,0.5011753105132812,9.523809523809524,5,3.7359988780813156,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.4,24,next_open,signal,True
EXITGRID_RR1.2_SL0.4_H36,21,71.42857142857143,11.704024943312445,0.5573345211101165,1.1803772898985492,2.9228751525344507,2.0163716658787285,2,1.1540642961919523,0.5150811010696479,9.619047619047619,5,3.7359988780813156,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.4,36,next_open,signal,True
EXITGRID_RR1.2_SL0.4_H48,21,71.42857142857143,11.704024943312445,0.5573345211101165,1.1803772898985492,2.9228751525344507,2.0163716658787285,2,1.1540642961919523,0.5150811010696479,9.619047619047619,5,3.7359988780813156,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.4,48,next_open,signal,True
EXITGRID_RR1.2_SL0.5_H12,16,81.25,9.349916406297726,0.5843697753936079,0.9136676022970792,7.096968971382122,1.0107872693795708,1,1.0816757731320703,0.3083086655606639,7.5,4,2.5081064182139876,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.5,12,next_open,signal,False
EXITGRID_RR1.2_SL0.5_H18,16,81.25,11.18722255999737,0.6992014099998356,1.1799613004043212,5.85686723546426,1.0107872693795708,1,1.1738735189636,0.3541275971028006,9.5,4,3.8242688282138984,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.5,18,next_open,signal,False
EXITGRID_RR1.2_SL0.5_H24,16,75.0,10.201174333551243,0.6375733958469527,1.1834573872283238,3.5129017794614237,1.0252429084568089,1,1.1864223829044844,0.4821705390236314,10.1875,4,2.5495046163075816,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.5,24,next_open,signal,False
EXITGRID_RR1.2_SL0.5_H36,16,75.0,10.201174333551243,0.6375733958469527,1.1834573872283238,3.5129017794614237,1.0252429084568089,1,1.1864223829044844,0.4821705390236314,10.1875,4,2.5495046163075816,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.5,36,next_open,signal,False
EXITGRID_RR1.2_SL0.5_H48,16,75.0,10.201174333551243,0.6375733958469527,1.1834573872283238,3.5129017794614237,1.0252429084568089,1,1.1864223829044844,0.4821705390236314,10.1875,4,2.5495046163075816,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.2,0.5,48,next_open,signal,False
EXITGRID_RR1.5_SL0.1_H12,40,60.0,12.109733098834024,0.3027433274708506,0.19452480128944627,1.9932731136042077,5.119061848018526,6,1.0417422213922025,0.6259535034901352,7.925,5,4.623798232156822,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.1,12,next_open,signal,True
EXITGRID_RR1.5_SL0.1_H18,40,57.49999999999999,15.713179094903811,0.39282947737259527,0.73449969702562,2.1143855151749085,6.1665562658982624,7,1.1449557610868264,0.6755549989622353,9.875,5,6.277444316680999,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.1,18,next_open,signal,True
EXITGRID_RR1.5_SL0.1_H24,40,57.49999999999999,16.414486042464446,0.41036215106161117,1.424753678343083,2.00465607261559,5.439190168540501,5,1.19847585098707,0.750786618841259,10.925,5,4.925830074422729,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.1,24,next_open,signal,True
EXITGRID_RR1.5_SL0.1_H36,40,57.49999999999999,15.615960943709883,0.3903990235927471,1.424753678343083,1.9012097828138377,5.713346675765473,5,1.19847585098707,0.7665983137360822,11.35,5,4.925830074422729,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.1,36,next_open,signal,True
EXITGRID_RR1.5_SL0.1_H48,40,57.49999999999999,15.82042954595167,0.39551073864879177,1.424753678343083,1.9130098318330941,5.713346675765473,5,1.2039283470468507,0.7665983137360822,11.65,5,4.925830074422729,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.1,48,next_open,signal,True
EXITGRID_RR1.5_SL0.25_H12,34,58.82352941176471,13.110736703514151,0.38560990304453385,0.268259539126378,2.433703877279515,5.96632498967532,7,1.110192466171382,0.5921951336229767,8.529411764705882,5,4.612924657754476,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,12,next_open,signal,True
EXITGRID_RR1.5_SL0.25_H18,34,61.76470588235294,16.807377033720265,0.4943346186388313,1.3460882159906657,2.562931967064273,6.335576693007663,7,1.2377628648526142,0.6502562804004189,10.5,5,6.250230365087352,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,18,next_open,signal,True
EXITGRID_RR1.5_SL0.25_H24,34,58.82352941176471,14.58064920711804,0.42884262373876586,1.2511807450336736,2.1374324296672755,5.323667988434346,5,1.2588450821310524,0.7336367532857222,11.617647058823529,5,4.931994433991882,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,24,next_open,signal,True
EXITGRID_RR1.5_SL0.25_H36,34,58.82352941176471,14.377054141303033,0.4228545335677363,1.4743143578215587,2.008833729713916,5.10669170088808,5,1.2908148233739623,0.7524373925992269,12.382352941176471,5,4.931994433991882,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,36,next_open,signal,True
EXITGRID_RR1.5_SL0.25_H48,34,58.82352941176471,14.566562355923734,0.4284283045859922,1.4743143578215587,2.0221314663078123,5.10669170088808,5,1.2967601791267684,0.7524373925992269,12.735294117647058,5,4.931994433991882,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,48,next_open,signal,True
EXITGRID_RR1.5_SL0.4_H12,21,76.19047619047619,12.816009613908907,0.6102861720909003,0.6877376104090224,4.555772540179857,1.0254542187712143,1,1.2394780660991185,0.39928937824685484,8.238095238095237,5,4.603807999652161,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.4,12,next_open,signal,True
